rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, Black",B01GGKYN0A,True,False,4.6,86123
1,LISEN USB C to USB C Charger Cable 60W 3-Pack 6.6ft Type C Charging Cable Cord Fast Charging USBC to USBC Cable for iPhone 15 Pro Max Plus Samsung S23 S22 Note 20 Ultra iPad Pro Air Mini MacBook Air,B0CFXR2181,False,True,4.9,21
2,[Apple MFi Certified] iPhone 15 Charger iPad Pro Charger 2-Pack USB C Charger iPad Air Mini Charger with 6FT Cable for iPhone 15/iPhone 15 Pro/iPhone 15 Pro Max/iPad Pro/Mini/Air4/AirPods,B09KR8P3L5,False,False,4.5,781
3,iPhone 15 Charger Block 2-Pack [Apple MFi Certified] USB C Wall Charger Type C Box Power Adapter Compatible with iPhone 15/iPhone 15 Pro/iPhone 15 Pro Max/iPhone14/13/12 Pro/11Pro/iPad Pro/Samsung,B09R1JC28R,False,False,4.7,2567
4,"Basesailor USB Type C Charger Cable 3Pack 3.3/6.6/10FT,Charging Cord for iphone 15 Pro Max,Samsung Galaxy A10E A02s A03s A14 A13 A12,A20 A21 A22,A33 A34,A42,A54 A53 A52 A51,S23 S21 S22 S20 Plus,Flip 5",B07V4R543P,False,False,4.7,18335
5,"Apple USB C to USB C Charging Cable 10ft 60W 2Pack, Fast Long Charger Cord for iPhone 15/15 Pro/15 Plus/15 Pro Max,MacBook Pro/2019/18/17/16/IPad Air 4/5, iPad Mini 6,iPad Pro 12.9/11 USB Type C",B0BJQ93CS9,False,False,4.3,971
6,"Amazon Basics USB-C to USB-C 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",B01GGKZ2SC,True,False,4.6,38804
7,"USB C Cable 3A Fast Charge [2-Pack, 3ft], New Nylon Braided USB A to Type C Charger Cord Compatible with Samsung Galaxy S10 S9 S8, Note 10 9 8, LG, Pixel, Moto G7 G8, iPhone 15 Plus Pro Max",B0BXQ1GBMP,False,False,4.8,39
8,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, White",B01GGKYO1I,True,False,4.6,86123
9,"iPhone Charger, Anker USB C Charger, 2-Pack 20W Dual Port USB Fast Wall Charger, USB C Charger Block for iPhone 15/15 Pro/15 Pro Max/iPad Pro/AirPods and More (2-Pack 5 ft USB-C Cable Included)",B0C8HHV9DK,False,False,4.6,290
10,"iPhone 15 Charger, [Apple Certified] 20W USB C Wall Charger Block with 10FT USB C to C Fast Charging Cable for 15 Pro/15 Pro Max/15 Plus, iPad Pro 12.9/11, iPad 10th Generation, iPad Air 5/4, iPad Min",B0CD6YMKP7,False,False,4.4,11
11,"TAKAGI [Apple MFi Certified] iPhone Charger, Lightning Cable 3PACK 6FT Nylon Braided USB Charging Cable High Speed Transfer Cord Compatible with iPhone 14/13/12/11 Pro Max/XS MAX/XR/XS/X/8/iPad",B07PHSF8DP,False,True,4.4,101464
12,"iPhone 15 Charger 10 ft,iPad Pro Fast Charger with Extra Long USB C Cable 10 Ft,Apple USB C Wall Charger Block for iPhone 15 Pro/15 Plus/Pro Max, iPad Pro 12.9/11 inch, iPad Air 5th/4th/ipad Mini 6th",B0BKFSKSSB,False,False,4.8,181
13,"20W Apple USB C Fast Charger for iPhone 15/15 Pro Max, iPad Pro 12.9/11 inch 2023/2022/2021/2020, iPad Air 5th/4th, iPad 10/Mini 6, 2Pack USB C Fast Wall Charger Block with 10FT Long USB C to C Cable",B0BTYFX5HZ,False,False,4.7,755
14,"iPhone 15 14 Charger Fast Charging, 3 Pack [Apple MFi Certified] PD 20W USB C iPhone Fast Charger Block & 6FT Type C to Lightning Fast Charging Data Sync Cable for iPhone 15 14 13 12 11 XS XR X 8 iPad",B0CC23TT8K,False,False,4.5,96
15,iPhone 15 Charger [Apple MFi Certified] iPad Pro Charger iPad Air Mini Charger USB-C to USB Cable with iPhone 15/iPhone 15 Pro/iPhone 15 Pro Max/iPad Mini 6/iPad Air4/iPad Pro 12.9/iPad Pro 11 inch,B09NBPPYRT,False,False,4.6,2243
16,"AINOPE USB C Charger Cable 100W 2Pack 6FT, Type C Charger Cable for iPhone 15 Fast Charging USBC to USBC Cable Right Angle PD QC5.0 Fit iPhone 15 Pro Max Plus MacBook/Charger Cord for iPad Pro/Samsung",B09G5XQG3T,False,True,4.6,5397
17,"iPhone 15 Charger, iPad Pro Fast Charger [Apple Certified], 2Pack 20W PD USB C Fast Charger Block for iPad Air 5th/4th, iPad Pro 12.9/11 inch, iPad 10th, iPhone 15 Pro Max/Plus, with 6FT USB C Cable",B0C5RC1C8C,False,False,4.6,188
18,"20W USB C Charger for Apple iPhone 15 Plus/15 Pro/15 Pro Max,iPad Pro 12.9/11 inch 5/4/3/2th Generation,iPad Air/Mini 6 Gen,iPad Wall Charger Block Adapter Plug and 6ft USB C to C Charging Cable Cord",B09XK5WCH8,False,False,4.4,334
19,"iPhone 15 Charger Fast Charging, [MFi Certified] 10 FT Long USB C to USB C Charging Cable with 20W iPhone Fast Charger Block for iPhone 15/15 pro/15 pro max/15 Plus,iPad Pro 12.9/11 in,iPad air 5/4",B0CHWBW94G,False,False,4.7,4482
20,AINOPE USB C Cable Type C Charger Fast Charging 6.6FT-2Pack 60W USB-C to USB-C Cable for iPad Charger Fast Charging Cord 3.1A Right Angle USB C Charger Cable Fits iPhone 15 Pro Max All USB C Port,B0B7WP4T9N,False,False,4.6,1673
21,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, Black",B085SBKM7Y,True,False,4.6,10416
