rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Humixx Compatible with iPhone 15 Pro Max Case, [Non-Yellowing] [14 FT Military Drop Protection] Slim Fit Yet Protective Shockproof Bumper with Airbag Transparent Phone Case Cover 6.7” - Crystal Clear",B0CB8NLRC4,False,False,4.8,276
1,"TORRAS Magnetic Guardian Designed for iPhone 15 Pro Max Case, [Military Grade Drop Tested] [Compatible with MagSafe] Slim Case for iPhone 15 Pro Max Phone Case (6.7"") 2023, Blue Titanium",B0CBJFKFQQ,False,False,4.7,69
2,"Miracase Magnetic for iPhone 15 Pro Max Case 6.7'' [Compatible with Magsafe] Full-Body Military Drop Proof 15 Pro Max Phone Case Cover with Built-in 9H Tempered Glass Screen Protector,Storm Blue",B0CDPGGL3C,False,False,4.6,327
3,"GONEZ Compatible with iPhone 15 Pro Max Case Silicone, with 3X Camera Protector + 3X Screen Protector, Soft Anti-Scratch Microfiber Lining,Slim Liquid Silicone Shockproof Protective Phone Cover, Stone",B0CC5M74VJ,False,False,4.6,48
4,"TAURI 5 in 1 for iPhone 15 Pro Max Case Crystal Clear, [Not-Yellowing & Military Drop Defense] with 2X Screen Protector + 2X Camera Lens Protector, Slim Shockproof for iPhone 15 ProMax Case 6.7 inch",B0CBBN7JP1,False,False,4.6,68859
5,"CASEKOO for iPhone 15 ProMax Case Crystal Clear, [Never Yellow Technology] [10FT Mil-Grade Protection] Transparent Slim Cover Women Men iPhone 15 Pro Max Case 6.7'' 2023, Clear",B0C9QGXXW5,False,False,4.6,5575
6,"Waldeng for iPhone 15 Pro Max Case with Integrated Camera Lens Protection, [Seamless Work with Magsafe] [Metallic Glossy Soft Bumper], Diamond Clear Stylish Case for iPhone 15 Pro Max, Blue Titanium",B0CF9QZ976,False,False,4.5,435
7,sheheme Magnetic Titanium for iPhone 15 Pro Max Case [Compatible with MagSafe] [Full Camera Lens Protector & Military Grade Drop Tested] Scratch Resistant Matte Cover Shockproof 15 Pro Max Phone Case,B0CH7RC249,False,False,4.8,17
8,"TOCOL 3 in 1 Magnetic for iPhone 15 Pro Max Case, Upgraded [Full Camera Protection] with 2 Screen Protector, [Military Grade Drop Tested] Translucent Professional for iPhone 15 ProMax Case 6.7"", Black",B0CBJZL29J,False,False,4.4,6353
9,"Temdan Magnetic for iPhone 15 Pro Max Case Clear, [Compatible with Magsafe][2 Pcs Glass Screen Protector+Camera Lens Protector] [Not Yellowing] Slim Shockproof Cover for iPhone 15 Pro Max 6.7"",Clear",B0CB5XF11L,False,False,4.6,3942
10,"FireNova Designed for iPhone 15 Pro Max Case, Silicone Upgraded [Camera Protection] Phone Case with [2 Screen Protectors], Soft Anti-Scratch Microfiber Lining Inside, 6.7 inch, Lilac Purple",B0CBP98GNT,False,False,4.9,31
11,"TORRAS Magnetic Slim-Fit Designed for iPhone 15 Pro Max Case, Ultra-Thin 15 ProMax Phone Case Compatible with MagSafe, Lightweight Anti-Scratch Matte Hard Cover 15 Pro Max 6.7 inch OriginFit, Black",B0CBJG315D,False,False,4.5,4452
12,"Cordking Designed for iPhone 15 Pro Max Case, Silicone Ultra Slim Shockproof Phone Case with [Soft Anti-Scratch Microfiber Lining], 6.7 inch, Teal",B0C9ZZNG7P,False,False,4.4,41
13,"TORRAS Magnetic Shockproof for iPhone 15 Pro Max Case,[Military Grade Drop Tested] [Fit for MagSafe] [Upgraded Camera Protection] Sturdy Kickstand Slim Frosted iPhone 15 ProMax Case, Black Titanium",B0CBJHPJG1,False,False,4.8,83
14,"Privacy Magnetic Case For iPhone 15 Pro Max, Anti Peeping Magnetic Tempered Glass Double-Sided Phone Case iPhone 15 Pro Max Screen Protector Privacy, Confidential Case for iPhone 15 Pro Max 6.7"" 2023",B0CGLZZ7G1,False,False,3.4,6
15,"Spigen Ultra Hybrid Designed for iPhone 15 Pro Max Case (2023), [Anti-Yellowing] [Military-Grade Protection] - Matte Black",B0C5S9BC6B,False,False,4.1,60
