rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"amFilm OneTouch 2+2 Pack Compatible with iPhone 15 Screen Protector 6.1"" Tempered Glass with Camera Lens Protector Accessories, Premium Easiest Installation Kit 9H, Case Friendly Anti-Scratch HD",B0CC8XXN71,False,True,4.2,45.0
1,"ESR 3+1 Pack for iPhone 15 Screen Protector, 3 Tempered-Glass Screen Protector and 1 Set Camera Lens Protector, 2.5D Curved Edges, Full-Coverage Military-Grade Protection, Scratch Resistant",B0CCDQ53NV,False,True,4.4,1965.0
2,"QHOHQ 3 Pack Screen Protector for iPhone 15 [6.1 Inch] with 3 Pack Camera Lens Protector, Tempered Glass Film, HD Clear, 9H Hardness, No Bubbles, Case Friendly",B0CBMPLH94,False,False,4.5,17764.0
3,Ferilinso 4 Pack Screen Protector for iPhone 15 with 4 Pack Tempered Glass Camera Lens Protector Phone Case Friendly HD Accessories Protector de Pantalla for Apple iPhone 15 6.1 INCH,B0CDXPJZRT,False,False,4.5,7275.0
4,"Ailun Glass Screen Protector for iPhone 15/15 Pro [6.1 Inch] Display 3 Pack Tempered Glass, Sensor Protection, Dynamic Island Compatible, Case Friendly",B0CCYM3F1V,False,False,4.5,5105.0
5,"Ailun 3 Pack Screen Protector for iPhone 15 [6.1 inch] + 3 Pack Camera Lens Protector,Case Friendly Tempered Glass Film,[9H Hardness] - HD [6 Pack]",B0CCYN42DL,False,False,4.0,45.0
6,"TORRAS Diamond Shield for iPhone 15 Screen Protector [Military-Grade Protection] 9H Unbreakable Shatterproof for iPhone 14 Pro/iPhone 15 Tempered Glass, 2-Pack",B0CBBVGDZF,False,True,4.5,328.0
7,Spigen Tempered Glass Screen Protector [GlasTR EZ FIT] Designed for iPhone 15 [2 Pack] Clear,B0C9RX4MLV,False,False,4.1,37.0
8,"amFilm OneTouch 2+2 Pack Compatible with iPhone 15 Screen Protector 6.1"" Tempered Glass with Camera Lens Protector Accessories, Premium Easiest Installation Kit 9H, Case Friendly Anti-Scratch HD",B0CC8XXN71,False,False,4.2,45.0
9,"3 Pack Screen Protector for iPhone 15, 6.1 Inch HD Clear Tempered Glass Full Screen Case Friendly, Anti-Scratch, Bubble Free",B0CFDVLN5J,False,False,4.5,2869.0
10,"Ailun 3 Pack Screen Protector for iPhone 15 Pro [6.1 inch] + 3 Pack Camera Lens Protector,Case Friendly Tempered Glass Film,[9H Hardness] - HD [6 Pack]",B0CCYNY9XY,False,False,4.0,135.0
11,"ESR 3+1 Pack Armorite Screen Protector Set for iPhone 15, Ultra-tough Tempered Glass, Easy Installation Frame, 3-Pack with 1 Set of Individual Camera Lens Protector",B0CCD8LWZC,False,True,4.4,481.0
12,"Screen Protector for iPhone 15 [3-Pack], 9H Hardness Screen Protector Tempered Glass for iPhone 15 (6.1 Inch) [Bubble-free, Anti-scratch]- Ultra HD Screen Guard Saver Shield Film",B0C9TPLCHV,False,False,5.0,398.0
13,"Compatible for iPhone 15 Pro Screen Protector, Tempered Glass Screen Protector for iPhone 15 Pro",B0CJBJN1T1,False,False,,
14,"YMHML 3 Pack for iPhone 15 Pro iPhone 15 Screen Protector Tempered Glass, [Military Grade Shatterproof] HD Clear Film Case Friendly Screen Protector for iPhone 15 Pro iPhone 15 Accessories",B0CCN64K6R,False,False,4.4,1247.0
15,"IMBZBK 4 Pack Privacy Screen Protector for iPhone 15 Tempered Glass with 4 Pack Camera Lens Protector, Accessories 9H Anti Spy for Apple 15, 2.5D Curved, Case Friendly, Transparent",B0CHN26FJD,False,False,4.5,200.0
16,"YMHML 3 Pack for iPhone 15 Pro iPhone 15 Screen Protector Tempered Glass, [Military Grade Shatterproof] HD Clear Film Case Friendly Screen Protector for iPhone 15 Pro iPhone 15 Accessories",B0CCN64K6R,False,True,4.4,1247.0
17,"JETech Screen Protector for iPhone 15 6.1-Inch, Tempered Glass Film with Easy Installation Tool, Case-Friendly, HD Clear, 3-Pack",B0CCJN8TY2,False,False,3.6,85.0
18,Ailun Privacy Screen Protector for iPhone 15/15 Pro [6.1 Inch] 3 Pack Anti Spy Private Tempered Glass Anti-Scratch Case Friendly [Black] [3 Pack],B0CCYM3S2L,False,False,4.5,9145.0
19,"Seninhi [3+3Pack] for iphone 15 (6.1inch) Screen Protector 3Pack + Camera Lens Protector 3Pack, Tempered Glass Screen Protector [With Easy Installation Frame] [9H Hardness] [Anti-Scratch] [Bubble Free]-Clear iphone15",B0CFWR4YKR,False,False,4.7,371.0
20,"Ailun 3 Pack Privacy Screen Protector for iPhone 15 [6.1 inch] + 3 Pack Camera Lens Protector, Anti Spy Private Tempered Glass Film, Case Friendly, [9H Hardness] - HD [Black] [6 Pack]",B0CCYQ18W5,False,False,4.4,11012.0
21,Pehael [2+2 Pack] Compatible iPhone 15 Privacy Screen Protector with Camera Lens Protector Full Coverage Anti-Spy Tempered Glass Film 9H Hardness Upgrade Edge Protection Easy Installation Bubble Free Specially Designed for 2023 [6.1 inch],B0CDH2Z3T2,False,True,4.4,27367.0
