rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Apple iPhone 15 (128 GB) - Pink | [Locked] | Boost Infinite plan required starting at $60/mo. | Unlimited Wireless | No trade-in needed to start | Get the latest iPhone every year,B0CHBNXW73,False,False,,
1,"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed Premium)",B0BYLLR7QZ,False,False,4.2,173.0
2,"Apple iPhone 14, 128GB, (PRODUCT) Red - Unlocked (Renewed)",B0BN723RDK,False,False,4.4,776.0
3,Apple iPhone 15 Pro (128 GB) - Black Titanium | [Locked] | Boost Infinite plan required starting at $60/mo. | Unlimited Wireless | No trade-in needed to start | Get the latest iPhone every year,B0CHBMMNNH,False,False,,
4,Apple iPhone 15 Pro Max (256 GB) - White Titanium | [Locked] | Boost Infinite plan required starting at $60/mo. | Unlimited Wireless | No trade-in needed to start | Get the latest iPhone every year,B0CHBM9Y3C,False,False,,
5,"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",B0BN9426PP,False,False,4.5,516.0
6,"Apple iPhone 14 Pro, 256GB, Deep Purple - Unlocked (Renewed)",B0BN91GD3J,False,False,4.4,347.0
7,"Apple iPhone 13, 128GB, Blue - Unlocked (Renewed)",B09LNX6KQS,False,False,4.4,3503.0
8,"iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed Premium)",B0BGYG5GSJ,False,False,4.1,1060.0
9,Apple iPhone 15 Pro Max / 256GB / Blue Titanium - MU693LL/A (SIM Free),B0CK55SJXR,False,False,,
10,"Apple iPhone 14 Plus, 512GB, Blue - Unlocked (Renewed Premium)",B0BVL5B585,False,False,4.0,60.0
11,"SAMSUNG Galaxy Z Fold 5 Cell Phone, Factory Unlocked Android Smartphone, 256GB, Big 7.6” Screen for Streaming, Gaming, Dual App View, One-Hand Control, Hands-Free Use, US Version, 2023, Cream",B0C63F7F2P,False,False,2.5,3.0
12,"Apple iPhone 13 Pro Max (256 GB, Alpine Green) [Locked] + Carrier Subscription",B09V3HZ8B5,False,False,4.1,21.0
13,"iPhone 13 Mini, 128GB, Pink - Unlocked (Renewed)",B09LKF2RPP,False,False,4.3,1950.0
14,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",B07ZPKN6YR,False,False,4.3,42625.0
15,"iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)",B09LPDM924,False,False,4.3,1862.0
16,"TORRAS Magnetic Designed for iPhone 15 Case, Compatible with MagSafe, Military Grade Drop Tested, Shockproof Translucent Hard Back Slim Protective Case for iPhone 15 Phone Case, Black",B0CB5SNBJQ,False,True,4.4,37.0
17,"HayyaCaseor iPhone 15 Case : Heavy Duty Military Grade Drop Protective Case [2X Screen Protectors + Camera Lens Protector] for iPhone 15 6.1"", Black-1",B0CH9FSGBV,False,True,3.0,1.0
18,"ASUS ROG Cetra True Wireless Gaming Headphones (Low-Latency Bluetooth Earbuds, Active Noise Cancelation, 27-Hour Battery Life, IPX4 Water Resistance, Wireless Charging)- White",B0BRSCKG2D,False,True,4.2,513.0
