rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics USB-A to Lightning ABS Charger Cable, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 10,000 Bend Lifespan, 6 Foot, Black",B082T5WH22,True,False,4.6,21700.0
1,"Amazon Basics USB-A to Lightning Charger Cable, Nylon Braided Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 6 Foot, Dark Gray",B082T6GVKJ,True,False,4.7,82483.0
2,"Amazon Basics 12W One Port USB-A Wall Charger (2.4 Amp) for Phones (iPhone 13/12/11/X, Samsung, and more), Pack of 2, White",B0773JCTR5,True,False,4.7,32361.0
3,"Amazon Basics 2-Pack USB-A to Lightning ABS Charger Cable, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 6 Foot, White",B082T6K8Y2,True,False,4.6,68863.0
4,"Amazon Basics USB-C to Lightning ABS Charger Cable, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 6 Foot, White",B07XS5CTRJ,True,False,4.6,24152.0
5,"Amazon Basics USB-A to Lightning Charger Cable, Nylon Braided Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 10,000 Bend Lifespan, 6 Foot, Dark Gray",B082T6DGFY,True,False,4.7,21592.0
6,"Amazon Basics USB-C to Lightning Charger Cable, Nylon Braided Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 6 Foot, Dark Gray",B07XLCFSSN,True,False,4.6,21338.0
7,"Amazon Basics 30W One-Port GaN USB-C Wall Charger with Power Delivery PD for Tablets & Phones (iPhone 14/13/12/11/X,iPad,Samsung)-White (non-PPS)",B087MFJCQ4,True,False,4.5,4638.0
8,"Amazon Basics 20W One-Port USB-C Wall Charger with Power Delivery PD for Tablets & Phones (iPhone 14/13/12/11/X, iPad, Samsung), White (non-PPS), 1.81 x 1.73 x 1.09 inches",B08MVCMNDD,True,False,4.6,445.0
9,"Amazon Basics Nylon USB-C to Lightning Cable, MFi Certified Charging Cord for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 10,000 Bend Lifespan - Dark Gray, 3-Ft",B07XS35KS4,True,False,4.7,1104.0
10,"Amazon Basics USB-C Lightning Cable and USB-C Wall Charger Combo, Mfi Certified Charger for Apple iPhone 11, 12, iPad - 6ft White",B097H8LXKJ,True,False,4.7,12.0
11,"Amazon Basics USB-C Lightning Cable and USB-C Wall Charger Combo, Mfi Certified Charger for Apple iPhone 11, 12, iPad - 3ft Black",B097H4HZ3Q,True,False,5.0,2.0
12,"Amazon Basics 65W GaN USB-C Charger for Laptops, Tablets and Phones with Power Delivery and 10ft USB-C Charging Cable - White (May Ship Separately)",B0932GXPNJ,True,False,4.6,6.0
13,"Amazon Basics USB-C Lightning Cable and USB-C Wall Charger Combo, Mfi Certified Charger for Apple iPhone 11, 12, iPad - 6ft Black",B097H7D4SG,True,False,4.8,8.0
14,"Amazon Basics USB-C Lightning Cable and USB-C Wall Charger Combo, Mfi Certified Charger for Apple iPhone 11, 12, iPad - 6ft Silver",B097H6LYJC,True,False,,
15,"AmazonBasics Coiled Cable Lightning Car Charger - 5V 12W - 1.5 Foot, Black, 5-PACK",B07NBWZF3Z,True,False,4.5,76.0
