rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"JBL FLIP 5, Waterproof Portable Bluetooth Speaker, Black, Small",B07QK2SPP7,False,True,4.8,71909
1,JBL Bar 9.1 - Channel Soundbar System with Surround Speakers and Dolby Atmos,B084KGSV4Q,False,True,4.4,1290
2,"JBL FLIP 5, Waterproof Portable Bluetooth Speaker, Black, Small",B07QK2SPP7,False,False,4.8,71909
3,JBL Charge 4 - Waterproof Portable Bluetooth Speaker - Black,B07HKQ6YGX,False,False,4.8,52069
4,JBL Xtreme 2 Portable Bluetooth Waterproof Speaker (Camouflage),B07KGKF8MQ,False,False,4.7,13965
5,"JBL Boombox 3 - Portable Bluetooth Speaker, Powerful Sound and Monstrous bass, IPX7 Waterproof, 24 Hours of Playtime, powerbank, JBL PartyBoost for Speaker Pairing, and eco-Friendly Packaging (Black)",B09YDS8BHK,False,False,4.6,857
6,"Portable Loud Bluetooth Speakers with Subwoofer, 70W Outdoor Speakers Wireless Waterproof, Triple Passive Radiators-Deep Bass/Hi-fi Audio/DSP/42H/Power Bank/TF/AUX/EQ/Opener",B09MKRC6KS,False,True,4.6,5946
7,"JBL Clip 3, Black - Waterproof, Durable & Portable Bluetooth Speaker - Up to 10 Hours of Play - Includes Noise-Cancelling Speakerphone & Wireless Streaming",B07Q6ZWMLR,False,False,4.7,71852
8,"JBL Xtreme 3 - Portable Bluetooth Speaker, Powerful Sound and Deep Bass, IP67 Waterproof, 15 Hours of Playtime, Powerbank, JBL PartyBoost for Multi-speaker Pairing (Black)(Renewed)",B08T6DDSDJ,False,False,4.6,1464
9,"JBL Bar 1300X: 11.1.4-Channel soundbar with Detachable Surround Speakers, MultiBeam™, Dolby Atmos® and DTS:X®, Black",B0BQPPH1GM,False,False,4.0,23
10,"JBL Charge 3 Waterproof Portable Bluetooth Speaker (Black), 1",B01F24RHF4,False,False,4.7,41705
11,"W-KING Bluetooth Speakers - IP67 Waterproof Outdoor Portable Wireless Speaker, Customized EQ APP/Deep Bass, 40W HD 360° Stereo Surround Sound with Lights/V5.3/DSP/TF/AUX, Dustproof for Shower, Camping",B0C9PRT6ZQ,False,True,4.3,53
12,"JBL Flip 6 - Portable Bluetooth Speaker, Powerful Sound and deep bass, IPX7 Waterproof, 12 Hours of Playtime- Black (Renewed)",B09NWJ5BT5,False,False,4.6,1018
13,"JBL Flip 4, Black - Waterproof, Portable & Durable Bluetooth Speaker - Up to 12 Hours of Wireless Streaming - Includes Noise-Cancelling Speakerphone, Voice Assistant & JBL Connect+",B01MSYQWNY,False,False,4.8,114749
14,JBL Partybox 310 Portable Rechargeable Bluetooth RGB LED Party Box Speaker,B08LHLHFKV,False,False,4.8,148
15,JBL PartyBox On-The-Go Portable Party Speaker with Built-in Lights Black (Renewed) (with Microphone),B08RRNGD21,False,False,4.5,789
16,"JBL Authentics 500 - Wireless Home Speaker with Bluetooth, Voice Control, and Dolby Atmos, Multi Room Playback, Built in Alexa and Google Assistant",B0CCK36RSY,False,True,4.0,1
17,JBL Clip 4 Portable Wireless Bluetooth Waterproof/Dustproof Speaker - Black (Renewed),B08WYMGP75,False,False,4.7,2050
18,JBL Pulse 4 - Waterproof Portable Bluetooth Speaker with Light Show - Black,B07XK9L6XH,False,False,4.7,2845
19,JBL Boombox 3 - Portable Bluetooth Speaker - Squad (Renewed),B0BP8DXVNR,False,False,4.5,277
20,"JBL Tune 710BT Wireless Over-Ear - Bluetooth Headphones with Microphone, 50H Battery, Hands-Free Calls, Portable (Black), Medium",B095QN9WHH,False,False,4.5,5370
21,"JBL Authentics 200 - Wireless Home Speaker, Built in Wi-Fi, Bluetooth and Voice Assistants, Built in Alexa and Google Assistant",B0CCK25S7Z,False,True,3.8,4
