rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Simple Joys by Carter's,B07GP7FSB7,True,False,4.7,11479
1,Simple Joys by Carter's,B077V4P5VB,True,False,4.8,4059
2,Simple Joys by Carter's,B09VVS2275,True,False,4.5,68
3,Simple Joys by Carter's,B07ZPQ1QZ6,True,False,4.8,8475
4,Simple Joys by Carter's,B09VV63ZHJ,True,False,4.7,8413
5,Amazon Essentials,B09GNGD99Q,True,False,4.3,15139
6,Amazon Essentials,B07BJ8C6R4,True,False,4.3,38243
7,Amazon Essentials,B08X2H76QC,True,False,4.5,30131
8,Simple Joys by Carter's,B07NH24F3H,True,False,4.8,23564
9,Simple Joys by Carter's,B093TLZVVT,True,False,4.7,251
10,Simple Joys by Carter's,B01MDUHNQR,True,False,4.8,36574
11,Simple Joys by Carter's,B07MY1R4TT,True,False,4.8,15425
12,Simple Joys by Carter's,B07ZPQ3X69,True,False,4.7,12409
13,Simple Joys by Carter's,B07ZPQF6LC,True,False,4.6,6752
14,The Drop,B08FS9FFPJ,True,False,4.0,606
15,Amazon Essentials,B08X2B2G65,True,False,4.5,24954
16,Amazon Essentials,B07FM8SL3K,True,False,4.1,2057
17,Simple Joys by Carter's,B08XW9LPZD,True,False,4.7,894
18,Amazon Essentials,B07P8NSTGH,True,False,4.5,8528
19,Simple Joys by Carter's,B07Q82K36R,True,False,4.8,9727
20,The Drop,B095J9CG5W,True,False,3.9,177
21,Amazon Essentials,B08WY522X7,True,False,4.6,816
22,Simple Joys by Carter's,B0797NGWZK,True,False,4.8,16181
23,Amazon Essentials,B09GNHLC6J,True,False,4.3,17667
24,Simple Joys by Carter's,B09VVSLY4W,True,False,4.8,5849
25,Amazon Essentials,B07FK1BGLL,True,False,4.4,7028
26,Amazon Essentials,B0BHTD1XG1,True,False,4.1,114
27,Amazon Essentials,B093C5WG3Y,True,False,4.7,1862
28,Simple Joys by Carter's,B0875J6R7Q,True,False,4.7,1210
29,Amazon Essentials,B07JXTYHB1,True,False,4.3,9033
30,Amazon Essentials,B08X2FH9G6,True,False,4.6,42234
31,Amazon Essentials,B07J6MCJ3G,True,False,4.6,6256
32,Simple Joys by Carter's,B09VVB887C,True,False,4.8,129
33,Amazon Essentials,B08J944HF3,True,False,4.4,2114
34,Simple Joys by Carter's,B0744PQTJD,True,False,4.8,1292
35,Amazon Essentials,B09RB7V44F,True,False,4.4,56
36,Amazon Essentials,B07BKVHHMM,True,False,4.4,2368
37,Simple Joys by Carter's,B01N52E9EL,True,False,4.8,34437
38,Simple Joys by Carter's,B01MDUH9PG,True,False,4.8,2593
39,Amazon Essentials,B07FKBQGT3,True,False,4.4,3065
40,Simple Joys by Carter's,B01MG8N2EI,True,False,4.8,972
41,Simple Joys by Carter's,B01MRDV6RU,True,False,4.8,2704
42,Amazon Essentials,B07H2JSK37,True,False,4.6,1353
43,Simple Joys by Carter's,B07ZPQ2RNB,True,False,4.8,2662
44,Simple Joys by Carter's,B0744PMZVF,True,False,4.8,1905
45,Amazon Essentials,B08XQX879J,True,False,4.2,2877
46,Simple Joys by Carter's,B0744PNWQQ,True,False,4.8,2240
47,Amazon Essentials,B07HL3WRX7,True,False,4.7,4055
