rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,CHESKY,B09PRKQYQL,False,True,4.4,7416
1,Kendra Scott,B00RYURH8M,False,False,4.6,11927
2,Houston Diamond District,B01N51R2JO,False,False,4.5,79
3,PAVOI,B07QTJ1WWL,False,False,4.4,9653
4,CONGYING,B0BGF3HRFD,False,False,3.6,151
5,Turandoss,B07YCP1GT7,False,False,4.5,21703
6,Angara,B01ET1ZMCG,False,False,4.1,83
7,PAVOI,B0C8BHKN2B,False,False,4.4,28
8,PAVOI,B088S63CRB,False,False,4.4,17840
9,PAVOI,B07TBN9JRJ,False,False,4.4,23655
10,MEALGUET,B0C32PPCPS,False,True,4.3,72
11,Nonnyl,B0BZYCS9DS,False,True,5.0,3
12,Leafael,B07RQVT2N1,False,True,4.6,23474
13,Apsvo,B0BWXTBK53,False,True,4.5,1891
14,SISGEM,B07Q9Z2L6G,False,False,4.3,123
15,DEARMAY,B0BRS255G2,False,False,4.5,735
16,PAVOI,B0B2QCCBTV,False,False,4.2,2652
17,Tewiky,B08PQHWCDT,False,False,4.5,6751
18,Tewiky,B0C1GZDW43,False,True,4.3,278
19,HSWYFCJY,B0C3CX6VRR,False,True,4.6,37
20,Moodear,B0B4DLH399,False,True,4.6,1461
21,TOUPOP,B0BZ4DHHDR,False,True,5.0,8
22,Dlihc,B08GPJVH5J,False,False,4.3,8356
23,M MOOHAM,B08L8Y43C4,False,False,4.6,42894
24,XIANNVXI,B089H1G5SM,False,False,4.6,4672
25,PAVOI,B082YJ6NMN,False,False,4.4,6950
26,Nonnyl,B09DD7C9BK,False,True,4.4,17
27,Fesciory,B0BVZF3BSN,False,True,4.5,3932
28,BriLove,B0C7VR3ZRB,False,True,4.5,1322
29,Foxgirl,B0C2HQMVCF,False,False,4.6,276
30,Tewiky,B09Q33WGZW,False,False,4.4,2103
31,Caiyao,B09HZQNVXC,False,False,4.3,330
32,PAVOI,B07ML324GG,False,False,4.5,45657
33,adoyi,B09GY75W7Y,False,False,4.5,2976
34,Turandoss,B08CS92DCB,False,False,4.4,7016
35,PAVOI,B0B3S2HMH3,False,False,4.4,641
36,Kendra Scott,B08FGZHW3C,False,False,4.7,3164
37,SWAROVSKI,B08CKG81DY,False,False,4.5,2946
38,MUYAN,B0BYMHFPB7,False,False,4.6,1200
39,KissYan,B08YCW767L,False,False,4.5,6431
40,PAVOI,B094H8FR5R,False,False,4.2,8967
41,MBW,B0C1VQDVVF,False,False,4.3,80
42,Feskive,B0BPM6NYBW,False,False,4.3,471
43,Betsey Johnson,B07MJGW31F,False,False,4.4,280
44,PAVOI,B08CT6BKDY,False,False,4.2,3958
45,MEVECCO,B07QD4CJP1,False,False,4.5,21496
46,PAVOI,B094H5S3TY,False,False,4.5,2639
47,Kenjudess,B0BB7FCTBZ,False,False,3.9,105
48,Miabella,B07F7BP9PG,False,False,4.5,5863
49,PAVOI,B01NGZQ9RT,False,False,4.3,13263
50,Tasiso,B0B4RYVHWQ,False,False,4.5,833
51,Fettero,B07JB1YXSV,False,False,4.4,34991
52,FAXHION,B0BHH6Z7BM,False,False,4.4,1793
53,FISSEN JEWELRY,B0C39QF14T,False,False,4.3,200
54,SWAROVSKI,B00P9L2NVO,False,False,4.7,6563
55,MEVECCO,B07YDCMD3S,False,False,4.5,10385
56,PAVOI,B07FG15JFY,False,False,4.7,5926
57,Warehouse of Tiffany,B00A6V1H2S,False,False,4.2,278
58,PAVOI,B07QSFHT27,False,False,4.4,16052
59,KELORIS PATH,B09MLBZVC2,False,False,4.5,2396
