rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Organic Cranberry Juice, 32 Fl Oz",B074H7K3GX,True,False,4.5,4612
1,"Dole 100% Pineapple Juice, 100% Fruit Juice with Added Vitamin C, 8.4 Fl Oz (Pack of 24)",B002IGA2FW,False,True,4.7,9033
2,"Tropicana 100% Juice, 3 flavor, 10 fl oz (Pack of 24) - Pineapple Peach Mango Juice, Fruit Medley, Strawberry Orange Juice",B01LYR34WA,False,False,4.6,52786
3,"Ocean Spray Juice Drink, Cranberry Mango, 64 Fl Oz Bottle",B017ALDJ72,False,False,4.8,15759
4,"V8 Splash Tropical Fruit Blend Juice Beverage, 64 fl oz Bottle",B00IAE5TPE,False,False,4.7,1364
5,"Amazon Fresh, Cranberry Pineapple Juice Cocktail, 64 Fl Oz",B09SM7NY5L,True,False,4.6,671
6,"Amazon Brand - Happy Belly Juice Cocktail, Cranberry, 64 Fl Oz Bottle",B07WKLBFH9,True,False,4.7,24085
7,"Capri Sun Pacific Cooler Mixed Fruit Naturally Flavored Kids Juice Drink Blend (10 ct Box, 6 fl oz Pouches)",B000R30X2A,False,False,4.7,47139
8,"Snapple Kiwi Strawberry Juice Drink, 16 fl oz recycled plastic bottle, Pack of 12",B079H3B1K7,False,False,4.6,505
9,"Dole 100% Pineapple Juice, 100% Fruit Juice with Added Vitamin C, 8.4 Fl Oz (Pack of 24)",B002IGA2FW,False,False,4.7,9033
10,"365 by Whole Foods Market, Organic Lime Juice, 10 Fl Oz",B074H8KLVL,True,False,4.6,6540
11,"Mott's 100% Original Apple Juice, 8 fl oz bottles (Pack of 24)",B00FYR4V5Y,False,True,4.8,23078
12,"Mott's 100% Original Apple Juice, 8 fl oz bottles (Pack of 24)",B00FYR4V5Y,False,False,4.8,23078
13,Jumex Guava Nectar and Strawberry-Banana Nectar Fridge Pack | Recyclable Can with Non-BPA Lining | Two Varieties in One Convenient Package | 11.3 Fl Oz (Pack of 12),B00VBQYXNM,False,False,4.5,2333
14,Juice,B0BPHS23DV,False,False,4.8,3901
15,"365 By Whole Foods Market, Juice Reduced Sugar Mango Passionfruit Organic, 64 Fl Oz",B09QF9ZW3G,False,False,4.3,29
