rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Jumper Cable for Car Battery, 10 Gauge, 12 Foot",B074DMCRNF,True,False,4.7,14428
1,"Amazon Basics RJ45 Cat 6 Ethernet Patch Cable, 1Gpbs Transfer Speed, Gold-Plated Connectors, 5 Foot",B00N2VILDM,True,False,4.7,124384
2,"Amazon Basics 1/4 Inch Guitar Patch Cable - 6 Inch, 6-Pack, Black",B081T39QJS,True,False,4.7,2923
3,"Amazon Basics 2 RCA Audio Cable for Stereo Speaker or Subwoofer with Gold-Plated Plugs, 4 Foot, Black",B01D5H8P0G,True,False,4.7,14927
4,"Amazon Basics XLR Microphone Cable for Speaker or PA System, All Copper Conductors, 6MM PVC Jacket, 6 Foot, Black",B01JNLTTKS,True,False,4.7,41435
5,"Amazon Basics 3.5mm Aux Audio Cable for Stereo Speaker or Subwoofer with Gold-Plated Plugs, 4 Foot, Black",B00NO73MUQ,True,False,4.6,74753
6,"Amazon Basics Snagless RJ45 Cat-6 Ethernet Patch Internet Cable - 3-Foot, Black, 5-Pack",B07RQ32D9H,True,False,4.8,10018
7,"Amazon Basics Flexible and Durable Premium HDMI Cable (18Gpbs, 4K/60Hz) - 3 Feet, Black",B07KSMBL2H,True,False,4.7,21275
8,"Amazon Basics Banana Plug 16AWG Speaker Cable Wire, CL2 Rated with Gold-Plated Banana Tip Plugs (4mm), 99.9% Oxygen-Free, 3 Foot, Black",B07FDCGP9Q,True,False,4.5,3191
9,Amazon Essentials Women's Classic-Fit Gathered Long-Sleeve Crewneck Sweatshirt,B08JFZWXDJ,True,False,4.2,721
10,"Amazon Basics XLR 4-Conductor Star Quad Balanced Microphone Cable - 3-Foot, Black",B08YKGS8VF,True,False,4.6,285
