rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,PUMIEY,B0CFGQZ3VT,False,True,4.0,1
1,ANRABESS,B09QHTXWN7,False,True,4.1,6071
2,snugwind,B09264DP51,False,True,4.4,6051
3,Fisoew,B0BQ3B6V7Z,False,True,4.3,543
4,OQQ,B0BBYVRZM3,False,False,4.5,4483
5,OQQ,B0BBZTJ44K,False,False,4.3,2713
6,QINSEN,B0C7GV1W7X,False,False,4.6,221
7,AUTOMET,B0BQRTSLYW,False,False,4.5,2974
8,QINSEN,B0C1YK92BT,False,False,4.5,944
9,AUTOMET,B0C74Y7HLY,False,False,4.4,119
10,ANRABESS,B09QHW2XW6,False,True,4.2,2092
11,PRETTYGARDEN,B08QMBFWSR,False,True,4.3,14537
12,Nfsion,B0B6JNB8PF,False,True,4.3,447
13,PRETTYGARDEN,B088F8FK36,False,True,4.3,5643
14,Dokotoo,B0C5J6VB1J,False,False,4.2,113
15,QINSEN,B0C6PRQQRK,False,False,4.6,309
16,QINSEN,B0CBBCYPBS,False,False,4.4,42
17,PRETTYGARDEN,B07P6Z97SY,False,False,4.3,14537
18,Cnkwei,B0BWTK66WN,False,True,4.4,79
19,Nfsion,B0B38VK4C2,False,True,4.5,480
20,KAY SINN,B07S7Z4FFM,False,True,4.3,4586
21,Prinbara,B09PMMG4MG,False,True,4.3,1962
22,PRETTYGARDEN,B0C6TL9PD3,False,False,4.3,75
23,Dokotoo,B08Y1FRSVT,False,False,4.2,10890
24,OQQ,B0BR34HPGV,False,False,4.4,913
25,ANRABESS,B08W33PD7K,False,False,4.5,1384
26,Lviefent,B0BZVWHRBQ,False,False,4.4,299
27,PRETTYGARDEN,B07NYN2FPF,False,False,4.2,10090
28,MOOSLOVER,B0C98HG63F,False,False,4.4,45
29,PRETTYGARDEN,B0BMTY1NPK,False,False,4.0,305
30,Dokotoo,B0C89WRDXH,False,False,4.1,167
31,Sarin Mathews,B0C7N2S91P,False,False,4.7,79
32,YESNO,B07X1SZ2F9,False,False,4.3,23458
33,Dokotoo,B0CDVCFWD4,False,False,3.9,10
34,Dokotoo,B0C1NQ1LNL,False,False,4.3,162
35,QINSEN,B0BXS54832,False,False,4.3,1898
36,ANRABESS,B0B1MHK6YZ,False,False,4.3,768
37,Amazon Essentials,B0BG7GPSZ8,True,False,4.0,93
38,AUTOMET,B0BX69JTFF,False,False,4.2,148
39,PRETTYGARDEN,B0BR31KCMX,False,False,4.1,1159
40,Dokotoo,B0C9QHN9TK,False,False,3.9,63
41,OQQ,B0BJ1TSMXR,False,False,4.3,689
42,QINSEN,B0C8LS8B12,False,False,4.5,74
43,ANRABESS,B0C141SBSL,False,False,4.6,876
44,YIOIOIO,B0C72M8761,False,False,4.7,86
45,PRETTYGARDEN,B07L4CTP75,False,False,4.3,52275
46,ANRABESS,B0BRK8RXT5,False,False,4.3,1207
47,QINSEN,B0BLY4SNY3,False,False,4.4,415
48,WDIRARA,B0B24ZX553,False,False,4.1,288
49,PRETTYGARDEN,B0BX58LGDL,False,False,4.2,140
50,BTFBM,B0C85F7RDK,False,False,3.8,53
51,OQQ,B0B2K1D6FQ,False,False,4.2,5779
52,Amazon Essentials,B08P4RCP38,True,False,4.3,3419
53,SUUKSESS,B0C3PZM1YN,False,False,4.4,155
54,chouyatou,B0B2D9D5TS,False,False,4.0,433
55,WDIRARA,B0B24W29C5,False,False,3.7,708
56,HYZ,B0CBRNG831,False,False,3.5,4
57,OQQ,B0C8SD9SN9,False,False,4.7,17
58,OMKAGI,B0C9JKP2N1,False,False,4.4,42
59,AUTOMET,B0BWXQD2DW,False,False,3.7,328
