rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P23H371,True,False,4.4,140287
1,"Starbucks K-Cup Coffee Pods, Naturally Flavored Coffee Variety Pack for Keurig Brewers, 100% Arabica, 6 Boxes (60 Pods Total)",B075SWV15X,False,True,4.7,37838
2,"Starbucks K-Cup Coffee Pods, Starbucks Blonde, Medium, Dark Roast And Naturally Flavored Coffee Variety Pack, 1 Box (40 Pods)",B07L9V4Y98,False,True,4.6,7511
3,"Starbucks K-Cup Coffee Pods, Starbucks Blonde Roast, Veranda Blend for Keurig Brewers, 100% Arabica, 1 Box (40 Pods)",B0944SV7P1,False,True,4.7,1216
4,"The Original Donut Shop Regular Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 48 Count",B00NA794MK,False,False,4.7,82949
5,"Keurig Coffee Lovers' Collection Sampler Pack, Single-Serve K-Cup Pods, Compatible with all Keurig 1.0/Classic, 2.0 and K-Café Coffee Makers, Variety Pack, 40 Count",B071Z8LD77,False,False,4.6,71925
6,"McCafé Classic Collection, Single-Serve Coffee Keurig K-Cup Pods, Classic Collection Variety Pack, 40 Count",B08D4WD1HG,False,False,4.7,68823
7,"Starbucks K-Cup Coffee Pods, Holiday Blend Medium Roast Coffee, 100% Arabica, Limited Edition Holiday Coffee, 1 Box (32 Pods)",B07MTPPZWN,False,False,4.7,2498
8,"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P23H371,True,False,4.4,140287
9,"Kirkland Signature Organic Breakfast Blend Light-Roast Coffee, K-Cup Pods, 120 Count",B07TRZLZKQ,False,False,4.6,3789
10,"Amazon Brand - Happy Belly Medium Roast Coffee Pods, Colombian, Compatible with Keurig 2.0 K-Cup Brewers, 24 Count",B07NYQNBLH,True,False,4.4,51390
11,"Maud's Super Flavored Coffee Variety Pack, 80ct. Solar Energy Produced Recyclable Single Serve Coffee Pods Jam-Packed with 16 Flavors - 100% Arabica Coffee California Roasted, KCup Compatible",B08DQQVL1H,False,True,4.2,75627
12,Starbucks K-Cup Coffee Pods—Dark Roast Coffee—Sumatra for Keurig Brewers—100% Arabica—4 boxes (96 pods total),B071J3ZF26,False,True,4.8,4026
13,Starbucks K-Cup Coffee Pods—Medium Roast Coffee—Pike Place Roast for Keurig Brewers—100% Arabica—4 boxes (96 pods total),B009GDBNF8,False,True,4.8,9414
14,"Green Mountain Coffee Roasters Seasonal Selections Pumpkin Spice, Keurig Single-Serve K-Cup Pods, Light Roast Cofee, 32 Count",B07FXZDF8B,False,False,4.7,16523
15,"Lavazza Variety Pack Single-Serve K-Cup® for Keurig Brewer Coffee, 60 Count (Pack of 1) , Notes of: fruits, flowers, chocolate, caramel, citrus",B08HJL4MP7,False,False,4.6,814
16,"Starbucks K-Cup Coffee Pods, Pumpkin Spice Naturally Flavored Coffee for Keurig Brewers, 100% Arabica, Limited Edition, 1 Box (32 Pods)",B07TJKP95N,False,False,4.5,3123
17,Lavazza Perfetto Single-Serve Coffee K-Cups for Keurig Brewer (Pack of 40) (Packaging May Vary),B08ZW8V27M,False,False,4.4,5463
18,"Two Rivers Coffee Flavored Coffee Pods Compatible with Keurig K Cup Brewers, Assorted Variety Pack Flavored Coffee, 40 Count",B00N0JIACS,False,True,4.4,54544
19,"Starbucks K-Cup Coffee Pods, Black Coffee Variety Pack for Keurig Brewers, 100% Arabica, 4 Boxes (96 Pods Total)",B07FYJ4MRF,False,True,4.8,647
20,"Starbucks K-Cup Coffee Pods, Dark Roast, Caffè Verona for Keurig Brewers, 100% Arabica, 1 Box (40 Pods)",B0944B7K4W,False,True,4.7,1310
21,"Starbucks K-Cup Coffee Pods, Medium And Dark Roast Coffee Variety Pack for Keurig Brewers, 100% Arabica, 6 Boxes (60 Pods Total)",B075T39QB7,False,True,4.7,4289
22,"Dunkin' Original Blend Medium Roast Coffee, 10 Count (Pack of 6), Total 60 Keurig K-Cup Pods",B00XA1075Y,False,False,4.8,34962
23,"Peet's Coffee, Dark Roast K-Cup Pods for Keurig Brewers - Major Dickason's Blend 75 Count (1 Box of 75 K-Cup Pods)",B01N2KFHRS,False,False,4.8,28529
24,"Caribou Coffee Caribou Blend, Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 32 Count",B0798KV8HL,False,False,4.7,21510
25,"Green Mountain Coffee Roasters Nantucket Blend, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 24 Count (Pack of 4), Total 96 Count",B007TJGZ5E,False,False,4.7,76700
26,"Green Mountain Coffee Roasters Caramel Vanilla Cream, Single-Serve Keurig K-Cup Pods, Flavored Light Roast Coffee Pods, 32 Count",B0798CX2Q9,False,False,4.7,41528
27,"San Francisco Bay Compostable Coffee Pods - Original Variety Pack (80 Ct) K Cup Compatible including Keurig 2.0, French, Breakfast, Fog, Organic Rainforest",B00HS6FQRQ,False,False,4.5,79432
28,Starbucks K-Cup Coffee Pods—Medium Roast Coffee—Pike Place Roast for Keurig Brewers—100% Arabica—6 boxes (60 pods total),B07PNKZ4Y8,False,False,4.7,2996
29,"Tim Hortons Original Blend, Medium Roast Coffee, Single-Serve K-Cup Pods Compatible with Keurig Brewers, 24 Count(Pack of 1)",B00H6XZ38S,False,False,4.7,8772
30,"Cinnabon Classic Cinnamon Roll Keurig Single-Serve K-Cup Pods, Light Roast Coffee, 48 Count",B07Y2J956N,False,False,4.7,16056
31,"Crave Beverages Flavored Coffee Pods Sampler, Compatible with 2.0 K-Cup Brewers, Assorted Variety Pack, 100 Count",B07M7PQDH3,False,False,4.4,48041
32,Maxwell House House Blend Medium Roast K-Cup Coffee Pods (84 ct Box),B00NLVFO2O,False,False,4.7,24825
33,Gevalia Signature Blend Mild Light Roast K-Cup Coffee Pods (84 ct Box),B00EY31166,False,False,4.7,28741
34,"Café Bustelo Espresso Style Dark Roast Coffee, 72 Keurig K-Cup Pods",B00MA5LA48,False,False,4.7,31268
35,"Krispy Kreme Classic, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee Pods, 32 Count",B0798LF9DX,False,False,4.7,14798
36,"Two Rivers Coffee Flavored Coffee Pods Compatible with Keurig K Cup Brewers, Assorted Variety Pack Flavored Coffee, 40 Count",B00N0JIACS,False,False,4.4,54544
37,"The Original Donut Shop Vanilla Latte, Single-Serve Keurig K-Cup Pods, Flavored Coffee, 20 Count",B07XG1G8KP,False,False,4.6,18318
38,"Amazon Brand - Happy Belly Medium Roast Coffee Pods, Donut Style, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P1ZFBRS,True,False,4.4,51390
39,"Starbucks K-Cup Coffee Pods, Starbucks Blonde, Medium, Dark Roast And Naturally Flavored Coffee Variety Pack, 1 Box (40 Pods)",B07L9V4Y98,False,False,4.6,7511
40,"Starbucks K-Cup Coffee Pods, Fall Blend Medium Roast Coffee for Keurig Brewers, 100% Arabica, Limited Edition, 1 Box (10 Pods)",B07JVYTCFG,False,False,4.7,37838
