rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P23H371,True,False,4.4,140287.0
1,"Amazon Brand - Happy Belly Medium Roast Coffee Pods, Donut Style, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P1ZFBRS,True,False,4.4,51390.0
2,"AmazonFresh 80 Ct. K-Cups, Colombia Medium Roast, Keurig K-Cup Brewer Compatible",B07BF2YJ1F,True,False,4.4,21263.0
3,"Amazon Brand - Solimo Decaf Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B079V5L9JL,True,False,4.5,11598.0
4,"Amazon Brand - Happy Belly Dark Roast Coffee Pods, Compatible with K-Cup Brewer, 96 Count",B08ZZP3BKK,True,False,4.3,2481.0
5,"Amazon Brand - Happy Belly Cappuccino Coffee Pods Compatible with K-Cup Brewers, Caramel Flavored, 24 Count",B0B6DJXQHR,True,False,4.4,2308.0
6,"Amazon Brand - Happy Belly Tea Pods Compatible with 2.0 K-Cup Brewers, Chai Latte, 24 Count (Previously Solimo)",B07WYXPHJ7,True,False,4.1,6280.0
7,"AmazonFresh 80 Ct. K-Cups, Decaf Colombia Medium Roast, Keurig K-Cup Brewer Compatible",B07BF3GFRD,True,False,4.5,7231.0
8,"Amazon Brand - Happy Belly Tea Pods Compatible with 2.0 K-Cup Brewers, English Breakfast, 24 Count (Previously Solimo)",B07X4M22ZW,True,False,4.5,1128.0
9,"Amazon Brand - Happy Belly Variety Pack Coffee Pods, Compatible with K-Cup Brewer (Breakfast Blend, Dark/ Medium/ French Roast) 96 count (Pack of 1)",B08ZZJ69KW,True,False,4.2,951.0
10,"Amazon Brand - Happy Belly Tea Pods Compatible with 2.0 K-Cup Brewers, Green Tea, 24 Count (Previously Solimo)",B07X3M356C,True,False,4.5,848.0
11,"Amazon Brand - Happy Belly Decaf Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P1ZCWKK,True,False,4.5,5501.0
12,"Amazon Brand - 48Ct. Solimo Coffee Pods(24 Ct. Colombian & 24 Ct. French Roast) , Compatible with Keurig 2.0 K-Cup Brewers",B083VB8J9K,True,False,4.4,119.0
13,"Amazon Brand - Happy Belly Espresso Roast Coffee Pods (Dark Roast), Compatible with K-Cup Brewer, 96 Count",B08ZZLNY9K,True,False,4.3,647.0
14,"Amazon Brand - 100 Ct. Solimo Light Roast Coffee Pods, Breakfast Blend, Compatible & 100 Ct. Solimo Light Roast Coffee Pods, French Vanilla Flavored, Compatible with Keurig 2.0 K-Cup Brewers",B08FRSNWTF,True,False,4.7,5.0
15,"Amazon Brand - 100 Ct. Solimo Dark Roast Coffee Pods, French Roast & 100 Ct. Solimo Decaf Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers",B08FRTL1J6,True,False,4.9,17.0
