rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 2.4GHz Wireless Computer Keyboard and Mouse Combo, Quiet and Compact US Layout (QWERTY), Black",B0787CVBWP,True,False,4.1,4739.0
1,"Amazon Basics Wireless Full Size Computer Keyboard and Mouse Combo, US Layout (QWERTY), Black",B079YQPNJS,True,False,4.2,1486.0
2,"Amazon Basics Wired Computer Keyboard & Mouse, 10-Pack, Black",B01N27QVPA,True,False,4.5,10247.0
3,"Adesso Truform Media 1600 (WKB-1600CB) 2.4GHz RF Wireless Ergonomic Keyboard and Optical Mouse , Multi-Media Keys and Adjustable DPI Mouse 5 Million Keystrokes Black",B07ML1QCK5,False,False,4.2,515.0
4,"Adesso WKB-1100CB Natural Ergonomic Wireless Spill Resistant Mini Keyboard & Mouse Combo,Black",B078TGFPV4,False,False,3.8,19.0
5,"Adesso WKB-1150CB Easytouch Desktop Multimedia Keyboard and Mouse Combo-Wireless Wave Combo -Curved Comfort, Black",B075GW5XD5,False,False,3.9,71.0
6,"Adesso WKB-1320CB EasyTouch - Wireless Desktop Keyboard and Mouse Combo, Black",B08B4ZJH11,False,False,4.5,14.0
7,"Adesso WKB-1330CB - Wireless Keyboard and Mouse Combo, Desktop Keyboard, Ambidextrous Mouse, Multimedia Hotkeys, Long Battery Life with USB Nano Receiver for Desktop/PC/Windows XP/7/8/10,Black",B074G1RYJ9,False,False,4.0,17.0
8,"Adesso WKB-1500GB - Wireless Ergonomic Desktop Keyboard and Laser Mouse with Split Keys Design and Palm Rest for Comfort, Long Battery Life, Nano Receiver - Compatible for PC & Windows XP/7/8/10,Black",B00CIZPXRU,False,False,4.0,425.0
9,Adesso - Wireless presenter air mouse with full size keyboard,B0B2BF5JC3,False,False,,
10,"Adseeo Tru-for 3500 2.4GHz Wireless Ergonomic Trackball Keyboard for Win 8/7/Vista/XP (WKB-3500UB), Black",B00DN7DMWK,False,False,3.3,127.0
11,Adesso WKB-1500GB Tru-Form Media 1500 Wireless Ergonomic Keyboard and Laser Mouse,B01M6TMH0C,False,False,3.3,6.0
12,"AmazonBasics PC Programmable Gaming Mouse | Adjustable 12,000 DPI, Weight Tuning (Renewed)",B08HVXBG1N,True,False,5.0,1.0
13,"Amazon Basics 3-Button Wired USB Computer Mouse, Single, Black",B005EJH6RW,True,False,4.6,76306.0
14,Amazon Basics Ergonomic Wireless PC Mouse - DPI adjustable - Black,B0787D6SGQ,True,False,4.4,19389.0
15,Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,B005EJH6Z4,True,False,4.5,58138.0
