rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Low-Profile Wired USB Keyboard with US Layout (QWERTY), Matte Black",B07WJ5D3H4,True,False,4.5,5260
1,"UBOTIE Colorful Computer Wireless Keyboard Mice Combo, Retro Typewriter Flexible Keys Office Full-Sized Keyboard, 2.4GHz Dropout-Free Connection and Optical Mouse (Pink-Colorful)",B087JVSJ91,False,True,4.5,14499
2,"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",B079JLY5M5,False,False,4.5,87262
3,"Gaming Keyboard, 104 Keys All-Metal Panel, Dacoity Rainbow LED Backlit Quiet Keyboard, Wrist Rest, Multimedia Keys, 19 Anti-ghosting Keys, Waterproof Light Up USB Wired Keyboard for Office PC Mac Xbox",B09TZWLFLY,False,False,4.5,1849
4,"Amazon Basics Low-Profile Wired USB Keyboard with US Layout (QWERTY), Matte Black",B07WJ5D3H4,True,False,4.5,5260
5,"NPET K10 Wired Gaming Keyboard, LED Backlit, Spill-Resistant Design, Multimedia Keys, Quiet Silent USB Membrane Keyboard for Desktop, Computer, PC (Black)",B01ALLT2W4,False,False,4.5,17466
6,"Amazon Basics USB Wired Computer Keyboard (QWERTY) and Mouse Bundle Pack, black",B00B7GV802,True,False,4.5,10247
7,"Wireless Keyboard and Mouse Combo, MARVO 2.4G Ergonomic Wireless Computer Keyboard with Phone Tablet Holder, Silent Mouse with 6 Button, Compatible with MacBook, Windows (Black)",B09P33RWFJ,False,False,4.3,3493
8,"Dilter Wired Keyboard, Full-Sized Typewriter Keyboards, USB Plug and Play Office Keyboard with Number Pad, Caps Indicators, Foldable Stands for Windows, PC, Laptop, Desktop (Blue Colorful)",B0C2XY56JG,False,False,4.4,108
9,"Rii RK100+ White Gaming Keyboard,USB Wired Multiple Colors Rainbow LED Backlit Large Size Mechanical Feeling Ultra-Slim Multimedia Office Keyboard Non-Slip for Primer Gaming and Working,Office Device",B0CCJ2TB1M,False,False,4.4,2851
10,"Logitech MK345 Wireless Combo Full-Sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse, 2.4 GHz Wireless USB Receiver, Compatible with PC, Laptop,Black",B00QXT5T3U,False,False,4.5,36713
11,"Snpurdiri 60% Wired Gaming Keyboard, Small RGB Backlit Membrane Gaming Keyboard, Ultra-Compact Mini Waterproof Keyboard for PC Computer Gamer White and Black",B097T1DXHX,False,True,4.3,7499
12,"CHONCHOW Wired Gaming Keyboard for Mac PC PS5 PS4 Xbox One Gamers, RGB Backlit LED Mechanical Feel Keyboard with Multimedia Keys Number Pad, 104 Keys USB Desktop Computer Windows Keyboard (Black)",B07XKZKBYW,False,False,4.3,1024
13,"Manhattan Wired Computer Keyboard – Basic Black Keyboard - with 4.5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Yr Mfg Warranty – 179324",B07RQVB3HQ,False,False,4.1,5976
14,"Wireless Keyboard and Mouse Ultra Slim Combo, TopMate 2.4G Silent Compact USB Mouse and Scissor Switch Keyboard Set with Cover, 2 AA and 2 AAA Batteries, for PC/Laptop/Windows/Mac - White",B06XHY8J7M,False,False,4.3,3824
15,"Computer Keyboard Wired, Plug Play USB Keyboard, Low Profile Chiclet Keys, Large Number Pad, Caps Indicators, Foldable Stands, Spill-Resistant, Anti-Wear Letters for Windows Mac PC Laptop, Full Size",B09NLS9TK4,False,False,4.4,1101
16,"Snpurdiri 60% Wired Mechanical Gaming Keyboard, Ice Blue LED Backlit 61 Keys Mini Wired Office Keyboard for Windows Laptop PC Mac (Black-White, Red Switches)",B0BZR4GZ53,False,True,4.3,1044
17,"MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey",B098LG3N6R,False,False,4.4,4596
18,"Lovaky MK98 Wireless Keyboard, 2.4G Ergonomic Wireless Computer Keyboard, Enlarged Indicator Light, Full Size PC Keyboard with Numeric Keypad for Laptop, Desktop, Surface, Chromebook, Notebook, Black",B09KZGY5TK,False,False,4.3,1935
19,"Dacoity Gaming Keyboard, Full Size RGB Backlit Quiet Computer Keyboard, Wrist Rest, Silent Keys, Multimedia Keys, Anti-ghosting, Waterproof Light Up USB Wired Keyboard for PC Mac Xbox Gamer Office",B0BQC4GB3T,False,False,4.6,387
20,"Logitech K270 Wireless Keyboard for Windows, 2.4 GHz Wireless, Full-Size, Number Pad, 8 Multimedia Keys, 2-Year Battery Life, Compatible with PC, Laptop",B004N627KS,False,False,4.5,6792
21,"Amazon Basics 2.4GHz Wireless Computer Keyboard and Mouse Combo, Quiet and Compact US Layout (QWERTY), Black",B0787CVBWP,True,False,4.1,4739
