rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Low-Profile Wired USB Keyboard with US Layout (QWERTY), Matte Black",B07WJ5D3H4,True,False,4.5,5260
1,"Amazon Basics 2.4GHz Wireless Keyboard Quiet and Compact US Layout (QWERTY), Black",B07WV5WN7B,True,False,4.0,745
2,"Amazon Basics USB Wired Computer Keyboard (QWERTY) and Mouse Bundle Pack, black",B00B7GV802,True,False,4.5,10247
3,"Adesso RGB Programmable Mechanical Gaming Keyboard with Detachable Magnetic Palmrest, 108 Keys, Black",B07ZJPN6F1,False,False,3.6,2
4,"Amazon Basics 2.4GHz Wireless Computer Keyboard and Mouse Combo, Quiet and Compact US Layout (QWERTY), Black",B0787CVBWP,True,False,4.1,4739
5,"Amazon Basics Wireless Full Size Computer Keyboard and Mouse Combo, US Layout (QWERTY), Black",B079YQPNJS,True,False,4.2,1486
6,"Kindle Lighted Leather Cover, Black (Fits Kindle Keyboard)",B003DZ165W,False,False,4.6,5787
7,"Adesso AKB-310UB - Mini Trackball USB Keyboard, Black",B002DV99V0,False,False,4.2,45
8,"Adesso AKB-132HB Multimedia USB Keyboard with 3 Hubs, Black",B071KZTXC5,False,False,4.2,279
9,"Adesso AKB-425UB - Easytouch Rackmount USB Touchpad Keyboard, Black",B079PZMVP6,False,False,4.1,120
10,"Adesso SlimTouch 232 Antimicrobial Waterproof Flexible Keyboard for Windows 8/7/Vista/XP/2000 (AKB-232UB), black",B00CIZD7I2,False,False,4.0,36
11,"Amazon Basics Programmable Mechanical PC Gaming Keyboard | RGB LED Backlit, US Layout (QWERTY)",B07D7P47GK,True,False,3.7,116
12,"Adesso WKB-3150UB - Wireless Ergonomic Keyboard with Built-in Removable Trackball and Scroll Wheel, Split Key, Long Battery Life, Small and Portable -Compatible for Laptop/Desktop/PC/Windows XP/7/8/10",B075ZBGX6F,False,False,3.9,371
13,"Adesso Truform Media 1600 (WKB-1600CB) 2.4GHz RF Wireless Ergonomic Keyboard and Optical Mouse , Multi-Media Keys and Adjustable DPI Mouse 5 Million Keystrokes Black",B07ML1QCK5,False,False,4.2,515
14,Adesso Tru-Form 150 3-Color Illuminated USB Ergonomic Keyboard AKB-150EB,B00N99LPC6,False,False,3.8,1127
15,"LeadsaiL Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Blue Switches for Windows Gaming PC (87 Keys, Black)",B08LKZFNG5,False,False,4.0,80
