rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,The Lost Bookshop: The most charming and uplifting novel of 2023 and the perfect gift for book lovers!,B0BMF2M8Z6,False,False,4.5,13572.0
1,The Armor of Light: A Novel (Kingsbridge Book 5),B0BSKR92NY,False,False,4.3,173.0
2,Holly,B0BSRFPQXV,False,False,4.4,7730.0
3,The Mapmaker's Daughter: The most spellbinding and heartbreaking historical fiction novel of 2022,B09RPSTP4S,False,False,4.3,1106.0
4,Code Red: A Mitch Rapp Novel by Kyle Mills,B0BTZTZHW4,False,False,4.6,3151.0
5,The Secret: A Jack Reacher Novel,B0BRPZLG9G,False,False,,
6,The Heaven & Earth Grocery Store: A Novel,B0BPNP7YQB,False,False,4.6,4916.0
7,The Broker: A Novel,B003B02PF4,False,False,4.4,18740.0
8,The Exchange: After The Firm (The Firm Series Book 2),B0BYHPHG1L,False,False,,
9,The Secret Keeper: A Novel,B007EECSFA,False,False,4.5,22176.0
10,HOW IT ALL ENDS: AN AMERICAN TRAGEDY,B0BVQ1XQNK,False,True,4.3,132.0
11,THE IRISH COWBOY: A love lost. A family found. A life saved. (Montana Adventures Collection Book 1),B00LE1BASA,False,True,4.4,13166.0
12,Command and Control,B099CPZDPW,False,True,4.5,4024.0
13,Matt Miller in the Colonies: Book One: Journeyman,B01EU8EDVE,False,True,4.5,2578.0
14,Eleanor Oliphant Is Completely Fine: A Novel,B01KGZVTOE,False,False,4.5,227801.0
15,23 1/2 Lies,B0BRJ5SLSF,False,False,4.1,760.0
16,Tom Lake: A Reese's Book Club Pick,B0BL126WSH,False,False,4.4,10659.0
17,Deception Point,B000FBJHZS,False,False,4.4,17993.0
18,The Sunrise Cove Inn (The Vineyard Sunset Series Book 1),B089ZT5X74,False,True,4.2,9243.0
19,The Pink House: An enchanting story of love lost and love found (GraceTown Book 1),B0B6DL9B9C,False,True,4.3,3384.0
20,"Nora Roberts Land (Dare Valley Series, Book 1)",B00DP64BN8,False,True,4.3,28171.0
21,Killer Instinct (Tom Walker Book 1),B0BZ116JCC,False,True,4.4,2179.0
22,Resurrection Walk,B0BSTZZT12,False,False,,
23,"The Cruise: The brand new feel good, funny read guaranteed to make you smile!",B0BNWSS8H3,False,False,4.2,11759.0
24,None of This Is True: A Novel,B0BDMPQ2FC,False,False,4.4,8981.0
25,The River We Remember: A Novel,B0BTZZPHG4,False,False,4.7,2371.0
26,The Last Lieutenant (The Todd Ingram Series Book 1),B082WDKJQX,False,True,4.3,7802.0
27,After Dunkirk (The After Dunkirk Series Book 1),B08FPD4S8N,False,True,4.4,12460.0
28,Voyage To Crusoe,B08VF8Z3D5,False,True,4.4,1468.0
29,The Starfish Sisters: A Novel,154203809X,False,True,4.5,15825.0
30,Judgment Prey (A Prey Novel Book 33),B0BRMJKZ97,False,False,,
31,Out of Nowhere,B0BP2HW59K,False,False,4.5,5890.0
32,Simply Lies: A Psychological Thriller,B0B2P1RWYQ,False,False,4.2,24604.0
33,Lessons in Chemistry: A Novel,B098PW8NP8,False,False,4.6,220805.0
34,Fourth Wing (The Empyrean Book 1),B0BGDM197Q,False,False,4.8,85531.0
35,The Breakaway: A Novel,B0BSVGSN87,False,False,4.3,2787.0
36,Dirty Thirty (Stephanie Plum Book 30),B0BTZ9LXZB,False,False,,
37,Magic Hour: A Novel,B000FCKPJE,False,False,4.6,27547.0
38,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,B01CWZFBZ4,False,False,4.4,53791.0
39,The Girl in the Photo: the unmissable gripping and twisty new crime thriller for 2023,B09VRYM1L5,False,False,4.1,100.0
40,Counting the Cost,B0C6L2JQX9,False,False,4.7,3565.0
41,A Will and a Way,B09KQKXFY8,False,False,4.3,15346.0
42,The Covenant of Water (Oprah's Book Club),B0BJSGV831,False,False,4.7,32190.0
43,The Running Grave: A Cormoran Strike Novel,B0C3CKHR3F,False,False,4.6,540.0
44,The Cabin in the Woods: a dark and gripping psychological thriller with a twist you won’t see coming,B09N9295NL,False,False,4.5,2214.0
45,The American Girl: The Number One bestselling Irish historical fiction novel of heartbreaking secrets in a home for unwed mothers,B09K793M2H,False,False,4.3,2385.0
46,Tom Clancy Weapons Grade (A Jack Ryan Jr. Novel Book 11),B0BN585SX5,False,False,4.5,1522.0
47,Payback in Death: An Eve Dallas Novel,B0BQGJ182N,False,False,4.7,8951.0
48,The Edge (6:20 Man Book 2),B0BTZ2CQQ1,False,False,,
49,Brave Companions,B000QTD63I,False,False,4.4,3263.0
50,The Silent Wife: A gripping emotional page turner with a twist that will take your breath away,B01NBDMFWA,False,False,4.2,46938.0
51,"The Girl Behind the Gates: The gripping, heart-breaking historical bestseller based on a true story",B0847KDV8W,False,False,4.6,23123.0
52,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,B07D23CFGR,False,False,4.8,116580.0
53,Forgiving Paris: A Novel,B08VJL9XS7,False,False,4.7,3445.0
54,The Testament: A Novel,B003B02O7I,False,False,4.5,18881.0
55,Demon Copperhead: A Pulitzer Prize Winner,B09QMHZ53K,False,False,4.6,69750.0
56,One Moment in Time: THE NUMBER ONE BESTSELLER,B0BSSS742S,False,False,4.3,9419.0
57,Unwritten: A Novel,B0092XNA2Q,False,False,4.6,5659.0
58,The Last Devil to Die: A Thursday Murder Club Mystery,B0BQLKNTYR,False,False,4.7,8726.0
59,The Templars: The Rise and Spectacular Fall of God's Holy Warriors,B06WV9JLYX,False,False,4.5,4885.0
