rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",B08KTZ8249,False,False,4.7,41516
1,"Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life– Without Lockscreen Ads – Black",B08B495319,False,False,4.7,20344
2,"Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Denim",B09SWV3BYH,False,False,4.7,11308
3,Kindle Oasis – With 7” display and page turn buttons,B07GRSK3HC,False,False,4.5,15757
4,"Kindle Paperwhite Kids (16 GB) – Made for reading - access thousands of books with Amazon Kids+, 2-year worry-free guarantee",B0BLB7Y8K9,False,False,4.7,2581
5,"Kindle Scribe (16 GB) the first Kindle for reading, writing, journaling and sketching - with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",B09BRZBK15,False,False,4.3,463
6,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",B08KTZ8249,True,False,4.7,41516
7,Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with 2X The Storage – Ad-Supported (Used Condition),B09V8F3P91,False,False,4.4,781
8,"Kindle Kids (2022 release) – Includes access to thousands of books, a cover, and a 2-year worry-free guarantee - Ocean Explorer",B0BLJ6LJBM,False,False,4.6,516
9,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition (32 GB), Fabric Cover - Black, and Wireless Charging Dock",B09FNJZD68,False,False,4.8,1836
10,"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite (16 GB) - Agave Green, Fabric Cover - Agave Green, and Power Adapter",B0BN4WSB9K,False,False,4.8,2053
11,"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite (16 GB) - Agave Green, Fabric Cover - Agave Green, and Power Adapter",B0BN4WSB9K,True,False,4.8,2053
12,"Certified Refurbished Kindle Scribe (32 GB) the first Kindle for reading, writing, journaling and sketching - with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",B09W8FMRMX,False,False,2.0,1
13,"Certified Refurbished Kindle (2022 release) - Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light – Black",B09TMFVBBV,False,False,4.8,206
14,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition - Wifi, Without Ads, Amazon Leather Cover, and Wireless charging dock",B09FP1C94R,False,False,4.8,3663
15,"MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and Kindle Paperwhite Signature Edition, Slim PU Shell Cover Case with Auto-Wake/Sleep for Kindle Paperwhite 2021, Flowers",B0B17YZQ72,False,False,4.7,4421
16,"MobiScribe Origin 6.8"" (32GB) | E-Book Reader | Paper-Feel & Glare-Free + Eye-Friendly Touchscreen | Note Taking for School & Work | Support Google Play Store | Includes 1 Stylus & 2 Covers",B096DNJGYD,False,True,2.0,2
17,"Certified Refurbished Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Ads",B08W4J6PBL,False,False,4.6,397
18,KleverCase Book Style Universal Cover Case for Kindle Paperwhite and Kindle eReaders (Includes New Kindle Paperwhite Models with 6.8 inch Screen) (History of Magic),B081Q4XB9R,False,False,4.5,1692
19,"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition (32 GB), Fabric Cover - Black, and Wireless Charging Dock",B09FNJZD68,True,False,4.8,1836
20,Kindle Paperwhite Fabric Cover (11th Generation-2021),B08VZCBWN8,True,False,4.7,14054
21,"MoKo Case for 6.8"" Kindle Paperwhite (11th Generation-2021) and Kindle Paperwhite Signature Edition, Slim PU Shell Cover Case with Auto-Wake/Sleep for Kindle Paperwhite 2021, Flowers",B0B17YZQ72,False,True,4.7,4421
