rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Lightweight Super Soft Easy Care Microfiber 4-Piece Bed Sheet Set with 14-Inch Deep Pockets, Full, Navy Blue, Solid",B00Q7OB1TM,True,False,4.5,468701
1,"King Size 4 Piece Bedding Sheet Set - Breathable & Cooling - Hotel Luxury Bed Sheets Set - Easy Fit - Soft, Wrinkle Free & Comfy Light Grey Oeko-Tex Bedding Sheets - Deep Pockets 4 Piece Bed Sheet Set",B06X9G9H96,False,True,4.5,283130
2,"Threadmill 100% USA Supima Cotton Sheets, King Size, 1000 Thread Count, Luxury 4 Piece Set, Hotel Quality Sateen Weave White Bed Sheets with Elasticized Deep Pocket",B076F7DPC8,False,True,4.4,825
3,"California Design Den 5 Piece Split King Sheet Set - 100% Cotton, 600 Thread Count, Breathable Luxury King Size Sheets for Adjustable Bed, Soft 2 Deep Pocket Twin-XL Fitted Sheets - Pure White",B086PT1HX9,False,True,4.5,28315
4,"Utopia Bedding King Bed Sheets Set - 4 Piece Bedding - Brushed Microfiber - Shrinkage and Fade Resistant - Easy Care (King, Grey)",B00NX0XMZY,False,False,4.6,155868
5,"King Size 4 Piece Bedding Sheet Set - Breathable & Cooling - Hotel Luxury Bed Sheets Set - Easy Fit - Soft, Wrinkle Free & Comfy Light Grey Oeko-Tex Bedding Sheets - Deep Pockets 4 Piece Bed Sheet Set",B06X9G9H96,False,False,4.5,283130
6,"Bedsure King Size Sheets Grey - Soft Sheets for King Size Bed, 4 Pieces Hotel Luxury King Sheets, Easy Care Polyester Microfiber Cooling Bed Sheet Set",B07P8V57QJ,False,False,4.6,75773
7,"LuxClub 6 PC King Size Sheet Set Bed Sheets Deep Pockets 18"" Eco Friendly Wrinkle Free Cooling Bed Sheets Machine Washable Hotel Bedding Silky Soft - White King",B0722S61KC,False,False,4.4,173422
8,"Mueller Ultratemp King Size Sheets Set, Super Soft 1800, 6 Piece, Deep Pocket up to 16"" Bed Sheets, Transfers Heat, Breathes Better, Hypoallergenic, Wrinkle, Navy",B08R7ZVZV9,False,False,4.5,15813
9,"Elegant Comfort Best, Softest, Coziest 6-Piece Sheet Sets! - 1500 Thread Count Egyptian Quality Luxurious Wrinkle Resistant 6-Piece Damask Stripe Bed Sheet Set, King Black",B06XQN5G2D,False,False,4.5,21712
10,"Amazon Basics Cotton Jersey 4-Piece Bed Sheet Set, King, Dark Green",B08FYC59FR,True,False,4.7,35199
11,"LuxClub 6 PC King Size Sheet Set Bed Sheets Deep Pockets 18"" Eco Friendly Wrinkle Free Cooling Sheets Machine Washable Hotel Bedding Silky Soft - Aqua King",B07SFHFBGL,False,True,4.4,173422
12,"BYSURE Hotel Luxury Bed Sheets Set 6 Piece(King, White) - Super Soft 1800 Thread Count 100% Microfiber Sheets with Deep Pockets, Wrinkle & Fade Resistant",B07DQBH2DZ,False,True,4.4,8834
13,"Threadmill Luxury 100% Cotton King Sheets - 800 Thread Count Jacquard Celine Dark Grey, Better Than Egyptian Cotton,4 Pc Striped Bed Set, Damask Sheets, Fits 16'' Deep Pocket",B0859B878V,False,True,4.5,6689
14,"Mellanni Bed Sheet Set - Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (King, White)",B00NQDGAP2,False,False,4.5,342908
15,"King Size Sheets - Breathable Luxury Bed Sheets with Full Elastic & Secure Corner Straps Built In - 1800 Supreme Collection Extra Soft Deep Pocket Bedding Set, Sheet Set, King, Gray",B00YGJ7W5C,False,False,4.5,36410
16,"Elegance Linen ® 1500 Thread Count WRINKLE RESISTANT ULTRA SOFT LUXURY 4 pcs Bed Sheet Set, Deep Pocket Up to 16""- Many Size and Colors, King, Taupe",B00GHB537Q,False,False,4.5,41367
17,DREAMCARE King Size Sheets Set - Cooling Bed Sheets - 4pcs Set - King Sheets - Soft & Long Lasting 100% Fine Brushed Polyester with Side Pocket - Gray,B086T1ZFCN,False,False,4.7,30197
18,"Threadmill 100% Cotton Sheets for King Size Bed - 600 Thread Count King Bed Sheets Set with 16” Deep Pocket - Damask Stripe Sateen Weave 4-Piece Bedding Set with Cooling Effect, Blue",B07B2V2MNJ,False,True,4.5,7452
19,"LBRO2M 100% Egyptian Cotton 1000 Thread Count King Size Sheets Set,Bed Sheet 4 Piece Sets,16 inches Deep Pocket,Bedding Super Soft Breathable,Sateen Weave Long Staple,All Season,White",B0B65FBJ55,False,True,4.6,16095
20,"HYPREST Floral Sheets Queen Size,18 inches Deep Pocket Sheets, 1800 Thread Count Black and White Leaf Floral Bed Sheets Soft Breathable Cute Aesthetic Shabby Chic Bed Sheets, Oeko-Tex Certificated.",B0B3MB96C3,False,True,4.6,231
21,King Size Sheet Set - 6 Piece Set - Hotel Luxury Bed Sheets - Extra Soft - Deep Pockets - Easy Fit - Breathable & Cooling Sheets - Wrinkle Free - Comfy - Dark Blue Bed Sheets - King Sheets 6 PC,B018ZT6LU0,False,True,4.5,169087
22,"Bedlifes King Sheet Set- Ultra Soft Sheets-Luxury-Breathable-16 Deep Pocket- 1800 Thread Count Percale Egyptian Microfiber Bed Sheets Wrinkle, Fade and Stain Resistant King Size Dark Grey 4 Pieces",B0C34BF6KQ,False,False,4.5,5739
23,"Elegant Comfort Luxurious 1500 Thread Count Egyptian Quality Three Line Embroidered Softest Premium Hotel Quality 4-Piece Bed Sheet Set, Wrinkle and Fade Resistant, King, Chocolate Brown",B07KP94WNK,False,False,4.6,68622
24,"BELADOR Silky Soft King Sheet Set - Luxury 6 Piece Bed Sheets for King Size Bed, Secure-Fit Deep Pocket Sheets with Elastic, Breathable Hotel Sheets and Pillowcase Set, Wrinkle Free Oeko-TEX Sheets",B0B985PCVK,False,False,4.6,4311
25,King Size Sheet Set - 6 Piece Set - Hotel Luxury Bed Sheets - Extra Soft - Deep Pockets - Easy Fit - Breathable & Cooling Sheets - Wrinkle Free - Comfy - Dark Blue Bed Sheets - King Sheets 6 PC,B018ZT6LU0,False,False,4.5,169087
26,"BYSURE Hotel Luxury Bed Sheets Set 6 Piece(King, White) - Super Soft 1800 Thread Count 100% Microfiber Sheets with Deep Pockets, Wrinkle & Fade Resistant",B07DQBH2DZ,False,False,4.4,8834
27,"King Size Sheets Set - Super Soft Brushed Microfiber 1800 Thread Count Egyptian Sheets with 17-Inch Deep Pocket - Breathable Wrinkle and Hypoallergenic-4 Piece(King, White)",B08PBB7DR9,False,False,4.5,6603
28,"SONORO KATE 600 Thread Count Cotton Sheets - King Size Sheet Set, Cooling Luxury 100% Egyptian Cotton Bed Sheets 4 Piece, Soft Breathable and Sateen Weave, 16"" Deep Pocket (White, King)",B0C55J1453,False,False,4.8,177
29,Bedlifes King Sheet Set- Cooling Sheets-Ultra Soft-Silky-Breathable-Deep Pocket- 1800 Series Bedding Set Microfiber- Green Bed Sheets King Size 6 Pieces,B09B7S22ZL,False,False,4.3,2153
30,"JSD Floral Printed Sheet Set King, Soft Microfiber Botanical Bed Sheets 15"" Extra Deep Pocket 4 Pieces",B07X39XMBY,False,False,4.6,8633
