rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Crtiin 12 Packs Face Tissues Cube Box 3 Marble Styles Facial Tissues Cube Boxes 2 Ply 80 Sheets Tissues Per Box Upright Facial Tissues Boxes for Household Supplies, Toilet, Bathroom, Travel, Office",B0CBLGJCK8,False,True,1.0,1.0
1,"Kleenex Trusted Care Everyday Facial Tissues, Flat Box, 160 Count (Pack of 6)",B00NPJERNE,False,False,4.6,13292.0
2,"Kleenex Expressions Ultra Soft Facial Tissues, 12 Cube Boxes, 45 Tissues per Box, 3-Ply (540 Total Tissues)",B09N9WLCNM,False,False,4.7,2289.0
3,"Kleenex Trusted Care Facial Tissues, 3 Flat Boxes, 160 Tissues per Box, 2-Ply (480 Total Tissues), Packaging May Vary",B00KA25G7A,False,False,4.7,699.0
4,"Kleenex Ultra Soft Tissues, 3-Ply, Pack of 6 Each 85 Count",B07BL5X3VF,False,False,4.5,3101.0
5,"Kleenex Expressions Ultra Soft Facial Tissues, Soft Facial Tissue, 18 Cube Boxes, 60 Tissues per Box, 3-Ply (1,080 Total Tissues)",B09N9YTDYP,False,False,4.7,2490.0
6,"Kleenex Expressions Ultra Soft Facial Tissues, 65 Count (Pack of 18) (1,170 Total Tissues)",B07PCZ7BVX,False,False,4.8,102492.0
7,"Kleenex Expressions Ultra Soft Facial Tissues, 8 Flat Boxes, 120 Tissues per Box, 3-Ply",B09N9WGLTC,False,False,4.8,17768.0
8,"Kleenex Expressions Trusted Care Facial Tissues, 8 Flat Boxes, 160 Tissues per Box, 2-Ply (1,280 Total Tissues)",B09VLKRH81,False,False,4.7,5426.0
9,"Kleenex Expressions Trusted Care Facial Tissues, 18 Flat Boxes, 160 Tissues per Box, 2-Ply (2,880 Total Tissues)",B09N9YJ2RB,False,False,4.7,1784.0
10,"Kleenex Ultra Soft Facial Tissues, 4 Flat Boxes, 120 Tissues per Box, 3-Ply (480 Total Tissues), Packaging May Vary",B09M5QJQRJ,False,False,4.7,826.0
11,"Kleenex Professional Facial Tissue Cube for Business (21286), White, 3 Boxes/Bundle",B002K9KVH6,False,False,4.7,7263.0
12,"Kleenex Expressions Soothing Lotion Facial Tissues with Coconut Oil, 8 Flat Boxes, 120 Tissues per Box, 3-Ply (960 Total Tissues), Packaging May Vary",B08WH89PPM,False,False,4.8,5955.0
13,Car Tissues Holder with Facial Tissues - 4 PK - Travel Tissue Tubes for Car Box Container Perfect Fit for Car Cup Holder Car Tissues Cylinder (Pink),B08CRDNJCQ,False,True,4.4,9884.0
14,"Car Tissue Holder with Facial Tissues Bulk - 4 PK Cylinder, for Car, Travel Perfect Fit Cup Holder, Refill Box Round Container",B0B31ZLLFK,False,True,4.5,808.0
15,"Kimberly-Clark Kleenex Professional Facial Tissue for Business (03076), Flat 12 Boxes/Convenience Case, 125 Tissues/Box, 1,500 Tissues/Case, White",B0040ZOD68,False,False,4.5,13121.0
16,Kleenex 16 Pocket Packs (10 per pack),B07D6WZ76C,False,False,4.7,766.0
17,"Kleenex Anti-Viral Facial Tissues, Cube Box, 68 Tissues per Cube Box",B01N2890LP,False,False,4.6,265.0
18,"Kleenex Perfect Fit Facial Tissues, 3 count (Packaging May Vary)",B00SSUF9YG,False,False,4.6,416.0
19,"Car Tissue Holder with 3-ply Facial Tissues Bulk - 4 PK Gold Foil Cylinder, for Car, Travel Cup Holder, Refill Box Round Container Kraft",B0B3231HW1,False,True,4.3,501.0
20,18 Pack Flower Tissues Cube Boxes Floral Square Tissue Box Cover with Facial Tissues Daisy 3 Ply 50 Sheets Tissues Travel Tissues Boxes for Car Kitchen School Bathroom Decor,B0CBT7TTBR,False,True,,
21,"Car Tissue Holder with Facial Tissues Bulk - 4 PK Cylinder Cap, for Car, Travel Perfect Fit Cup Holder, Refill Box Round Container",B09VH443K4,False,True,4.5,770.0
22,"8 Pieces Car Tissues Cylinder with 400 Facial Tissues Vintage Flowers Plants Mushroom Butterfly Car Tissue Holder Boxes Vintage Round Tissue Tubes Tissue Cylinders for Car, 4 Styles",B0BZ3YD57D,False,True,4.2,14.0
23,"Kleenex Soothing Lotion Tissues with Aloe, Coconut Oil and Vitamin E, 4 cube boxes, 1 Cube Box containe 85 Tissues. Total of 340 Tissues. Assortment Colors.",B092SZZ63M,False,False,4.7,854.0
24,"Kleenex Cube Soft Facial Tissues, 3-Ply, Assorted Designs and Colors, 56 Count, Pack of 12",B01DCHERJW,False,False,4.5,3497.0
25,"Kleenex® Professional Facial Tissue for Business (21606), Flat Tissue Boxes, 48 Boxes/Case, 125 Tissues/Box, 6,000 Tissues/Case",B0040ZOF2U,False,False,4.5,1901.0
26,Kleenex Facial Tissues - 160 ct - 3 pk,B00J7L3YW4,False,False,4.4,551.0
27,12 Pcs Facial Tissues Boxes 2 Ply Tissue Cube Box Summer Themed Square Tissue Box 80 Sheets Soft Facial Tissues Per Box for Car Family Bathroom Household (Classic),B0C81FCZK4,False,True,2.5,2.0
28,8 Pack Car Tissue Holder with Facial Tissue Bulk Cylinder Car Tissues Round Tissue Boxes for Car Travel Tissues Fit for Car Cup Holder Car Tissues Box Round Container (Colorful Flower Style),B09V4YR9PJ,False,True,3.8,752.0
29,24 Pcs Tissues Cube Boxes Square Facial Travel Tissue Box with 80 Tissues Per Box 2 Ply Soft Facial Tissues Pocket Tissues for Car Toilet Household (Blue),B0C81651HD,False,True,3.0,2.0
30,12 Pack Facial Tissues Cube Boxes Industrial Style Square Tissues Boxes with 80 Tissues Per Box 2 Ply Soft Facial Tissues Boxes for Bathroom Kitchen School Bedroom Car Toilet Travel,B0C73RMCSB,False,True,,
31,"Kleenex Trusted Care Everyday Facial Tissues, 6 Rectangular Boxes, 144 Tissues per Box (864 Tissues Total)",B07NN48K2T,False,False,4.7,3910.0
32,"Kleenex Expressions Soothing Lotion Facial Tissues with Coconut Oil, Aloe & Vitamin E, 12 Boxes, 45 Tissues per Box, 3-Ply (540 Total Tissues)",B09N9YWRJG,False,False,4.8,4404.0
33,"Kleenex Ultra Soft & Strong Facial Tissues, 120 Tissues per Flat Box, 3 Pack",B008EIY8P8,False,False,4.7,740.0
34,"Kleenex Ultra Soft Facial Tissues, 65 Count (Pack of 4) (260 Total Tissues)",B07NN4NRRJ,False,False,4.7,10195.0
35,"6 Packs Disposable Soft Facial Tissue, Napkin, Toilet Paper -Bag Cover NOT Box, Native Wood Pulp Fiber Material NOT COTTON, White Facial Paper Tissue, 5-Ply, 360 Sheets per Pack",B0BVBMTBT7,False,True,2.5,4.0
36,"Kleenex Trusted Care Facial Tissues, 18 Flat Boxes, 210 Tissues per Box (3,780 Tissues Total)",B071X4F6CM,False,False,4.4,451.0
37,"Kleenex® Professional Facial Tissue for Business (21400), Flat Tissue Boxes, 36 Boxes/Case, 100 Tissues/Box, 3,600 Tissues/Case",B0040ZOF2A,False,False,4.5,4185.0
38,"Kleenex Ultra Soft Facial Tissues - Cube Boxes (12 Pack, 65 tissues)",B08258Y6CW,False,False,4.6,1320.0
39,"Puffs Plus Lotion Facial Tissues, 10 Cubes, 56 Tissues Per Box (Packaging May Vary)",B09YLMRM4Y,False,False,4.8,7153.0
40,"Puffs Ultra Soft Non-Lotion Facial Tissue, 8 Family Boxes, 124 Facial Tissues per Box",B09YL8TX5K,False,False,4.8,15964.0
41,"Puffs Plus Lotion Facial Tissue, 1 Family Box, 124 Tissues Per Box (Packaging May Vary)",B004BPSFKM,False,False,4.8,1956.0
42,"Puffs Ultra Soft Non-Lotion Facial Tissues, 1 Cube, 48 Tissues Per Box",B07N227N2M,False,False,4.6,2262.0
43,"Scotties Everyday Comfort Facial Tissues, 92 Tissues per Box, 4 Pack, 92 Count (Pack of 4)",B07DTNX5W5,False,False,4.6,14684.0
44,"Kimberly-Clark Kleenex 3-Ply Pocket Packs Facial Tissues, 8 Count",B0045K2U0E,False,False,4.6,4725.0
45,"Kleenex Anti-Viral Facial Tissues, 18 Cube Boxes, 55 Tissues per Box, 3-Ply (990 Total Tissues)",B09QLMYBQY,False,False,4.7,1475.0
46,"Kleenex Soothing Lotion Facial Tissues with Coconut Oil, 4 Cube Boxes, 60 Tissues per Box, 3-Ply (240 Total Tissues), Packaging May Vary",B09M67JL2N,False,False,4.7,476.0
47,"Kleenex Hand Towels (11268), Ultra Soft and Absorbent, Pop-Up Box, 18 Boxes / Case, 70 Paper Hand Towels / Box, 1,260 Sheets / Case",B004JJU6GQ,False,False,4.8,3012.0
48,"Puffs Plus Lotion Facial Tissues, 8 Family Boxes, 124 Facial Tissues per Box (Packaging May Vary)",B09YKRZR22,False,False,4.8,52955.0
49,Kimberly-clark Corp 11975 Kleenex White Facial Tissue (Pack of 16),B00443AN92,False,False,4.8,6419.0
50,"Kleenex Trusted Care Facial Tissues, 190 Count (Pack of 18) (3,420 Total Tissues)",B07NN16GMT,False,False,4.7,5287.0
51,Kleenex Tissues 2-Ply 210ct Pack of 3,B00EFE1GY6,False,False,4.6,761.0
52,"Amazon Basics Facial Tissue with Lotion, 2-Ply, 1350 Count (18 Packs of 75) (Previously Solimo)",B09BXT3J9Z,True,False,4.5,12844.0
53,"Kleenex® FSC Certified 2-Ply Facial Tissue Pop-Up Boxes, 8 1/4"" x 8 1/2"", White, 100 Tissues Per Box, Carton Of 36 Boxes",B075JJT89V,False,False,4.2,26.0
54,"Kleenex Lotion Facial Tissue, 120 Count, (3 Pack)",B006K3UAF6,False,False,4.7,807.0
55,"Kleenex Spacesaver Facial Tissue, White, 100 Count (Pack of 5)",B008E57FY2,False,False,4.4,1113.0
56,Kleenex® 3-Ply Pocket Packs Facial Tissues (16 Packs of 10 tissues),B00G3LP5PK,False,False,4.7,1212.0
57,3 Pk Slim Pack Wallet Size (2 Pack) = 60 Tissues - Most Elegant Look of Any Portable Tissue Anywhere,B00KKVLWJW,False,False,4.7,906.0
58,"Kleenex Facial Tissue, Ultra Soft 75 Count (Pack of 4)",B00BLJM8M2,False,False,4.6,712.0
59,"Kleenex Ultra Facial Tissue, 85 Count (Pack of 12)",B002TS795K,False,False,4.6,976.0
