rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Bedside Table Lamp with 3 Color Temperatures - 3000/4000/5000K Small Lamp with USB C+A Ports, Nightstand Lamp with 3 Color Modes by Pull Chain, Bedroom Lamp for Living Read Work(LED Bulb Included)",B0BBPKPKN6,False,True,4.5,3112
1,"O’Bright Ted - Drum Shade Standing Lamp, Pull Chain Switch, E26 Socket, Modern Minimalist Design, Simple Floor Lamp for Living Room, Bedroom, Office, Black",B0BSCPPYN1,False,True,4.3,375
2,"Aaron 72"" Floor Lamps for Living Rooms, Premium Tall Floor Lamp with Shelves and Drawers, Sturdy Shelf Floor Lamp for Bedrooms, Standing Lamps with Shelves, Shelf Lamps with LED Bulb - Black",B097Z7LZD4,False,True,4.5,654
3,"Floor Lamp, Remote Control with Stpeless Color Temperatures and Brightness, Torchiere lamp for Bedroom, Living Room, Bulb Included (Matte Black)",B08T1N86Q5,False,True,4.6,4649
4,"Yarra-Decor Bedside Table Lamp with USB Port - Touch Control for Bedroom Wood 3 Way Dimmable Nightstand Lamp with Round Flaxen Fabric Shade for Living Room, Dorm, Home Office (LED Bulb Included)",B087CDBKCH,False,False,4.6,23431
5,"3-in-1 Shelf Floor Lamp with 2 USB Ports and 1 Power Outlet, 3-Tiered , Shelf & Storage & LED Floor Lamp Combination, Modern Standing Light for Living Room, Bedroom",B07VL7ZD9H,False,False,4.5,6413
6,"Touch Bedside Table Lamp, [Sleek Design & RGB Mode] 3 Way Dimmable Night Lamp for Bedroom, LED Lamp with Warm White Lights, Multi-Color Smart Nightstand Lamp for Living Room Home Office Gifts",B0BR5JHB3Z,False,False,4.7,1895
7,"Bedside Table Lamp, Pull Chain Table Lamp with USB C+A Charging Ports, 2700K LED Bulb, Fabric Linen Lampshade, Nightstand Lamp for Livingroom Bedroom Office Reading Working",B09WTS1YMM,False,False,4.6,1977
8,"Small Table Lamp for Bedroom - Bedside Lamps for Nightstand, Minimalist Solid Wood Night Stand Light Lamp with Square Fabric Shade, Desk Reading Lamp for Kids Room Living Room Office Dorm",B074XPNS3Z,False,False,4.6,15326
9,"Simple Designs LF2000-BLK Mother-Daughter Floor Lamp with Reading Light, Black",B01MFC2O83,False,False,4.4,21500
10,"Kintion Led Desk Lamp for Home Office, Computer Monitor Flexible Gooseneck Smart Light, 1400 Lumens Dual Headed Architect Desk Lamp with Clamp, 25 Light Modes, 25“ Super Bright Extra Wide Table Light",B0BWLYDB7C,False,True,4.5,76
11,"Desk Lamp,Double Head Desk Lamp with Clamp,24W Led Desk Lights for Home Office Ultra Bright Architect Table Lamp 4 Brightness 4 Color,Auto Dimming Task Lamp for Monitor Work Study",B0CG9FH2NQ,False,True,4.7,75
12,"4th Gen Multifunctional LED Desk Lamp with 10W Fast Wireless Charger,USB Charging Port,1200Lux Super Bright,5 Lighting Mode,7 Brightness,40 Min Timer,Night Light Function,5000K",B09KS9SRM9,False,True,4.3,13232
