rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,B005EJH6Z4,True,False,4.5,58138
1,"Amazon Basics 3-Button Wired USB Computer Mouse, Single, Black",B005EJH6RW,True,False,4.6,76306
2,Amazon Basics Ergonomic Wireless PC Mouse - DPI adjustable - Black,B0787D6SGQ,True,False,4.4,19389
3,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 3 Foot, Black",B01GGKYKQM,True,False,4.6,86123
4,"Amazon Basics USB Plug-n-Play Computer 2 Speakers For PC or Laptop, 1 Pair, Set of 2, Silver with Blue LED Light",B07DDGBL5T,True,False,4.5,58754
5,"Amazon Basics 15.6-Inch Laptop Computer and Tablet Shoulder Bag Carrying Case,1 Pack , Black",B00DUGZFWY,True,False,4.7,83444
6,"Amazon Basics Computer Speakers for Desktop or Laptop PC | AC-Powered (US Version), Black",B07D7TL9KM,True,False,4.3,16534
7,"Amazon Basics Uni-Directional HDMI to VGA Cable, Gold-Plated, 6 Feet, Black",B0BSKNNPD6,True,False,4.4,91
8,"Amazon Basics In Ear Wired Headphones, Earbuds with Microphone No Wireless Technology, Black, 0.96 x 0.56 x 0.64in",B07HH1QSLB,True,False,4.2,16037
9,"Amazon Basics Adjustable Laptop Stand Riser, for Monitors and Laptops up to 22 Pounds, Black",B0BLRFWRPQ,True,False,4.5,35
10,"Amazon Basics 65W One-Port GaN USB-C Wall Charger with Power Delivery PD for Laptops,Tablets & Phones (iPhone 14/13/12/11/X,iPad,MacPro,Samsung)-White (non-PPS)",B087MD5MYH,True,False,4.5,4638
11,"Amazon Basics Laptop Backpack Fits Up to 17-Inch Laptops, Black",B00EEBS9O0,True,False,4.5,17467
12,"Amazon Basics Aluminum Portable Foldable Laptop Support Stand for Laptops up to 13"", Black",B07GFF82DP,True,False,4.5,10951
13,"Amazon Basics Adjustable Computer Monitor Riser Desk Stand, Black",B00X4SCCFG,True,False,4.7,21860
14,"Amazon Basics Adjustable Tray Table Lap Desk Fits up to 17-Inch Laptop, Large, 13""x24""",B07MJKH8XW,True,False,4.5,5321
15,"Amazon Basics 3-Button USB Wired Mouse - Standard, Black",B08P6FXKP9,True,False,4.5,662
