rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Rectangular Foldable Laundry Basket Hamper, Beige,Brown",B01IG6C0D4,True,False,4.6,9164
1,"VIPOSCO Large Laundry Hamper, Tall Woven Rope Storage Basket for Blanket, Toys, Dirty Clothes in Living Room, Bathroom, Bedroom - 58L White & Brown",B0B3DD81R3,False,True,4.6,839
2,"OIAHOMY Laundry Hamper-Laundry Basket,Tall Cotton Storage Basket with Handles,Decorative Blanket Basket for Living room,Collapsible Large Basket for Toys,Pillows,Clothes-16x13x22in-Yellow variegated",B09XZXL6QL,False,True,4.7,893
3,"OIAHOMY 80L Laundry Baskets Hamper with Handles,Decorative Basket for Living room,Woven Storage Basket for Toys Bin,Pillows, Blankets,Clothes-20x18in-Gradient Yellow",B08ZD5CT9C,False,True,4.7,3282
4,"HomeHacks 2-Pack Large Laundry Basket, Waterproof, Freestanding Laundry Hamper, Collapsible Tall Clothes Hamper with Extended Handles for Clothes Toys in the Dorm and Family-(Gradient Grey, 75L)",B09KT67BL1,False,False,4.4,13378
5,"Handy Laundry Collapsible Mesh Foldable Hamper 14"" x 14' x 24"" Navy Blue",B00HZ0IOJ2,False,False,4.7,50794
6,"IRIS USA 1.3bu/48L Plastic Clothes Laundry Basket Hamper, White",B0BZ2V9LCC,False,False,4.0,3862
7,"EpicTotes 24.4-Inches Rolling Slim Laundry Basket on Wheels, Collapsible & Waterproof Laundry Hamper, Freestanding Narrow Corner Clothes Bins with Easy Carry Handles for Clothes & Toys at Home, Grey",B0CCRVSLQW,False,False,5.0,10
8,"StorageRight 90L Large Laundry Basket, Laundry Hamper, Dirty Clothes Hamper for Laundry, Collapsible, Waterproof Laundry Baskets with Foam Protected Aluminum Handles for Laundry, Dorm, Family (Black)",B0BWPTRTVR,False,False,4.5,1030
9,"SAMMART 42L (11 gallon) Collapsible Plastic Laundry Basket - Foldable Pop Up Storage Container/Organizer - Portable Washing Tub - Space Saving Hamper/Basket (1, White/Grey)",B0882ZPRF7,False,False,4.8,9057
10,"Amazon Basics 3-Bag Rectangular Laundry Sorter with Ironing Board Top, 33.07""L x 31.5""W x 16.14""H, Gray",B0825JM22Z,True,False,4.5,2314
