rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Roblox Digital Gift Code for 4,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RZ75JW3,False,True,4.6,147339
1,"LEGO Classic Large Creative Brick Box 10698 Building Toy Set for Back to School, Toy Storage Solution for Classrooms, Interactive Building Toy for Kids, Boys, and Girls",B00NHQF6MG,False,False,4.9,24861
2,"LEGO Creator 3 in 1 Exotic Parrot to Frog to Fish 31136 Animal Figures Building Toy, Creative Toys for Kids Ages 7 and Up",B0BLJ3LHCH,False,False,4.9,1010
3,"Lego Creator 3in1 Cozy House Toy Set 31139 Model Building Kit with 3 Different Houses Plus Family Minifigures and Accessories, Summer DIY Building Toy Ideas for Outdoor Play for Kids, Boys and Girls",B0BLJ6CCXZ,False,False,4.9,161
4,"LEGO Creator 3-in-1 Adorable Dogs Building Toy Set 31137, Small Toys for Dog Lovers, Featuring Dachshund, Beagle, Pug, Poodle, Husky, or Labrador Figures for Kids Ages 7 and Up",B0BLJ2918Z,False,False,4.8,432
5,"LEGO Valentine Lovebirds 40522 Building Toy Set; for Kids, Boys and Girls Ages 8+ (298 Pieces)",B09PKMHKMQ,False,False,4.8,2392
6,"LEGO Icons Succulents 10309 Artificial Plants Set for Adults, Home Decor, Birthday, Creative Housewarming Gifts, Botanical Collection, Flower Bouquet Kit",B09Q4GWMZQ,False,False,4.9,8174
7,"LEGO Classic Medium Creative Brick Box 10696 Building Toy Set - Featuring Storage, Includes Train, Car, and a Tiger Figure, and Playset for Kids, Boys, and Girls Ages 4-99",B00NHQFA1I,False,False,4.8,45514
8,"Lego Technic Monster Jam Grave Digger 42118 Set - Truck Toy to Off-Road Buggy, Pull-Back Motor, Vehicle Building and Learning Playset, Birthday Gift for Monster Truck Fans, Kids, Boys, Girls Ages 7+",B08HVX5XSK,False,False,4.8,8522
9,"LEGO Creator Mighty Dinosaur Toy 31058, 3 in 1 Model, T. rex, Triceratops and Pterodactyl Dinosaur Figures, Gifts for 7-12 Year Old Boys & Girls",B01KJEOCDW,False,False,4.8,38556
