rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,LMNT Zero-Sugar Electrolytes - Citrus Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 30 Sticks,B07TT8B1JJ,False,True,4.7,3257.0
1,"Keto Chow | Electrolyte Hydration Drops | Keto Diets & Intermittent Fasting | Immune Support | Gluten & Sugar Free | Paleo | Sodium, Magnesium, Potassium & Trace Minerals | Unflavored | 8.3 fl oz",B07DGKSF1P,False,True,4.5,8138.0
2,"Voli Hydration - Paradise Passionfruit - Harnesses The Potency of Four Exceptional Superfoods, Unparalleled Hydration, Overall Wellness, 15 Sticks",B0CG2FFS68,False,True,4.3,24.0
3,Liquid I.V. Sugar-Free Hydration Multiplier - Lemon Lime – Hydration Powder Packets  | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 14 Sticks,B0BQ4G7LY8,False,True,4.6,1276.0
4,LMNT Zero-Sugar Electrolytes - Variety Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 12 Sticks,B084HQ4DYQ,False,False,4.5,13139.0
5,LMNT Zero-Sugar Electrolytes - Sampler Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 8 Sticks,B09Q9WCDY7,False,False,4.4,3517.0
6,LMNT Zero-Sugar Electrolytes - Citrus Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 30 Sticks,B07TT8B1JJ,False,False,4.7,3257.0
7,"LMNT Keto Electrolyte Powder Packets| Paleo Hydration Powder| No Sugar, No Artificial Ingredients | Orange Salt | 30 Stick Packs",B084KPFLRT,False,False,4.8,1528.0
8,"LMNT Keto Electrolyte Powder Packets | Paleo Hydration Drink Mix | No Sugar, No Artificial Ingredients | Fiesta Pack | 12 Stick Packs",B08D6ZGJ1W,False,False,4.3,1322.0
9,"Electrolyte Powder - Refreshing Workout Recovery Electrolytes, Sugar Free, Gluten Free & Vegan, Pure Keto & Paleo Hydration Beverage, Immune Boosting Vitamins (198 Grams, Berry)",B075QNR8XK,False,False,4.3,1030.0
10,"Dr. Berg Hydration Keto Electrolyte Powder - Enhanced w/ 1,000mg of Potassium & Real Pink Himalayan Salt (NOT Table Salt) - Raspberry & Lemon Flavor Hydration Drink Mix Supplement - 100 Servings",B08HR994NJ,False,True,4.5,21037.0
11,Liquid I.V. Sugar-Free Hydration Multiplier - White Peach – Powder Packets  | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 14 Sticks,B0BQ4ZFNZV,False,True,4.5,1766.0
12,"Keto K1000 Electrolyte Powder | Hydration Supplement Drink Mix | Raw Mineral Flavor, No Stevia | 50 Servings | Boost Energy & Beat Leg Cramps | No Maltodextrin or Sugar",B07KDRPYBJ,False,True,4.3,10475.0
13,Dr. Berg's Electrolytes Powder Packets - Travel Size Electrolyte Packets Drink Mix - Boost Energy & Keto-Friendly - Hydration Powder Packets No Sugar & No Maltodextrin - 7 Flavors 28 Stick Pack,B09WZBWFYP,False,True,4.3,2535.0
14,"Ultima Replenisher Hydration Electrolyte Packets- 20 Count- Keto & Sugar Free- On the Go Convenience- Feel Replenished, Revitalized- Non-GMO & Vegan Electrolyte Drink Mix- Variety 5 Flavor",B08XQZX9K3,False,False,4.5,13746.0
15,"Ultima Replenisher Hydration Electrolyte Powder- 30 Servings- Keto & Sugar Free- Feel Replenished, Revitalized- Naturally Sweetened- Non- GMO & Vegan Electrolyte Drink Mix- Lemonade",B01IIGCCIK,False,False,4.6,4055.0
16,"Trace Minerals | 40,000 Volts Liquid Electrolyte Concentrace Drops | Support Hydration | Leg and Muscle Cramp Support | Ionic Trace Minerals, Magnesium, Potassium | 48 Serving Bottle (Pack of 1)",B000Z98KF8,False,False,4.4,5297.0
17,"KEY NUTRIENTS Electrolytes Powder No Sugar - Refreshing Lemonade Electrolyte Drink Mix - Hydration Powder - No Calories, Gluten Free - Powder and Packets (20, 40 or 90 Servings)",B07Q33CN85,False,False,4.4,11231.0
18,"Keppi Keto Electrolytes Powder No Sugar | 0g Carbs | Made in USA | Advanced Hydration, Performance & Recovery | Delicious Tropical Electrolyte Powder | Mixes Easily No Clumps",B0B99ZSRV6,False,True,4.3,8628.0
19,"SaltStick FastChews Electrolytes - 60 Chewable Electrolyte Tablets - Watermelon - Salt Tablets for Running, Fast Hydration, Leg Cramps Relief, Sports Recovery - Non-GMO, Vegan, Gluten Free",B07TSFVJZ7,False,True,4.6,6155.0
