rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,LMNT Zero-Sugar Electrolytes - Mango Chili Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 30 Sticks,B08KSMD5L7,False,True,4.6,642.0
1,LMNT Zero-Sugar Electrolytes - Variety Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 12 Sticks,B084HQ4DYQ,False,True,4.5,13139.0
2,LMNT Zero-Sugar Electrolytes - Variety Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 12 Sticks,B084HQ4DYQ,False,False,4.5,13139.0
3,LMNT Zero-Sugar Electrolytes - Sampler Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 8 Sticks,B09Q9WCDY7,False,False,4.4,3517.0
4,LMNT Zero-Sugar Electrolytes - Citrus Salt - Hydration Powder Packets | No Artificial Ingredients | Keto & Paleo Friendly | 30 Sticks,B07TT8B1JJ,False,False,4.7,3257.0
5,"LMNT Keto Electrolyte Powder Packets| Paleo Hydration Powder| No Sugar, No Artificial Ingredients | Orange Salt | 30 Stick Packs",B084KPFLRT,False,False,4.8,1528.0
6,"LMNT Keto Electrolyte Powder Packets | Paleo Hydration Drink Mix | No Sugar, No Artificial Ingredients | Fiesta Pack | 12 Stick Packs",B08D6ZGJ1W,False,False,4.3,1322.0
7,"LMNT Keto Electrolyte Powder Packets | Paleo Hydration Powder | No Sugar, No Artificial Ingredients | Variety Pack | 60 pack",B0CHZY53CB,False,False,,
8,"Ultima Replenisher Hydration Electrolyte Packets- 20 Count- Keto & Sugar Free- On the Go Convenience- Feel Replenished, Revitalized- Non-GMO & Vegan Electrolyte Drink Mix- Variety 5 Flavor",B08XQZX9K3,False,False,4.5,13746.0
9,Liquid I.V. Sugar-Free Hydration Multiplier - White Peach – Powder Packets  | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 14 Sticks,B0BQ4ZFNZV,False,False,4.5,1766.0
10,"IQMIX Sugar Free Electrolytes Powder Packets - Hydration Supplement Drink Mix with Keto Electrolytes, Lions Mane, Magnesium L-Threonate, and Potassium Citrate - Variety Pack (20 Count)",B09MQ54VPC,False,True,4.3,2578.0
11,Dr. Berg's Electrolytes Powder Packets - Travel Size Electrolyte Packets Drink Mix - Boost Energy & Keto-Friendly - Hydration Powder Packets No Sugar & No Maltodextrin - 7 Flavors 28 Stick Pack,B09WZBWFYP,False,True,4.3,2535.0
12,Liquid I.V. Hydration Multiplier - Lemon Lime - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving | Non-GMO | 16 Sticks,B01IT9NLHW,False,True,4.7,104558.0
13,DripDrop Hydration - Zero Sugar Electrolyte Powder Packets Keto - Lemon Lime - 32 Count,B0BFBYN78B,False,True,4.5,800.0
14,"ELMNT Triple Sleep Magnesium Threonate w. Apigenin, Theanine & Magtein Magnesium L-Threonate - Highest Absorption Magnesium Supplement Capsules - Natural Sleep Aid for Sleep, Calm & Stress Support",B0CB83LD77,False,False,4.3,117.0
15,Liquid I.V. Sugar-Free Hydration Multiplier - Lemon Lime – Hydration Powder Packets  | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 14 Sticks,B0BQ4G7LY8,False,False,4.6,1276.0
16,"Dr. Berg Hydration Keto Electrolyte Powder - Enhanced w/ 1,000mg of Potassium & Real Pink Himalayan Salt (NOT Table Salt) - Raspberry & Lemon Flavor Hydration Drink Mix Supplement - 100 Servings",B08HR994NJ,False,False,4.5,21037.0
17,"Jocko Fuel Hydrate Electrolytes Powder Packets No Sugar - Hydration Amplifier Packets for Recovery, Dehydration, & Exercise - with Vitamins B6, B12 & C (16 Packets) Blue Raspberry",B0C6C89VFW,False,False,4.7,35.0
18,"Electrolytes Powder Packets Primal Hydration by Primal Harvest, Easy Open Packets, Energy Drink Mix (Lemon Berry, 30 Packs)",B0BMNH9VPC,False,True,4.3,201.0
19,Liquid I.V. Hydration Multiplier - Watermelon - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 16 Sticks,B08ZYNSZZT,False,True,4.7,16951.0
20,"CYMBIOTIKA Pure Hydration Electrolytes Powder Drink Mix with Vitamin C & Magnesium, Keto Friendly Electrolyte Hydration Packets, Variety Pack, Lemon, Lychee & Watermelon, 7 Each, 21 Stick Packets",B0B6GKRDQJ,False,True,4.1,64.0
21,Liquid I.V. Sugar-Free Hydration Multiplier - Lemon Lime – Hydration Powder Packets  | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 14 Sticks,B0BQ4G7LY8,False,True,4.6,1276.0
22,"IQMIX Sugar Free Electrolytes Powder Packets - Hydration Supplement Drink Mix with Keto Electrolytes, Lions Mane, Magnesium L-Threonate, and Potassium Citrate - Variety Pack (20 Count)",B09MQ54VPC,False,False,4.3,2578.0
23,Insaltd™ Sugar Free Electrolytes Powder Packets with No Stevia Aftertaste | High-Potency Hydration Packets | Keto Electrolyte Drinks | Intermittent Fasting Drink Mix | 12 Pack (Variety Pack),B0C9R1BDDV,False,False,3.6,45.0
24,"Waterboy Weekend Recovery Variety | 3,200mg Electrolyte Powder Packets | Ginger + L-Theanine + Vitamins | No Sugar, All Natural, Gluten Free | 24 Drink Stick Mixes (Variety Pack)",B0C5ZKXGSG,False,False,5.0,12.0
25,"Keto Chow | Electrolyte Hydration Drops | Keto Diets & Intermittent Fasting | Immune Support | Gluten & Sugar Free | Paleo | Sodium, Magnesium, Potassium & Trace Minerals | Unflavored | 4 fl oz",B09J7DHYR9,False,False,4.5,8138.0
26,"ELMNT Triple Sleep Magnesium Threonate w. Apigenin, Theanine & Magtein Magnesium L-Threonate - Highest Absorption Magnesium Supplement Capsules - Natural Sleep Aid for Sleep, Calm & Stress Support",B0CB83LD77,False,True,4.3,117.0
27,"Keto K1000 Electrolyte Powder | Hydration Supplement Drink Mix | Boost Energy & Beat Leg Cramps | No Maltodextrin or Sugar | Orange, Lighter Stevia Taste | 50 Servings",B07R6ZN2ZL,False,True,4.3,10475.0
28,"KEY NUTRIENTS Electrolytes Powder No Sugar - Refreshing Lemonade Electrolyte Drink Mix - Hydration Powder - No Calories, Gluten Free - Powder and Packets (20, 40 or 90 Servings)",B07Q33CN85,False,False,4.4,11231.0
29,"Dr. Berg Sports Hydration Electrolytes Powder w/More Salt (Pink Himalayan) - 30 Keto Electrolytes Powder Packets w/a Delicious Salty Raspberry & Lemon Natural Flavor - Includes 1,000mg of Potassium",B0BTMKC5ML,False,False,4.3,2535.0
30,"Trace Minerals ZEROLyte (Salty Citrus) | Electrolyte Drink | Powerful Hydration, Immunity & Energy Support with Sodium & Essential Vitamins & Minerals | Sugar Free, Gluten Free, Vegan | 30 Packets",B0BXCK243T,False,False,4.1,129.0
31,Nectar Hydration Electrolytes Powder Packets - No Sugar or Calories - Organic Fruit Liquid Daily IV Hydrate Packets for Hangover & Dehydration Relief and Rapid Rehydration (Variety 30 Pack),B09BD8GZ8L,False,False,4.4,5416.0
32,REDMOND Re-Lyte Hydration Electrolyte Mix (Watermelon Lime),B08QV7Q6QX,False,False,4.5,5090.0
33,Thorne Catalyte - Electrolyte Replenishment and Energy Restoration Supplement - No Artificial Sweeteners - NSF Certified for Sport- Lemon Lime - 11.01 Oz,B07VS6XSN7,False,False,4.1,381.0
34,"ULTIMA REPLENISHER Raspberry Electrolyte Drink Mix Single, 0.11 OZ",B07GDG531L,False,False,4.4,299.0
35,"DripDrop Hydration - Electrolyte Powder Packets - Watermelon, Berry, Orange, Lemon - 32 Count",B08TZD2R7L,False,False,4.7,5762.0
36,"ULTIMA REPLENISHER Lemonade Electrolyte Drink Mix Single, 0.12 OZ",B07GDG6ZHL,False,False,4.5,286.0
37,Cure Hydrating Electrolyte Mix | Powder for Dehydration Relief | FSA & HSA Eligible | Made with Coconut Water | No Added Sugar | Vegan | Paleo Friendly | Pouch of 14 Packets - Strawberry Kiwi,B0BRRRKDK5,False,False,4.4,95.0
38,Liquid I.V. Hydration Multiplier - Lemon Lime - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving | Non-GMO | 16 Sticks,B01IT9NLHW,False,False,4.7,104558.0
39,"PRIME Hydration+ Sticks ICE POP |Hydration Powder Single Serve Sticks | Electrolyte Powder On the Go | 250mg BCAAs, B Vitamins, Antioxidants | Zero Sugar |Caffeine-Free | Vegan| (6 Sticks)",B0BQRWY33Y,False,False,4.3,1556.0
40,"Jocko Mölk Whey Protein Powder - Keto, Probiotics, Grass Fed, Digestive Enzymes, Amino Acids, Sugar Free Monk Fruit Blend - Supports Muscle Recovery and Growth (Pumpkin New)",B0CH1SJRS1,False,False,4.6,7166.0
41,"Fluid Tactical - Electrolyte Powder Packets, Accelerate Re-Hydration, Low Sugar, Electrolyte Drink Mix, Prevent Dehydration, Eliminate Cramps",B07DVRNYLT,False,False,4.3,7296.0
42,"Electrolytes Powder Packets No Sugar With Himalayan Pink Salt, Potassium, Vitamins B & C, Magnesium | Keto Paleo Hydration Electrolyte Multiplier Powder | Travel Essentials | Watermelon 15 Stick Pack",B0CF7SCGN9,False,False,4.0,21.0
43,"Nuun Sport Electrolyte Tablets for Proactive Hydration, Variety Pack, 6 Pack (60 Servings)",B01AMVB87A,False,False,4.5,21297.0
44,"Keto Vitals Original Electrolytes Powder Packets | Keto Friendly Electrolyte Travel Packets | Variety Individual Packets | Energy Drink Mix | Zero Calorie Zero Carb (Original Assorted, 30 Count)",B07Q9HMBDK,False,False,4.4,4873.0
