rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Sandwich Storage Bags, 300 Count (Previously Solimo)",B095PQ6SX7,True,False,4.7,19054
1,"Amazon Basics Snack Storage Bags, 300 Count (Previously Solimo)",B095PMD8JG,True,False,4.8,5073
2,"Amazon Basics Slider Quart Food Storage Bags, 120 Count (Previously Solimo)",B093X7TBT8,True,False,4.5,17160
3,"365 by Whole Foods Market, Double Zipper Sandwich Storage Bag, 100 Count",B074H76RM2,True,False,4.7,3231
4,"Amazon Basics Freezer Quart Bags, 120 Count (Previously Solimo)",B093WNNDLD,True,False,4.7,50633
5,"Amazon Basics Quart Food Storage Bags, 150 Count (Previously Solimo)",B0953XG36F,True,False,4.7,34536
6,"Amazon Brand - Happy Belly Fruit & Grain Cereal Bars, Raspberry, 8 Count",B08BSK7D87,True,False,4.3,8863
7,"Amazon Basics Reusable Ice Pack, 6.7"" X 4.3"", Blue, Pack of 4'",B07YX82HPQ,True,False,4.3,4454
8,"365 by Whole Foods Market, Gallon Double Zipper Storage Bag, 40 Count",B071VDMWQG,True,False,4.7,2151
9,"Amazon Basics Kraft Paper Bags with Handles, 8""x4.75""x10"", 25-Pack, White",B09RX4ZV39,True,False,4.8,179
10,"365 by Whole Foods Market, Gallon Double Zipper Freezer Bag, 30 Count",B074H73J1Q,True,False,4.7,2999
11,"Amazon Basics Reusable Hard Sided Square Ice Pack, 4 Count, Small, Blue, 4.75"" X 4.75"" X 0.5""",B07YX7DQX9,True,False,4.4,2927
12,"Amazon Basics School Backpack, Clear",B074ZQXDWS,True,False,4.6,5907
13,"Amazon Basics Reusable Hard Sided Rectangular Ice Pack, Pack of 4, Large, Blue, 10.4"" X 7.9"" X 1.2""",B07YX7TCJP,True,False,4.6,5909
14,"Amazon Brand - Mama Bear Reusable Snack Bags, One Size, 6-pack",B07FQHZWX1,True,False,4.3,144
15,"Amazon Basics Kraft Paper Gift Bags with Handles 8x4.25x10.5 Brown, 100 Pack",B09RX4GSG6,True,False,4.6,228
16,"Amazon Fresh - White Chunk Albacore Tuna Pouch In Water, 2.5 oz.",B08W35X3NY,True,False,4.5,79
17,"365 by Whole Foods Market, Original Veggie Straws, 6 Ounce",B074H51HD3,True,False,4.6,7258
18,"365 by Whole Foods Market, Original Veggie Chips, 6 Ounce",B074H54QQX,True,False,4.6,5511
19,"365 by Whole Foods Market, Organic Mini Cheese Sandwich Crackers, 7.5 Ounce",B07FWN33MB,True,False,4.4,2370
20,"Amazon Brand - Happy Belly Salt and Pepper (4 Ounces Salt and 1.25 Ounces Pepper), 2 Piece Set, Black",B07VYPC2ML,True,False,4.5,7015
21,"Amazon Brand - Happy Belly Nuts, Chocolate & Dried Fruit, Trail Mix, 3 Pound (Pack of 1)",B071GB5H9C,True,False,4.5,27912
22,"365 by Whole Foods Market, Quart Double Zipper Freezer Bag, 40 Count",B074H76C9W,True,False,4.7,2486
23,"365 by Whole Foods Market, Organic Mini Cheese Sandwich Crackers 8 Count, 1 Ounce",B07PH2K9TN,True,False,4.5,5363
24,"365 by Whole Foods Market, Milk Chocolate Pretzels, 5 Ounce",B07NNRQKCH,True,False,4.6,3596
25,"365 by Whole Foods Market, Organic Vanilla Animal Cookie, 11 Ounce",B083B39CF8,True,False,4.7,1589
26,"Amazon Basics Durable Wear-Resistant Base, Tool Small Standard Bag with Strap, 12 Inch, Black & Gray",B0788C34VB,True,False,4.6,13926
27,"Amazon Brand - Happy Belly Mini Twist Pretzels, 2.5 Pound (Pack of 1)",B07RF235T3,True,False,4.5,10398
28,"365 by Whole Foods Market, Organic Cheddar Squares, 7 Ounce",B096WJH92B,True,False,4.2,476
29,"Amazon Brand - Happy Belly Mini Twist Pretzels, 1 Pound (Pack of 1)",B07X2M4922,True,False,4.4,1960
30,"365 by Whole Foods Market, Organic Mini Pretzel Twists, 8 Ounce",B074H5Y3RY,True,False,4.4,8021
31,"365 by Whole Foods Market, Bag Storage Double Zipper Quart, 50 Count",B074XXSSCV,True,False,4.7,1859
32,"365 by Whole Foods Market, Dark Chocolate Pretzels, 5 Ounce",B07Q135LCH,True,False,4.5,3941
33,"365 by Whole Foods Market, Mismatched Sandwich Cremes, 20 Ounce",B074H7J2VW,True,False,4.4,13272
34,"365 by Whole Foods Market, Almond Butter Filled Pretzel Nuggets, 12 Ounce",B08TQ9F2G8,True,False,4.4,315
35,"Amazon Brand - Happy Belly Pretzel Sticks, 1 Pound (Pack of 1)",B07X4TJ1GH,True,False,4.3,4387
36,"365 by Whole Foods Market, Crunchy Pretzel Sticks, 16 Ounce",B074H5LSZQ,True,False,4.5,2965
37,"365 by Whole Foods Market, Peanut Butter Pretzel Nuggets, 18 Ounce",B07NSV47DL,True,False,4.6,3187
38,"Amazon Basics Kraft Paper Bags (Small, Medium, Large) 25 pieces each, 75 Count, White",B09RX61N2K,True,False,4.8,78
39,"365 by Whole Foods Market, Spelt Green Lentils & Brown Rice, 8.8 Ounce",B074H681DQ,True,False,4.6,1772
40,"Carrot Baby Peeled Rainbow Bag Organic, 12 Ounce",B078J16GXW,True,False,4.6,13591
41,"365 by Whole Foods Market, Organic Salad Kit, Asian Inspired, 12 Ounce",B07B67Y9MH,True,False,4.6,6528
42,"365 by Whole Foods Market, Mango Bag Organic, 12 Ounce",B07GL6JDSY,True,False,4.4,1829
43,"365 by Whole Foods Market, Almonds Whole, 16 Ounce",B074VDBQNL,True,False,4.7,6157
44,"365 by Whole Foods Market, Barley & Green Lentils, 8.8 Ounce",B074H5LYTB,True,False,4.6,1369
45,"365 by Whole Foods Market, Organic Italian Salad, 10 Ounce",B074H58YFZ,True,False,4.5,15375
