rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Magnesium Glycinate Tablets, 400 MG, 90 Count",B074H681MF,True,False,4.1,27
1,"Magnesium Glycinate Capsules 500mg | 240 Count, 100% Chelated & Purified, 3rd Party Tested, Non-GMO & Gluten Free",B0C88BJYX2,False,True,4.6,480
2,"2 Pack Magnesium Glycinate 500mg, 480 Capsules – 100% Chelated for Max Absorption – Bioavailable Mineral Supplement for Muscle, Joint, Enzyme, & Heart Health",B07RD4DFNZ,False,True,4.7,1413
3,"NatureBell Magnesium Glycinate 400mg (Elemental), 270 Capsules – 100% Chelated for Max Absorption | Non-GMO & No Gluten, Bioavailable Mineral Supplement for Muscle, Joint, Enzyme, & Heart Health",B0BJ198K28,False,True,4.5,398
4,"Nature Made Magnesium Glycinate 200 mg per Serving, Dietary Supplement for Muscle, Heart, Nerve and Bone Support, 60 Capsules, 30 Day Supply",B08XXHCGZT,False,False,4.7,22869
5,"Pure Encapsulations Magnesium (Glycinate) - Supplement to Support Stress Relief, Sleep, Heart Health, Nerves, Muscles, and Metabolism* - with Magnesium Glycinate - 90 Capsules",B07P5K7DQP,False,False,4.7,23697
6,"Doctor's Best High Absorption Magnesium Glycinate Lysinate, 100% Chelated, Non-GMO, Vegan, Gluten & Soy Free, 100 mg, 240 Count",B000BD0RT0,False,False,4.6,62423
7,"Innate Vitality Magnesium Glycinate 500mg, 70mg Elemental Magnesium per Cap, High Absorption, Non-GMO No Gluten, Nerve, Muscle, Bone, Heart Health, 120 Veggie Capsules",B0C8DMMYTC,False,False,4.8,735
8,"Magnesium Glycinate 400mg, 180 Capsules (Vegan Safe, Manufactured and Third Party Tested in The USA, Gluten Free, Non-GMO) High Absorption Magnesium by Double Wood Supplements",B0B6CTYD6S,False,False,4.6,3532
9,"FarmHaven Magnesium Glycinate & Malate Complex w/Vitamin D3, 100% Chelated for Max Absorption, Vegetarian – Bone Health, Nerves, Muscles, 120 Capsules, 60 Days",B0855JG69W,False,False,4.6,3318
10,"Amazon Elements Chelated Magnesium Glycinate, 270 mg per Serving (2 Tablets), Vegan, 240 Tablets (Packaging may vary)",B07BFR18K5,True,False,4.4,2617
11,"Dr. Berg's Magnesium Glycinate 400mg - Fully Chelated Magnesium Glycinate Capsules for Stress, Calm, Relaxation & Sleep Support - Includes Magnesium-Glycinate w/Vitamin D & B6-150 Veg Capsules",B09QNCMLT4,False,True,4.6,1393
12,"Superior Labs - Magnesium Glycinate - 1250 mg, 120 Vegetable Capsules - Essential Mineral - Maintains Energy - Healthy Bones and Muscle Function- Relaxation & Sleep",B08XZY3NMG,False,True,4.7,183
13,"Magnesium Complex 400mg Supplement, 300 Capsules | Magnesium Glycinate + Citrate Elemental Forms – Essential Minerals for Heart, Muscle, & Digestion Support – Non-GMO & No Gluten",B0BSP3CD3N,False,True,4.6,184
14,"Doctor's Best High Absorption Magnesium Lysinate Glycinate Capsule, Easy to Swallow, 120 Ct",B08K46JZJG,False,False,4.7,1947
15,"Magnesium Glycinate Capsules 500mg | 240 Count, 100% Chelated & Purified, 3rd Party Tested, Non-GMO & Gluten Free",B0C88BJYX2,False,False,4.6,480
16,"BioEmblem Triple Magnesium Complex | 300mg of Magnesium Glycinate, Malate, & Citrate for Muscles, Nerves, & Energy | High Absorption | Vegan, Non-GMO | 90 Capsules",B07TNJRN9N,False,False,4.6,13610
17,"Nutricost Magnesium Glycinate 420mg, 120 Capsules - 60 Servings, Non-GMO, Gluten Free, Vegetarian Friendly",B08VW1QDR5,False,False,4.5,1116
18,"Thorne Magnesium CitraMate - Magnesium Supplement with Citrate-Malate - Support Heart, Skeletal Muscles, Cardiac, Lung Function, and Bone Density - Gluten-Free, Dairy-Free, Soy-Free - 90 Capsules",B0797SJ88Y,False,True,4.6,3616
19,"Magnesium Bisglycinate 100% Chelate No-Laxative Effect - Maximum Absorption & Bioavailability, Fully Reacted & Buffered - Healthy Energy Muscle Bone & Joint Support - Non-GMO Project Verified -180ct",B076S3CSCB,False,True,4.6,10403
20,"Magnesium Glycinate 400mg with Vitamin C - 200 Capsules, Elemental Magnesium 400mg Supplement, 100% Chelated, Support Healthy Muscle, Bones & Mood",B087F4HLJ3,False,True,4.6,550
21,"MegaFood Magnesium 300 mg - Highly absorbable Blend of Magnesium Glycinate, Magnesium Citrate & Magnesium Malate to Help Support Heart, Nerve Health and Relaxation - 60 Capsules (30 Servings)",B081FXFHLJ,False,True,4.7,611
22,"NOW Supplements, Magnesium Glycinate 100 mg, Highly Absorbable Form, 180 Tablets",B07NWMVMT1,False,False,4.6,3405
