rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"MagSafe Charger Stand, Anker 3-in-1 Cube with MagSafe, 15W Max Fast Charging Stand, Foldable Wireless Charger for iPhone 15/14/13 Series, Apple Watch S1-8/Ultra, AirPods (30W USB-C Charger Included)",B09TT8GZK9,False,True,4.6,643
1,"3 in 1 Wireless Charging Station, Fast Charger Stand Compatible for iPhone/Apple Watch/Airpods, 5000mAh Mag-Safe Portable Battery Pack USB C Power Bank for 15 14 13 12 Series, 20W PD Adapter (Black)",B0BWDRT5TY,False,True,4.5,1115
2,"Apple MagSafe Charger - Wireless Charger with Fast Charging Capability, Type C Wall Charger, Compatible with iPhone and AirPods",B08L5NP6NG,False,False,4.5,64122
3,"Compatible with MagSafe Charger for iPhone 15 - Mag Safe Magnetic Wireless Charger Pad for iPhone 15/15 Pro/15 Plus/15 Pro Max/14/14 Pro/14 Plus/14 Pro Max/13/12, [1 x USB C to USB Adapter],Purple",B0BGBKDLXC,False,False,4.5,4882
4,"Anker Magnetic Portable Charger 5K, 5000mAh Wireless Portable Charger with USB-C Cable, Battery Pack Only Compatible with Magsafe, iPhone 15/15 Pro/15 Pro Max, iPhone 14/ 13/12 Series",B099284SRR,False,False,4.4,2693
5,"Magnetic Wireless Charger,MagEase 15W Wireless Charger Mag-Safe Compatible with iPhone 14/13/12 Series and AirPods 3/2/Pro, Charging Pad with USB-C Cable and USB-A Converter,Black",B0C6XY2BKY,False,False,4.7,89
6,"3 in 1 Magnetic Wireless Charger, Mag-Safe Charger 18W Fast Charging for iPhone 15/14/13/12 Series, Wireless Charging Station for AirPods 3/Pro//2, iWatch Ultra/S9/S8/S7/SE (with QC3.0 Adapter)",B0B424WPC6,False,True,3.9,238
7,"Magnetic Wireless Charger for iPhone 15 14 Wireless Charger with 20W PD USB C Charger, 2 Pack SMOONFACE Compatible with Magsafe Charger for iPhone 15/15Pro/15promax/ 14/14pro/14plus/14promax/AirPods3",B0CBP9J8LD,False,False,4.8,18
8,"2 Pack 15w Fast Magnetic Wireless Magsafe Charger with 2 USB to C Adapter for iPhone 14/14 Pro/14 Pro Max,13/13 Pro/13 Pro Max/12 Series and AirPods 3/2/Pro and Other Models with Magnet Case",B0CBY1Y3NB,False,False,4.1,44
9,"JSAUX Magnetic Wireless Charger Compatible with MagSafe Charger/iPhone 15/15 Pro/15 Plus/15 Pro Max/14/14 Pro/14 Plus/14 Pro Max/13/13 Pro/13 Pro Max/12, Wireless Charging Pad, Mag Charger (Blue)",B095BZFX4L,False,False,4.5,7094
10,"Anker Wireless Charging Stand, PowerWave 2-in-1 Magnetic Stand Lite with USB-C Cable, for iPhone 14/14 Pro/14 Plus/14 Pro Max/13/13 /13 Max, AirPods 2/Pro (No AC Adapter)",B094FMWPPM,False,False,4.6,2877
11,"Wireless Charging Station, 3 in 1 for MagSafe Charger Stand, Wireless Charger Fast Charging for iPhone 15 14 13 12 Series, Apple Watch Series 1-9/Ultra, AirPods Pro/3/2 (30W Adapter Included) - White",B0CJ4G3WT1,False,True,4.7,24
12,"Wireless Charging Station, 3 in 1 Charging Station for Apple Devices, Wireless Charger for iPhone 15 14 13 12 11 Pro & Max Series, AirPods Pro/3/2, Apple Watch (Adapter Included) - Black",B0C8TRTZRD,False,False,4.6,78
13,"Anker 321 MagGo Battery (PowerCore Magnetic 5K), 5,000mAh Magnetic Wireless Portable Charger, Compatible with iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/13/12 Series（Black）",B0BV64SKQV,False,False,4.4,590
14,XEITIN Magnetic Wireless Charger Fast Charging 15W Mag-Safe Charger for iPhone 15/14/13/12 Pro/Pro Max/Plus/Mini and AirPods 3/2/Pro Portable Magnet Mag-Safe Charger Pad with Dual Charging Ports,B0CJ56PVS9,False,False,4.9,12
15,"Mag-Safe Charger Stand for iPhone， Wireless Charger Stand for Apple Products, 2 in 1 Magnetic Charging Station for iPhone 15/14/13/12 Series, Airpods 3/2/Pro with Adapter (Golden)",B0BFFRL1J9,False,False,4.6,245
16,"2 in 1 Magnetic Wireless Charger, 15W Fast Charging Mag-Safe Charger Stand for iPhone 15/14/13/12 Series, Wireless Charging Station for AirPods 3/Pro/2 (with QC3.0 Adapter)",B0CBM3H8F2,False,True,3.8,16
17,"3 in 1 Wireless Charging Station, Fast Charger Stand Compatible for iPhone/Apple Watch/Airpods, 5000mAh Mag-Safe Portable Battery Pack USB C Power Bank for 15 14 13 12 Series, 20W PD Adapter (Black)",B0BWDRT5TY,False,False,4.5,1115
18,"Apple MagSafe Battery Pack - Portable Charger with Fast Charging Capability, Power Bank Compatible with iPhone",B099BWY7WT,False,False,4.3,12722
19,"Wireless Charger Pad, 3 in 1 Faster Mag-Safe Wireless Charging Station for iPhone 14,13,12 Pro Max/Pro/Mini/Plus, Apple Watch Ultra 8/7/SE/6/5/4/3/2/1, AirPods pro/2/3(Black)",B0BRHZ9YX9,False,False,4.6,427
20,2 Pack Magnetic Wireless Charger for iPhone 15/15 Pro/15 Plus/15 Pro Max 15W Fast Mag-Safe Charger for iPhone 15/14/13/12 Series and AirPods 3/2/Pro 2/Pro (Mag-Safe Charger Silver),B0BLKJJCBV,False,False,4.4,2109
21,"Magnetic Wireless Charger, Mag Safe Charger for iPhone 15 Pro Max/15 Pro/15 Plus/15/14 Pro Max/14 Pro/14 Plus/14/13 Pro Max/13 Pro/13 Mini/12 Pro Max/12 Pro, Fast Charging Pad with 20W Power Adapter",B0C1NBNN2C,False,True,4.6,379
