rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Mop and Bucket with Wringer Set, Hands Free Flat Floor Mop and Bucket, with 3 Washable Microfiber Pads, Wet and Dry Use, Floor Cleaning System",B091F1RPHD,False,True,4.3,15015
1,Mops for Floor Cleaning Wet Spray Mop with 14 oz Refillable Bottle and 2 Washable Microfiber Pads Home or Commercial Use Dry Wet Flat Mop for Hardwood Laminate Wood Ceramic,B08HGPSFCC,False,True,4.3,16906
2,"Swiffer WetJet Hardwood and Floor Spray Mop Cleaner Starter Kit, Includes: 1 Power Mop, 10 Pads, Cleaning Solution, Batteries",B07YQDD94M,False,True,4.6,48801
3,"Microfiber Mop for Floor Cleaning, 18"" Flat Mop for Hardwood Floors, Laminate Floor Mop for Cleaning with Extendable Handle, 4 Reusable Mop Pads, Wet and Dust Mops for Floor Cleaning,Blue",B09T6R1SXP,False,True,4.2,977
4,"O-Cedar EasyWring Microfiber Spin Mop, Bucket Floor Cleaning System, Red, Gray",B00WSWGVZQ,False,False,4.6,163893
5,"Mop and Bucket with Wringer Set, Hands Free Flat Floor Mop and Bucket, with 3 Washable Microfiber Pads, Wet and Dry Use, Floor Cleaning System",B091F1RPHD,False,False,4.3,15015
6,"Microfiber Spray Mop for Floor Cleaning, Dry Wet Wood Floor Mop with 3 pcs Washable Pads, Handle Flat Mop with Sprayer for Kitchen Wood Floor Hardwood Laminate Ceramic Tiles Dust",B07YRQWNX2,False,False,4.4,10777
7,O-Cedar Easywring Microfiber Spin Mop & Bucket Floor Cleaning System with 3 Extra Refills,B01MCVXNSG,False,False,4.6,36881
8,"Spray Mop for Floor Cleaning, Microfiber Dust Hardwood Floor Mop, Wet Spray Mop for Wood Laminate Tile Vinyl Floor Home Kitchen Dry Flat Mop with 3 Washable Reusable Pads 1 Refillable Bottle",B0C64V9189,False,False,4.3,5112
9,Spray Mop for Floor Cleaning with 3pcs Washable Pads - Wet Dry Microfiber Mop with 800 ml Refillable Bottle for Kitchen Wood Floor Hardwood Laminate Ceramic Tiles Floor Dust Cleaning,B08PRZZWPS,False,False,4.4,5741
10,"AmazonCommercial Mop Bucket and Down Press Wringer Combo, 35-Quart, Yellow",B07TL48Z5M,True,False,4.6,1814
11,"Mop and Bucket with Wringer Set,16"" Large Flat Mop and Narrow Bucket,Hardwood Floor Mop and Easy Squeeze Bucket with 6 Microfiber Mop Pads,Wet and Dry Floor Cleaning System",B0CCXCMLQJ,False,True,4.6,6
12,"Spin Mop Head, Base, Handle Replacement for O-Ceda EasyWring Microfiber Spin Mop, 2 Microfiber Mop Refills, 1 Triangle Mop Head Cover and 30-58in Mop Handle Set Combo (White(1 Tank System))",B0BJ1JWYCQ,False,True,4.4,679
13,"Broom And Mop Holder Put Wet Movable Floor-Mounted Mop Rack Floor Standing Cleaning Tool Cart Storage For Garden Garage Schools, Hospitals, Factories, Hotels,Property Companies",B07JM2SW88,False,True,4.1,516
14,"Self Wringing Mop with 2 Washable Heads, JEHONN Wet Mop for Floor Cleaning Heavy Duty, Upgraded 57.5 Inches Long Handle Twist Mop for Hardwood Vinyl Tile Marble Laminate Home Office Kitchen (Red)",B09Y69YY34,False,False,4.0,445
15,"Self-Wringing Twist Mops for Floor Cleaning, Microfiber Floor mop with 57 "" Long Handle, Easy Wringing Mop for Hardwood Commercial Household Clean",B0B9MXTNV3,False,False,4.1,1119
16,"Pine-Sol Microfiber Self Wringing – Easy Squeeze Twist Design for Wet Mopping | Household Cleaning Tool for Tile, Linoleum, Laminate Floors | Extendable Metal Handle, Green",B07GY5XZJX,False,False,3.6,1414
17,"Eyliden Mop with 2 Reusable Heads, Easy Wringing Twist Mop, with 57.5 inch Long Handle, Wet Mops for Floor Cleaning, Commercial Household Clean Hardwood, Vinyl, Tile, and More (Grey)",B089VT7SRY,False,False,4.1,12624
18,"Rubbermaid Microfiber Twist Mop and 2 Refill Kit, Red, Built-in Wringer, Machine Washable and Reusable Mop Head, Light Weight, Clean Hard to Reach Places, for Laminate/Hardwood/Safe on All Floor Types",B0BMP2QFJF,False,True,4.2,3284
19,"Spin Mop Replace Head, Base, Handle Compatible with O Cedar EasyWring Microfiber Spin Mop, 4 Mop Refills Replacement Heads, 30-58in Mop Handle and 1 Mop Base Combo Set (White (1-Tank System))",B0BJ1K6KGJ,False,True,4.5,686
20,"Spin Mop Head, Handle, Base Compatible with Ocedar EasyWring Microfiber Spin Mop, 6 Microfiber Mop Refills, 1 Mop Head Cover and 58in Mop Handle Replacement for O-ceda 1 Tank System (White)",B0BNKCGRNN,False,True,4.6,42
21,20 Foot High Reach Dusting Kit with 5-12 Foot Extension Pole // High Ceiling Duster with Telescopic Pole // Cobweb Microfiber Duster // Outdoor & Indoor Extendable Duster Cleaning Kit,B07X7D5SSF,False,True,4.6,3636
22,"Swiffer Sweeper 2-in-1 Mops for Floor Cleaning, Dry and Wet Multi Surface Floor Cleaner, Sweeping and Mopping Starter Kit, Includes 1 Mop + 19 Refills, 20 Piece Set",B07YQDH1N1,False,False,4.6,72352
23,"HOMEXCEL Reusable Microfiber Mop Pads Compatible with Swiffer Sweeper-Washable Wet Pad Refills for Wet & Dry Use,Floor Cleaning Mop Head Pads Refills for Household Cleaning,Pack of 2",B0BJ282R3V,False,False,4.5,240
24,Yocada Sponge Mop Home Commercial Use Tile Floor Bathroom Garage Cleaning with Squeegee and Extendable Telescopic Long Handle 42-52 Inches Easily Dry Wringing,B07WP2RBXW,False,False,4.1,2371
25,"Yocada Looped-End String Wet Mop Heavy Duty Cotton Mop Commercial Industrial Grade Telescopic Iron Pole Jaw Clamp Floor Cleaning 55.1""",B0875K5JK1,False,False,4.5,5218
26,"BOOMJOY Self Wringing Twist Mop Compatible with Microfiber Spin Mop, 3 Mop Replacement Head Refill,for Wood Floor Hardwood Vinyl Tile Marble Laminate Household Office Kitchen",B0BNN9RPC3,False,False,4.1,535
27,"Commercial Mop Heavy Duty Industrial Mop with Long Handle,60"" Looped-End String Wet Cotton Mops for Floor Cleaning,Home,Kitchen,Office,Garage and Concrete/Tile Floor",B0BDLFSZR4,False,False,4.5,316
28,Yocada Sponge Mop Home Commercial Use Tile Floor Bathroom Garage Cleaning with Total 2 Sponge Heads Squeegee and Extendable Telescopic Long Handle 42.5-52 Inches Easily Dry Wringing,B08225B4QF,False,False,4.3,6328
29,Mops for Floor Cleaning Wet Spray Mop with 14 oz Refillable Bottle and 2 Washable Microfiber Pads Home or Commercial Use Dry Wet Flat Mop for Hardwood Laminate Wood Ceramic,B08HGPSFCC,False,False,4.3,16906
30,"Swiffer PowerMop Multi-Surface Mop Kit for Floor Cleaning, Fresh Scent, Mopping Kit Includes PowerMop, 2 Mopping Pad Refills, 1 Floor Cleaning Solution with Fresh Scent and 2 Batteries",B0C1DWC251,False,False,4.5,3503
31,O-Cedar EasyWring RinseClean Microfiber Spin Mop & Bucket Floor Cleaning System with 2 Extra Refills,B08ZB59MZX,False,False,4.5,36455
32,"Microfibre Floor Mop for Cleaning Floors - FORSPEEDER Flat Floor Mop for Laminate Wooden Hard Floor Vinyl Tile, Dust Wet Dry Mop for Kitchen Bathroom Wall Cleaning with 3 Washable Chenille Pads",B09SG743NV,False,False,4.4,1695
33,Spray Mops for Floor Cleaning Microfiber Floor Mop with 3 Washable Pads 1 Holder 1 Scraper Wet Dry Floor Cleaner 360 Degree Spin Dust Mop Hardwood Floor Mop,B0C33LRP1Z,False,False,4.8,44
34,"Self Wringing Twist Mop, Wet Mop for Floor Cleaning with 57 "" Long Handle, Heavy Duty Floor Mop for Hardwood Vinyl Tile Marble Laminate Home Office Kitchen, Gray",B0BXKSVX6W,False,False,4.1,115
35,"Bissell Lightweight SpinWave Expert Hard Floor Spin Mop, 20393,White/Black",B08J4739TQ,False,False,4.5,9941
36,"Spray Mop for Floor Cleaning, Domi-patrol Microfiber Floor Mop Dry Wet Mop Spray with 3 Washable Mop Pads & Refillable Bottle, Dust Cleaning Mop for Hardwood Laminate Tile Floors, Gray",B088M5QLWP,False,False,4.4,7628
37,"Mops for Floor Cleaning Wet Spray Mop with 6 Washable Microfiber Pads 1 Scraper 1 Mop Holder,Wood Floor Mop for Home or Commercial Dry Wet Use Flat Mop for Wall,Hardwood,Vinyl,Laminate,Ceramic,Tile",B0B14S9YPL,False,False,4.5,1074
38,"O-Cedar Microfiber Cloth Wet Mop,Blue/Red",B004V8ET3Q,False,False,4.1,2154
39,"Self Wringing Mop for Floor Cleaning with 2 Reusable Heads, ZUBULUN Easy Squeeze Twist Mop with 51 Inches Long Handle and Top Scouring Pad, Wet Mops for Hardwood, Vinyl, Tile",B0B12LM1J2,False,False,3.9,511
40,"Cordless Electric Mop for Floor Cleaning, AlfaBot WS-24 Electric Spin Mop with Water Sprayer and LED Headlight, Lightweight & Rechargeable Scrubber for Hardwood Tile & Laminate Floors",B0BB1RTYKY,False,False,4.5,875
41,"String Mop Heavy Duty for Floor Cleaning- Industrial Commercial Mop with 59inch Mop Handle, Wet Mop for Home,Garage,Office, Workshop, Warehouse Floor Cleaning",B0B6HM67HF,False,False,4.5,378
42,"O-Cedar ProMist MAX Microfiber Spray Mop, Red",B01MYNBGQJ,False,False,4.4,42309
43,"Spin Mop Replace Head, Base, Handle Compatible with O Cedar EasyWring Microfiber Spin Mop, 4 Mop Refills Replacement Heads, 30-58in Mop Handle and 1 Mop Base Combo Set (White (1-Tank System))",B0BJ1K6KGJ,False,False,4.5,686
44,"O-Cedar MicroTwist, Microfiber Twist Mop,Blue/Red",B00W7XM8US,False,False,4.3,5385
45,"Spray Mop for Floor Cleaning, HOMTOYOU Floor Mop with a Refillable Bottle and 3 Washable Microfiber Pads, Dry Wet Spray Mop for Home Kitchen Hardwood Laminate Wood Vinyl Ceramic Tiles Floor Cleaning",B07F2GMDS9,False,False,4.3,15282
46,"Self Wringing Mop with 2 Washable Heads, JEHONN Wet Mop for Floor Cleaning Heavy Duty, Upgraded 57.5 Inches Long Handle Twist Mop for Hardwood Vinyl Tile Marble Laminate Home Office Kitchen (Yellow)",B09W9M86MZ,False,False,3.9,1352
47,"Spray Mops for Floor Cleaning, Microfiber Dust Wood Floor Mop, Wet Spray Mop with Reusable Washable Pads for Home Commercial Hardwood Laminate Vinyl Wood Tile Floor",B0C85GNNQX,False,False,4.4,426
48,"Commercial Mop, Looped-End String Industrial Mop, Heavy Duty Mops with 2 String Mop Heads for Floor Cleaning, Blue/Yellow",B09YH4JZFB,False,False,4.2,323
49,"18"" Professional Microfiber Mop Floor Cleaning System, Flat Mop with Stainless Steel Handle, 4 Reusable Washable Mop Pads, Wet and Dust Mopping for Hardwood, Vinyl, Laminate, Tile Cleaning",B08Q3H3ZXG,False,False,4.4,4043
50,"Libman Tornado Spin Mop System Plus 1 Refill Head | Mop and Bucket with Wringer Set | Libman Mop for Floor Cleaning | Hardwood Floor Mop | 2 Total Mop Heads Included,Green",B0BB8L9J2M,False,False,4.3,1067
51,"Reusable Mop Pads Compatible with Swiffer Sweeper Mops-12 Inch Washable Microfiber Wet Pads Refills Dry Sweeping Cloths Heavy Duty Mop Head Replacement for Wet Dry Floor Cleaning, 3 Pack of Green",B0C88W2RT6,False,False,4.8,253
52,"OFO Loop-End String Mop, Heavy Duty Commercial Industrial Mop with Extra Mop Head Replacement, 59 inch Aluminium Alloy Pole",B093DBW6TJ,False,False,4.5,419
53,O-Cedar EasyWring Microfiber Spin Mop and Bucket Cleaning System,B01D7K595A,False,False,4.5,3471
54,"18"" Professional Microfiber Mop - Hardwood Floor Mop - Dry & Wet Mop for Wood, Laminate, Tile, Vinyl Floors | Washable Pads | Wet & Dust Mopping | Adjustable Handle + 1 Microfiber Cloth",B00KAIU6BA,False,False,4.6,8868
55,"OFO Loop-End String Wet Mop, Heavy Duty Commercial Industrial Dust Mop, 67inch Stainless Steel Pole,2- Pack",B088PKW61G,False,False,4.3,344
56,"Mop and Bucket with Wringer Set, Hands Free Flat Floor Mop and Bucket, 3 Washable Microfiber Pads Included, Wet and Dry Use, Home Floor Cleaning System for All Floor Types and Windows",B09H2NWP16,False,False,4.4,4693
57,"O-Cedar EasyWring Microfiber Spin Mop & Bucket Floor Cleaning System + 2 Extra Refills, Red/Gray",B07VWL357N,False,False,4.7,76714
58,"Microfiber Mop Wood Floor Mop for Floor Cleaning - MEXERRIS Hardwood Floor Mop with 4X Washable Pads,Wet Dust Mops with Adjustable Handle Flat Mop Home Commercial Use for Hardwood Laminate Tiles Wall",B0C3QFWXKH,False,False,4.6,174
59,"Rubbermaid Reveal Spray Microfiber Floor Cleaning Kit for Laminate & Hardwood Floors, Spray Mop with Reusable Washable Pads, Commercial",B00FEBARJE,False,False,4.5,14339
