rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Side Press Wringer Combo Commercial Rectangular Mop Bucket on Wheels, 35-Quart, Yellow",B072VBNT17,True,False,4.7,5224
1,"AmazonCommercial Mop Bucket and Down Press Wringer Combo, 35-Quart, Yellow",B07TL48Z5M,True,False,4.6,1814
2,"Amazon Basics Dry Floor Mop Pads, 11"" x 5.9"", 36 Count (Previously Solimo)",B093X3LT5Z,True,False,4.5,3288
3,"Amazon Basics Quilted Heavy Duty Dry Floor Cloths to Clean Dust, Dirt, Pet Hair, 44 Count (Pack of 1), White, 11"" x 8.7""",B099FXWRP8,True,False,4.5,135
4,"365 by Whole Foods Market, Cleaner All Purpose Citrus, 64 Fl Oz",B08CBX3KKN,False,False,4.4,145
5,"Amazon Basics Heavy Duty Mop Pads, 11"" x 5.9"", 30 Count",B099FTFMGN,True,False,4.6,490
6,"Amazon Basics Loop-End Rayon Finish Commercial String Mop Head, 5 Inch Headband, Medium, 6-Pack",B071KC17DB,True,False,4.5,555
7,"AmazonCommercial Stainless Steel Window Squeegee for Shower Glass Door, Car Window, Mirror, Tile, 14""",B0B34RKZ6S,True,False,4.2,305
8,"AmazonCommercial Mini Brush and Dustpan Set, Pack of 2, Gray",B086WQF9SM,True,False,4.3,1829
9,"365 by Whole Foods Market, Toilet Bowl Cleaner, Citrus, 24 Fl Oz",B07YD6VTBQ,False,False,4.4,642
10,"Amazon Basics Dustpan Broom Set, Blue and White",B07N1T38L6,True,False,4.2,2664
11,"Whole Foods Market, Organic Multisurface Cleaner, Unscented, 24 Fl Oz",B07YD5CQFB,True,False,4.5,184
