rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics Wireless Computer Mouse with USB Nano Receiver - Black,B005EJH6Z4,True,False,4.5,58138
1,"DIERYA Gaming Mouse, 12800DPI Optical Sensor, 6 Programmable Buttons, Customizable RGB White Honeycomb Drag-Free Paracord Wired Mouse, Ergonomic Design Computer Mouse for Windows PC Gamers",B0BGS8PG3K,False,True,4.5,513
2,"TECKNET Wireless Mouse, 2.4G Ergonomic Optical Mouse, Computer Mouse for Laptop, PC, Computer, Chromebook, Notebook, 6 Buttons, 24 Months Battery Life, 2600 DPI, 5 Adjustment Levels",B015NBTAOW,False,False,4.5,59395
3,Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,B094PS5RZQ,False,False,4.5,8209
4,"KKUOD Wired Mouse with Ergonomic Design Reduces Hand Fatigue Muscle Strain, Silent USB Computer Mouse, 1600 DPI Office and Home Mice (Black, Wired)",B09GK8KC7H,False,False,4.6,4168
5,"Logitech M170 Wireless Mouse for PC, Mac, Laptop, 2.4 GHz with USB Mini Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous - Black",B074L9L5KZ,False,False,4.5,43467
6,Amazon Basics Ergonomic Wireless PC Mouse - DPI adjustable - Black,B0787D6SGQ,True,False,4.4,19389
7,"TECKNET Wireless Mouse, 2.4G USB Computer Mouse with 6-Level Adjustable 3200 DPI, 30 Months Battery, Ergonomic Grips, 6 Buttons Portable for PC, Chromebook, Mac - Grey",B001DHECXA,False,False,4.4,46992
8,"Amazon Basics 3-Button Wired USB Computer Mouse, Single, Black",B005EJH6RW,True,False,4.6,76306
9,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",B07CMS5Q6P,False,False,4.6,26417
10,"Logitech M220 Silent Wireless Mouse, 2.4 GHz with USB Receiver, 1000 DPI Optical Tracking, 18-Month Battery, Ambidextrous, Compatible with PC, Mac, Laptop - Pink",B07W7LHVBL,False,False,4.7,1574
11,"SOLAKAKA White Wireless Gaming Mouse Bluetooth with Honeycomb Shell, Side Buttons,Tri-Modes(BT5.1+BT5.1+2.4GHz) Lightweight RGB for PC/Tablet/Desktop/Office/Games",B0BYJ7N7LX,False,True,4.2,389
12,"Uiosmuph LED Wireless Mouse, G12 Slim Rechargeable Silent Mouse, 2.4G Portable USB Optical Computer Mice with USB Receiver and Type C Adapter (Matte Black)",B0836GXKKB,False,False,4.3,64843
13,Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,B087Z5WDJ2,False,False,4.7,27244
14,"Logitech M705 Marathon Wireless Mouse, 2.4 GHz USB Unifying Receiver, 1000 DPI, 5-Programmable Buttons, 3-Year Battery, Compatible with PC, Mac, Laptop, Chromebook - Black",B087Z733CM,False,False,4.6,18484
15,"VssoPlor Wireless Mouse, 2.4G Slim Portable Computer Mice with Nano Receiver for Notebook, PC, Laptop, Computer (Black and Gold)",B098S48QWM,False,False,4.6,16686
16,"Trueque Wireless Mouse for Laptop, 2.4GHz Ergonomic Computer Mouse with Back & Forward Buttons, 3-Level DPI, 6 Buttons, Optical USB Cordless Mice for Windows Chromebook MacBook PC",B09JSH81HZ,False,True,4.5,4372
17,"seenda Wireless Mouse, 2.4G Noiseless Mouse with USB Receiver - Portable Computer Mice for PC, Tablet, Laptop with Windows System - Mint Green",B07H8TJMX7,False,False,4.5,116295
18,"Redragon M612 Predator RGB Gaming Mouse, 8000 DPI Wired Optical Gamer Mouse with 11 Programmable Buttons & 5 Backlit Modes, Software Supports DIY Keybinds Rapid Fire Button",B08SJ5Z8JL,False,False,4.6,2362
19,"Rapoo N100 Wired Mouse, Black 3-Button USB Wired Computer Mouse for Mac PC",B07NPPQWQL,False,False,4.3,304
20,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Gray",B004YAVF8I,False,False,4.6,21504
21,"TECKNET Wireless Mouse, 2.4G Ergonomic Optical Mouse, Computer Mouse for Laptop, PC, Computer, Chromebook, Notebook, 6 Buttons, 24 Months Battery Life, 2600 DPI, 5 Adjustment Levels",B015NBTAOW,False,True,4.5,59395
