rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,SMIDOW,B0CF9RSN2T,False,False,3.5,52.0
1,Generic,B0C9GXTKQ2,False,False,3.7,36.0
2,Cbcbtwo,B0CG5RQHZD,False,False,3.8,12.0
3,SMIDOW,B0CGD8DVG5,False,False,3.0,11.0
4,Leodye,B0CDPH4M15,False,False,3.3,32.0
5,yardsong,B0C8C9X75L,False,False,2.1,354.0
6,Generic,B0C2KBT3FG,False,False,3.9,90.0
7,Generic,B0CH83SH9Q,False,False,5.0,1.0
8,Generic,B0CJQSP8FB,False,False,3.4,12.0
9,Generic,B0CB3QVY17,False,False,3.0,76.0
10,PVCS,B0CH9Q33TD,False,False,5.0,13.0
11,PVCS,B0CJ6K6DG7,False,False,5.0,10.0
12,Generic,B0CHV85TBX,False,False,,
13,PVCS,B0C4P5VKRB,False,False,3.6,80.0
14,PVCS,B0CH89JDTD,False,False,2.8,14.0
15,Leodye,B0C4Z4DFBR,False,False,2.4,198.0
16,YUTANRAL,B0CK2L4SMY,False,False,3.5,10.0
17,Lisgai,B0C16G6Q2F,False,False,3.6,10.0
18,Catgeta,B0C3LX4M5Z,False,False,3.8,52.0
19,Generic,B0CJQTV412,False,False,,
20,LRMQS,B0CJQFNH1K,False,False,,
21,Yck-SAiWed,B0C7R9TZW7,False,False,3.9,257.0
22,Playtex,B00551OP0A,False,False,4.2,71294.0
23,Heymoments,B0BGP1BNQC,False,False,4.3,686.0
24,IHGFTRTH,B0BNH5JQ8H,False,False,4.1,99.0
25,Generic,B0CF4NS85D,False,False,4.3,7.0
26,Finelylove,B0CH7WS6PB,False,False,,
27,FSAHJKEE,B0CJDLTB9P,False,False,,
28,CHICGAL,B09T8ZQN3S,False,False,4.4,58832.0
29,fartey,B0CF1FC4K1,False,False,3.6,39.0
30,Bidobibo,B0CH89WWB9,False,False,5.0,1.0
31,fartey,B0CF5L5233,False,False,5.0,1.0
32,PANOEGSN,B0C86PLSS2,False,False,2.5,3.0
33,SHOPESSA,B0CJFVKJ7H,False,False,,
34,CHUOAND,B0CHHW2WGJ,False,False,5.0,1.0
35,ZunFeo,B0C156JS5P,False,False,3.2,148.0
36,BALEAF,B0C98PJS4X,False,True,4.5,13.0
37,Stessotudo,B0C53J9YHG,False,False,3.0,117.0
38,Fruit of the Loom,B082YT2VJV,False,False,4.4,101887.0
39,Generic,B0CJRGYPD7,False,False,,
40,TARIENDY,B0CGRBV1V9,False,False,5.0,2.0
41,POKARLA,B0BZKHY3WL,False,True,4.1,574.0
42,CULAYII,B0995X34Q9,False,True,4.4,4090.0
43,LONGYUAN,B099NRM7Q2,False,True,4.4,7500.0
44,Generic,B0CHVDYZ6W,False,False,1.8,3.0
45,TBA,B0BVQXJFV7,False,False,3.9,1628.0
46,Stessotudo,B0CJQZ7424,False,False,,
47,SHOPESSA,B0CJC65HND,False,False,,
48,Homisy,B0CGZKQXB4,False,False,5.0,2.0
49,KICILVS,B0CJLC24CN,False,False,,
50,Wovilon,B0CFD3XZHB,False,False,3.4,37.0
51,LUCKYCATCUS,B09LQ7G8J5,False,False,4.2,1736.0
52,POKARLA,B081SYG2XC,False,True,4.6,62431.0
53,BAISHENGGT,B08CKCFCBF,False,True,4.4,9037.0
54,Weweya,B09CCYR58Y,False,True,4.3,13032.0
55,ROSELINLIN,B09T7323XB,False,True,4.4,5634.0
56,MT SKIN CLINIC,B08HR35J3P,False,True,4.4,30.0
57,SMIDOW,B0CF9QPVFD,False,True,3.5,52.0
58,OSMUAL,B0CJ4D9S1G,False,True,5.0,1.0
59,HAVVIS,B095Y5LZZ2,False,True,4.4,11220.0
