rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,SMIDOW,B0CF9RSN2T,False,False,3.5,52.0
1,Leodye,B0CDPGVB47,False,False,3.3,32.0
2,PVCS,B0CJ6K6DG7,False,False,5.0,10.0
3,LYTRYCAMEV,B0CH7PRK92,False,False,5.0,7.0
4,PVCS,B0CHMD7L23,False,False,5.0,7.0
5,YUTANRAL,B0C8TMDQWC,False,False,4.0,73.0
6,fartey,B0CF1FC4K1,False,False,3.6,39.0
7,Generic,B0CH83RGB3,False,False,5.0,1.0
8,YUTANRAL,B0CK2L4SMY,False,False,3.5,10.0
9,KICILVS,B0CJLC24CN,False,False,,
10,PVCS,B0C4P5VKRB,False,False,3.6,80.0
11,Generic,B0CHVDYZ6W,False,False,1.8,3.0
12,Generic,B0CJQSP8FB,False,False,3.4,12.0
13,fartey,B0C61CN3ZK,False,False,2.8,11.0
14,maisdgop,B0C8DFTYFL,False,False,3.1,14.0
15,TARIENDY,B0CJ4X8Q7P,False,False,5.0,1.0
16,Playtex,B00551OP0A,False,False,4.2,71294.0
17,SHAPERMINT,B07WW4649W,False,False,3.9,26541.0
18,Cascade,B08QVJBYMK,False,False,4.8,15623.0
19,jxsoyen,B0CH369N3P,False,False,5.0,1.0
20,LUCKYCATCUS,B09LQ7G8J5,False,False,4.2,1736.0
21,NORPERWIS,B0BRTTBTLY,False,False,4.6,42.0
22,Bidobibo,B0CGM31WX9,False,False,5.0,1.0
23,TEEZWONDER,B0BC7K8622,False,False,4.8,725.0
24,Playtex,B000MWXBMK,False,False,4.1,24426.0
25,FRANKINCENSE & MYRRH,B08HPGPSJX,False,False,4.3,3040.0
26,Hempz,B00FU78S8E,False,False,4.5,6614.0
27,Mystry Zone,B08MVZX7RL,False,False,4.2,5413.0
28,POKARLA,B0BZKHY3WL,False,False,4.1,574.0
29,SMIDOW,B0CHYPSYW8,False,False,4.0,1.0
30,Omichic,B08W4ZPHTL,False,False,4.3,9440.0
31,Vermilion Bird,B01M0TH1G9,False,False,4.2,19817.0
32,YRW,B0CCY37ZSF,False,True,4.8,6.0
33,Stessotudo,B0CJ4HSVF8,False,False,5.0,2.0
34,Generic,B0CHV85TBX,False,False,,
35,Astylish,B07WT9MX6F,False,False,4.0,13748.0
36,NORPERWIS,B07D8Q644T,False,False,4.6,2837.0
37,PRJF,B0CCTJF88B,False,True,4.7,37.0
38,SPECIALMAGIC,B0C1NYYR71,False,True,4.4,14128.0
39,KICILVS,B0CJBHL4T8,False,False,,
40,AIRCUTE,B0BCC96CFV,False,False,4.1,146.0
41,MISSWHO,B08JPG3S81,False,False,4.4,19046.0
42,Catgeta,B0C3LX4M5Z,False,False,3.8,52.0
43,AISEW,B09BTB6B26,False,True,4.2,5257.0
44,Yck-SAiWed,B0C7RB2GM5,False,False,3.9,257.0
45,Cbcbtwo,B0CG5RQHZD,False,False,3.8,12.0
46,Playtex,B0013BACFI,False,False,4.3,61397.0
47,EYECEDAR,B01KZM0EZI,False,False,4.5,734.0
48,Generic,B0CD6SCPWF,False,False,4.3,7.0
49,SuperPrity,B0CF1S7D7P,False,False,4.2,16.0
50,FSAHJKEE,B0CJDLTB9P,False,False,,
51,symoid,B0BQW4F5YK,False,False,3.4,155.0
52,ROSELINLIN,B09T71PCSY,False,True,4.4,5634.0
53,SMIDOW,B0CF9QPVFD,False,True,3.5,52.0
54,POKARLA,B07XCXSS3L,False,True,4.6,62431.0
55,YaoKuem,B09BZ4PJQ3,False,True,3.9,14.0
56,Vivilli,B0CJ96QRSP,False,True,4.4,91.0
57,FREEYE,B0CBS4P6H6,False,True,4.5,2.0
58,Amoretu,B09MQPBN97,False,True,4.3,8361.0
59,SMIDOW,B0CJDZF7ZM,False,True,3.5,135.0
