rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,MR.GREEN Manicure Sets Pedicure Kits Stainless Steel Nail Clipper Personal Care Tools with PU Leather Case (Green),B09BCGVPZX,False,True,4.7,646
1,Manicure Set Personal Care Nail Clipper Kit Manicure 8 In 1 Professional Pedicure Set Mens Accessories Personal Care Set Grooming Kit Fathers Gift for Men Husband Boyfriend Parent,B07GGR1N4Y,False,True,4.4,21410
2,"Nail Clippers for Seniors, 360 Degree Rotary Fingernail and Toenail Clippers with Long Handle Ultra Sharp Sturdy Stainless Steel Heavy Duty Large Toe Nail Clippers for Thick Nails Built-in Nail File",B0C3GYT4ZC,False,True,4.5,150
3,"Nail Clippers Set, Ultra Sharp Sturdy Fingernail and Toenail Clipper Cutters with Visibly Tin Case by HAWATOUR",B07M5RNH4Z,False,True,4.6,38022
4,"Revlon Nail Clipper, Nail Care Tools, Curved Blade & Foldaway Nail File for Trimming & Grooming, Easy to Use (Pack of 1)",B0015HKN3G,False,False,4.6,20089
5,"Nail Clippers Set, Ultra Sharp Sturdy Fingernail and Toenail Clipper Cutters with Visibly Tin Case by HAWATOUR",B07M5RNH4Z,False,False,4.6,38022
6,"firiKer Nail Clipper Set,Premium Stainless Steel Fingernail and Toenail Clipper Cutters, Fingernail Clipper Cutters Sets with Nail File Sharp,Effortless Stainless Steel Nail Clippers for Men & Women",B088T6CWDX,False,False,4.6,10399
7,"(6 Pack) Toe Nail Clippers Toenail Clippers and Fingernail Clipper Set, Premium Stainless Steel Ultra Sharp Sturdy Curved Edge Cutter Trimmer Finger Nail Clip for Adults Men Women Nail Cleaner",B087B8KZLB,False,False,4.6,6791
8,Tweezerman Stainless Steel Nail Combo Set with Fingernail and Toenail Clippers,B00CRMHEJE,False,False,4.6,10310
9,"Nail Clippers Set, Sharp Stainless Steel Fingernail Clipper & Toenail Clippers, Black Nail Cutter, Large and Small 2 Piece Set. (Large/Small)",B08BKJ9ZWV,False,False,4.5,4665
