rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,COSLUS Cordless Nail Drill Electric File: Professional for Acrylic Gel Dip Powder Nails Portable Nail Drill Machine Kit for Manicure Pedicure Nail Set with Everything Rechargeable Lightweight,B0BKGHSD3R,False,True,4.4,3567
1,"MelodySusie Professional Rechargeable 30000 rpm Nail Drill, Portable Electric E File Scamander, Acrylic Gel Grinder Tools with 6 Bits and Sanding Bands for Manicure Pedicure Shape Carve Polish (White)",B07P7Z1JF1,False,True,4.5,12527
2,"MelodySusie Portable Electric Nail Drill, Compact Efile Electrical Professional Nail File Kit for Acrylic, Gel Nails, Manicure Pedicure Polishing Shape Tools Design for Home Salon Use, Purple",B01H05EDK0,False,True,4.5,83258
3,Saviland Electric Nail Drill - Electric Nail File Efile Nail Drill Professional Manicure with 6PCS Nail Drill Bits & 51Pcs Sanding Bands,B0BG57LS6V,False,True,4.3,1965
4,"MelodySusie Electric Nail Drill Machine 11 in 1 Kit, Portable Electric Nail File Efile Set for Acrylic Gel Nails, Manicure Pedicure Tool with Nail Drill Bits Sanding Bands Dust Brush, Gold",B07Y9Y5JM4,False,False,4.5,22956
5,Saviland Electric Nail Drill - Electric Nail File Efile Nail Drill Professional Manicure with 6PCS Nail Drill Bits & 51Pcs Sanding Bands,B0BG57LS6V,False,False,4.3,1965
6,"MelodySusie Portable Electric Nail Drill, Compact Efile Electrical Professional Nail File Kit for Acrylic, Gel Nails, Manicure Pedicure Polishing Shape Tools Design for Home Salon Use, Purple",B01H05EDK0,False,False,4.5,83258
7,COSLUS Cordless Nail Drill Electric File: Professional for Acrylic Gel Dip Powder Nails Portable Nail Drill Machine Kit for Manicure Pedicure Nail Set with Everything Rechargeable Lightweight,B0BKGHSD3R,False,False,4.4,3567
8,"MelodyBetty Electric Nail Drill, Professional Acrylic Nail Drill Machine for Gel, Acrylic Nails, Portable USB Electric Nail File Efile Set with Iridescent Nail Drill Bits, Manicure Pedicure Nail Tools",B0BLMTWJL5,False,False,4.3,1076
9,"Alety Electric Nail Drill Kit, Portable Electric Nail File for Acrylic Gel Nails, Professional Nail Drill Machine Efile Manicure Pedicure Tools with Gold Nail Drill Bits for Home Salon Use",B0C2V6SMFY,False,False,4.4,225
10,Saviland Rechargeable 40000RPM Nail Drill – Portable Electric Nail File with 12 Drill Bits for Nails Electric Nail Drills for Acrylic/Gel Nails Professional Nail Tools for Manicure Pedicure,B0BHWGKVW8,False,True,4.5,297
11,Saviland Portable Electric Nail Drill - 35000RPM Electric Nail File Nail Drills for Acrylic Nails Professional with Drill Bits Manicure Pedicure Supplies Use Nail Art for Home DIY Salon Use,B0BZ4KMNZR,False,True,4.5,30
12,"Professional Nail Drill Machine,Electric Acrylic Gel Nails Kit Portable E File 35000RPM Rechargeable Manicure Pedicure Polishing Shape Tools for Home and Salon (UV-501（Grey）)",B0C371P2DW,False,True,4.1,90
13,"Saviland Electric Nail Drill - 30000RPM Rechargeable Nail Drills for Acrylic Nails Professional Cordless Electric Nail File with 12 PCS Nail Drill Bits, Manicure Pedicure Kit for Salon Home Use, White",B0BHWG2JWT,False,True,4.3,69
14,"Nail Drill, Cordless Electric Nail Files for Gel Nails Efile Manicure Kit for Women Rechargeable Wireless Drill para Uñas Profesional Nail Drill Machine Nail Grinder for Acrylic Gel Nails White",B0CBJTBX38,False,False,4.9,74
15,Subay Professional Finger Toe Nail Care Electric Nail Drill Machine Manicure Pedicure Kit Electric Nail Art File Drill with 1 Pack of Sanding Bands (Pink),B01DNDJ4PM,False,False,4.6,20662
16,"COSITTE Electric Nail Drill,USB Electric Nail Drill Machine for Acrylic Nail Kit,Portable Electric Nail File Polishing Tool Manicure Pedicure Kit Efile Nail Supplies for Home Salon,Pink",B08RXC8MX2,False,False,4.5,13638
17,"Electric Nail Drill Portable Flawless Salon Nails Kit, Electronic Nail File and Full Manicure and Pedicure Tool, Gifts for Women (Rose Red)",B0B8DBWKTR,False,False,3.8,1155
18,"MelodySusie Nail Drill Machine, Electric Nail File Professional for Acrylic Nail, Rechargeable Cordless Portable E File 6 Nail Drill Bit Set, SR3 Jade",B09B9ZY9MJ,False,True,4.2,525
19,"MelodySusie Professional Nail Drill 30000RPM, Rechargeable Electric Nail Drill Machine, Cordless Electric Nail E File for Acrylic Gel Nails, 8pcs Nail Drill Bits 106pcs Sanding Bands, Selene, Pink",B0BHNRPW64,False,True,4.5,517
20,"L'UGX Nail Drill 35000RPM Professional Brushless Electric Nail Drill Machine, Rechargeable Cordless Nail Efile for Acrylic Gel Nails, 8Pcs Nail Drill Bits, Low Noise Low Vibration",B0C8TGHXBN,False,True,4.9,24
21,"Electric Nail Drill Machine, 40000RPM Professional Efile Nail Drill Kit, Electric Nail File for Acrylic Nails Gel Nails, Toenail Grinder Manicure Pedicure Polishing Shape for Home Salon Use by JOEOEN",B0B6VD7DT7,False,True,4.3,1094
22,"Electric Nail Drill, 35000RPM Professional Nail Drill Machine, Portable Nail Drills for Acrylic Nails, Electric Nail File Rechargeable Efile Nail Drill for Gel Nails Remove, Home Salon Use Nail Tools",B0BPBH4M6L,False,False,4.5,325
23,"Portable Nail Drill Professional 35000 RPM, Rechargeable Electric Nail File Machine E File for Acrylic Nails Gel Polishing Removing, Cordless Efile with Bits Kit for Manicure Salon Home, Pink",B0B3T5BD2K,False,False,4.5,2170
24,"20000RPM Electric Nail Drill Compact Portable Efile Professional Manicure Pedicure Nail File Drill Kit for Acrylic, Gel Nails and Home Salon Use, Gold",B01MYH8QI3,False,False,4.5,14388
25,"Ftrule Professional Nail Drill Machine, 35000 RPM Efile Nail Drill Kit, Rechargeable Electric Nail File Machine, with 11 Bits, for Acrylic Gel Nails, Manicure Pedicure, Polishing Shape, Colorful",B0C9KVP6Y8,False,False,4.7,50
26,"MelodySusie Professional Rechargeable 30000 rpm Nail Drill, Portable Electric E File Scamander, Acrylic Gel Grinder Tools with 6 Bits and Sanding Bands for Manicure Pedicure Shape Carve Polish (White)",B07P7Z1JF1,False,False,4.5,12527
27,"Sheviver Electric Nail Drill Kit, Electric Nail File for Acrylic Gel Nails, Professional Nail Drill Machine Efile Manicure Pedicure Tools with Iridescent Nail Drill Bits for Home Salon (Pink)",B0CCN9N3G8,False,False,4.3,17
