rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Solimo Ristretto Capsules, Dark Roast, Compatible with Original Brewers, 50 Count",B089GR9VBQ,True,False,4.1,3695
1,"Amazon Fresh Espresso Suave Medium Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 6/13, 50 Count (5 Packs of 10)",B09P19XNG4,True,False,3.8,162
2,"Amazon Fresh Espresso Decaffeinato Dark Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 9/13, 50 Count (5 Packs of 10)",B09P1C4294,True,False,4.2,115
3,"Amazon Fresh Intenso Dark, Medium & Forte Light Roast Aluminum Capsules, Variety Pack, Compatible with Nespresso Original Brewers, 50 Count (5 Packs of 10)",B09P1D74JR,True,False,4.2,76
4,"Amazon Fresh Lungo Medium Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 6/13, 50 Count (5 Packs of 10)",B09P1DTMZB,True,False,4.0,60
5,"Amazon Brand - Solimo Espresso Capsules, Medium Roast, Compatible with Original Brewers, 50 Count",B089GQ2HCW,True,False,4.1,3899
6,"Amazon Basics Nespresso OriginalLine Coffee Pod Storage Drawer Holder, 50 Capsule Capacity, Black",B010RLCH2U,True,False,4.4,30467
7,"Amazon Brand - Solimo Lungo Capsules, Medium Roast, Compatible with Original Brewers, 50 Capsule",B089GQ2QCG,True,False,4.1,2356
8,"Amazon Fresh Ristretto Intenso Dark Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 10/13, 50 Count (5 Packs of 10)",B09P1B3FPC,True,False,4.5,41
9,"Amazon Brand - Solimo Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B079V7F2BP,True,False,4.4,140287
