rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Fresh Espresso Suave Medium Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 6/13, 50 Count (5 Packs of 10)",B09P19XNG4,True,False,3.8,162
1,"Amazon Fresh Lungo Medium Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 6/13, 50 Count (5 Packs of 10)",B09P1DTMZB,True,False,4.0,60
2,"Amazon Brand - Solimo Espresso Capsules, Medium Roast, Compatible with Original Brewers, 50 Count",B089GQ2HCW,True,False,4.1,3899
3,"Amazon Brand - Solimo Ristretto Capsules, Dark Roast, Compatible with Original Brewers, 50 Count",B089GR9VBQ,True,False,4.1,3695
4,"Amazon Brand - Solimo Lungo Capsules, Medium Roast, Compatible with Original Brewers, 50 Capsule",B089GQ2QCG,True,False,4.1,2356
5,"Amazon Fresh Espresso Dark, Medium & Light Roast Aluminum Capsules, Variety Pack, Compatible with Nespresso Original Brewers, 50 Count (5 Packs of 10)",B09P1BSW8Z,True,False,4.2,83
6,"Amazon Fresh Intenso Dark, Medium & Forte Light Roast Aluminum Capsules, Variety Pack, Compatible with Nespresso Original Brewers, 50 Count (5 Packs of 10)",B09P1D74JR,True,False,4.2,76
7,"Amazon Fresh Ristretto Intenso Dark Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 10/13, 50 Count (5 Packs of 10)",B09P1B3FPC,True,False,4.5,41
8,"Amazon Fresh Espresso Decaffeinato Dark Roast Aluminum Capsules, Compatible with Nespresso Original Brewers, Intensity 9/13, 50 Count (5 Packs of 10)",B09P1C4294,True,False,4.2,115
9,"Amazon Brand - Happy Belly Light Roast Cappuccino Coffee Pods, Hazelnut Flavored, Compatible with K-Cup Brewers, 24 Count",B0B6DGMSWH,True,False,4.4,2308
10,"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P23H371,True,False,4.4,140287
11,"Amazon Basics Nespresso OriginalLine Coffee Pod Storage Drawer Holder, 50 Capsule Capacity, Black",B010RLCH2U,True,False,4.4,30467
12,"Amazon Brand - Solimo Decaf Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B079V5L9JL,True,False,4.5,11598
13,"Amazon Brand - Happy Belly Breakfast Blend Coffee Pods, Light Roast, Compatible with K-Cup Brewer, 96 Count",B08ZZP3BLT,True,False,4.3,2481
14,"Allegro Coffee, Coffee Early Bird Blend Pods Organic 10 Count, 3.8 Ounce",B0756Q3F7Z,True,False,4.3,643
15,"365 by Whole Foods Market, Coffee Riviera Roast Italian Roast Pods Organic 12 Count, 4.6 Ounce",B074H76C6Q,True,False,4.4,423
16,"Amazon Brand - Happy Belly Dark Roast Coffee Pods, French Roast, Compatible with Keurig 2.0 K-Cup Brewers, 24 Count",B07NZTX69L,True,False,4.4,51390
17,"Amazon Brand - Happy Belly Espresso Roast Coffee Pods (Dark Roast), Compatible with K-Cup Brewer, 96 Count",B08ZZLNY9K,True,False,4.3,647
18,"Amazon Brand - Happy Belly Variety Pack Coffee Pods, Compatible with K-Cup Brewer (Breakfast Blend, Dark/ Medium/ French Roast) 96 count (Pack of 1)",B08ZZJ69KW,True,False,4.2,951
19,"365 by Whole Foods Market, Coffee La Bailarina Spanish Roast Pods Organic 12 Count, 4.6 Ounce",B074H6G7W2,True,False,4.2,341
20,"365 by Whole Foods Market, Coffee Colombian Cup Vienna Roast Pods Organic 12 Count, 4.6 Ounce",B074H81MM8,True,False,4.3,735
21,"365 by Whole Foods Market, Coffee House Blend American Roast Pods 12 Count, 4.6 Ounce",B074H6QTL6,True,False,4.4,1687
22,"Amazon Brand - 48Ct. Solimo Coffee Pods(24 Ct. Colombian & 24 Ct. French Roast) , Compatible with Keurig 2.0 K-Cup Brewers",B083VB8J9K,True,False,4.4,119
