rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"L'OR Barista System Coffee and Espresso Machine Combo by Philips, Black",B0BDGG5N8W,False,True,4.2,1217
1,Bestpresso Coffee for Nespresso Original Machine 120 Aluminum pods Certified Genuine Espresso Variety Pack Pods Compatible with Nespresso Original,B01EIA2YXI,False,True,4.2,15492
2,"Nespresso Capsules Vertuo, Barista Flavored Pack, Medium Roast Coffee, 30 Count Coffee Pods, Brews 7.77 fl. oz",B0BZJVFFNM,False,False,4.7,107692
3,"Nespresso Capsules VertuoLine, Melozio, Medium Roast Coffee, Coffee Pods, Brews 7.77 Fl Ounce (VERTUOLINE ONLY), 10 Count (Pack of 3)",B0768N9N6M,False,False,4.8,27881
4,"Nespresso Capsules VertuoLine, Medium and Dark Roast Coffee, Variety Pack, Stormio, Odacio, Melozio, 30 Count, Brews 7.77 Fl Oz (Pack of 3 )",B01N05APQY,False,False,4.8,65063
5,"Nespresso Capsules VertuoLine, Odacio, Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.77 Ounce (VERTUOLINE ONLY)",B0768N976P,False,False,4.8,43023
6,"Nespresso VertuoPlus Coffee and Espresso Machine by De'Longhi, 38 ounces, Matte Black",B07GBJQ38K,False,False,4.6,1669
7,"Nespresso Vertuo Coffee and Espresso Maker, Machine Only, Black Matte Rose Gold",B09B1TDJTW,False,False,4.0,8151
8,"Nespresso Capsules VertuoLine, Double Espresso Scuro, Dark Roast Espresso Coffee, 10 Count (Pack of 3) Coffee Pods, Brews 2.7 Ounce (VERTUOLINE ONLY)",B07M8YV12G,False,False,4.8,27438
9,"Nespresso VertuoPlus Deluxe Coffee and Espresso Machine by De'Longhi with Milk Frother, Titan,Gray",B07RN24M4L,False,False,4.7,983
10,"KOTLIE Single Serve Coffee Maker,4in1 Espresso Machine for Nespresso Pods/K cups/L'OR/Ground Coffee/illy Coffee ESE,19Bar Espresso Maker,1450W Fast Heat Coffee Machine(Coffee)",B0BTVVHBCM,False,True,4.3,182
11,Lavazza Expert Coffee Classy Plus Single Serve ALL-IN-ONE Espresso & Coffee Brewer Machine - LB 400 - (Includes Built-in Milk Vessel/Frother),B08J8J3S4Y,False,True,4.3,595
12,"Lavazza Espresso Ristretto Dark Roast Arabica & Robusta Aluminum Capsules Compatible with Nespresso Original Machines (Pack of 60) ,Value Pack, Intense and full bodied, dark crema, Intensity 12 of 13",B0BTR49VV6,False,True,4.4,110
13,"Lavazza BLUE Classy Mini Single Serve Espresso Coffee Machine LB 300, 5.3"" x 13"" x 10.2"" 2 Coffee selections: simple touch controls, 1 programmable free dose and 1 pre-set",B07RVDJW56,False,True,4.5,1774
14,"Nespresso BEC430TTN Pixie Espresso Machine, 24 ounces by Breville, Titan",B07SRDQBY2,False,False,4.6,2340
15,"Nespresso Capsules OriginalLine, Morning Lungo Blends Variety Pack, Mild, Medium, and Dark Roast Coffee, 50 Count Espresso Coffee Pods, Brews 3.7 Ounce (ORIGINALLINE ONLY)",B07ZTCQB1B,False,False,4.8,5678
16,"Nespresso VertuoPlus Coffee and Espresso Machine by De'Longhi, 5 Fluid Ounces, Grey",B01N7GO468,False,False,4.5,3390
17,"Nespresso Capsules OriginalLine, Ristretto Intenso, Dark Roast Coffee, Coffee Pods, Brews 1.35 Ounce (ORIGINALLINE ONLY), 10 Count (Pack of 5)",B0752DX1CY,False,False,4.8,9012
18,"Gran Caffè Garibaldi Nespresso* compatible capsules (Gusto Intenso, 200 Count)",B077VL4L57,False,True,4.2,2156
19,ROSSO CAFFE Espresso Coffee Pods for Nespresso Machines - Reserve Edition - Premium Variety Pack - 80 Aluminium Capsules - Compatible with all Nespresso Original line Machines,B09DT9LTS9,False,True,4.4,1207
20,"Peet's Coffee, Dark Roast Espresso Pods Compatible with Nespresso Original Machine, Nerissimo Intensity 11, 50 Count (5 Boxes of 10 Espresso Capsules)",B07DDLCWJD,False,True,4.7,6756
21,"Zulay Magia Super Automatic Espresso Machine with Grinder - Coffee Maker with Milk Frother & Insulated Milk Container - Cappuccino & Latte Machine - Touch Screen, 19 Coffee Recipes, 10 User Profiles",B0BXT9NQW1,False,True,4.2,21
22,"Starbucks by Nespresso Variety Pack Coffee (50-count single serve capsules, compatible with Nespresso Original Line System)",B07Q6NF8DL,False,False,4.6,9470
23,"Nespresso Vertuo Coffee and Espresso Machine by De'Longhi with Milk Frother, 236.59 Milliliters, Piano Black",B01MDR4IAS,False,False,4.7,10322
24,"Nespresso D40-US-BK-NE Inissia Espresso Maker, 24 ounces, Black (Discontinued Model)",B00KMSLHDY,False,False,4.4,5104
25,Nespresso Coffee Pods 10 Capsules 1 Sleeve VertuoLine Vertuo Line Single Serve Intenso/Double Espresso/Gran Lungo/Limited Edition ALL FLAVORS (10 Pods Pumpkin Spice Cake (Sweet Pumpkin&Cinnamon),B07YF3Q8BH,False,False,4.4,819
26,"Mini Espresso Machine Compatible for Nespresso Orignial Pods, Capsule Coffee Maker with 19 Bar High Pressure Pump, 25 oz Removable Water Tank, White",B0C9JC9LKC,False,True,4.0,7
27,"Yabano Espresso Machine, 3.5Bar Espresso Coffee Maker, Espresso and Cappuccino Machine with Milk Frother, Espresso Maker with Steamer (Green)",B0BTRWH4R6,False,True,4.2,1021
28,"Lavazza TIERRA PLANET USDA ORGANIC Espresso Aluminum Capsules Compatible with Nespresso Original Machines (Pack of 60) ,Value Pack, Medium Roast, 100% Arabica, Intensity 7 of 13",B0BTQY6XF7,False,False,4.4,94
29,"Nespresso OriginalLine, Vaniglia 50 Count Espresso Coffee Pods",B0BZJVQZG7,False,False,4.8,5063
30,"Starbucks by Nespresso Dark Roast Espresso (50-count single serve capsules, compatible with Nespresso Original Line System)",B07Q2HLTVY,False,False,4.5,5547
31,"Nespresso Capsules VertuoLine, Altissio, Medium Roast Espresso Coffee, 50 Count Coffee Pods, Brews 1.35 Ounce (VERTUOLINE ONLY)",B0768VHJP5,False,False,4.8,9230
32,"Nespresso Capsules VertuoLine, Solelio, Mild Roast Coffee, Coffee Pods, 7.77 Ounce (VERTUOLINE ONLY), 10 Count (Pack of 3)",B0768N9N6N,False,False,4.7,5483
33,"Nespresso Capsules VertuoLine, Fortado Gran Lungo Americano, Dark Roast Espresso Coffee, 10 Count (Pack of 3) Coffee Pods, Brews 5.0 Ounce (VERTUOLINE ONLY)",B07MN5YP4V,False,False,4.8,3313
34,"Starbucks by Nespresso, Intense Variety Pack (50-count single serve capsules, 10 of each flavor, compatible with Nespresso Original Line System)",B07Q7S4HDJ,False,False,4.6,3264
35,"Nespresso Capsules OriginalLine, Mild Roast Blend Variety Pack, Mild Roast Coffee, 50 Count Espresso Coffee Pods, Brews 3.7 ounce and 1.35 ounce (ORIGINALLINE ONLY)",B07ZTD1N2H,False,False,4.8,4703
36,"Nespresso Capsules VertuoLine, Half Caffeinato, Mild Roast Coffee, 10 Count (Pack of 3), Brews 7.8oz (VERTUOLINE ONLY)",B0768QPPZC,False,False,4.8,5960
37,"Nespresso OriginalLine (European Version) Ispirazione Italiana: Napoli, 40 Capsules",B086BSCTY3,False,False,4.6,680
38,"Nespresso Capsules VertuoLine, Dark Assortment Variety Pack, Dark Roast , 40 Count Coffee & Espresso Pods, Brews 7.8 oz and 1.35oz",B01MXGVUTW,False,False,4.8,5989
39,"Nespresso Vertuo Next Deluxe Coffee and Espresso Machine by Breville, Matte Black Chrome",B09XBLHVPB,False,False,4.3,145
40,"Starbucks by Nespresso Blonde Roast Espresso (50-count single serve capsules, compatible with Nespresso Original Line System)",B07Q2HQTH5,False,False,4.6,5048
41,"Nespresso Essenza Mini Espresso Machine by Breville,0.6 Liters, Piano Black",B073ZGWN12,False,False,4.6,4276
42,"Nespresso Vertuo Next Coffee and Espresso Machine by De'Longhi, Limited Edition, 5 cups, Matte Black",B08GL2NJ2Y,False,False,3.6,963
43,"Peet's Coffee Gifts, Bestseller's Espresso Coffee Pods Variety Pack, Dark & Medium Roasts, Compatible with Nespresso Original Machine, Intensity 8-11, 40 Count (4 Boxes of 10 Espresso Capsules)",B07D5F7F2K,False,False,4.6,10633
44,"Nespresso Vertuo Next Deluxe Coffee and Espresso Maker, Pure Chrome with Aeroccino Milk Frother,1.1 liter, Black,Dark Chrome",B08VQ67TFM,False,False,4.3,143
45,"Nespresso Capsules OriginalLine Tokyo Vivalto Lungo, Medium Roast Coffee, 50 Count Coffee Pods, Brews 3.7 Ounce (ORIGINAL LINE ONLY)",B007Z9URXE,False,False,4.8,2303
46,"Nespresso Capsules OriginalLine, Stockholm Fortissio Lungo, Dark Roast Coffee, 50 Count Coffee Pods, Brews 3.7 Ounce",B00HW49UG2,False,False,4.8,1948
47,"Nespresso Professional Coffee Capsules, Single-Origin Pack with Organic Coffee, Light, Medium & Dark Roast, 200-Count Coffee Capsules",B08P29DY45,False,False,5.0,1
48,"Nespresso Capsules OriginalLine, Volluto Decaffeinato Mild Roast Coffee, 10 Count (Pack of 5) Coffee Pods, Brews 1.35 Ounce, (ORIGINALLINE ONLY)",B00US10JMA,False,False,4.8,7262
49,"Starbucks by Nespresso Decaf Dark Roast Espresso (50-count single serve capsules, compatible with Nespresso Original Line System)",B07Q1DSDTK,False,False,4.4,2134
50,"Starbucks by Nespresso Medium Roast Pike Place Roast Coffee (32-count single serve capsules, compatible with Nespresso Vertuo Line System)",B08R4CVMS3,False,False,4.7,2186
51,"Nespresso Vertuo Coffee and Espresso Machine by Breville,5 Cups, Chrome",B01N6TVX8H,False,False,4.6,3587
52,"Nespresso Capsules OriginalLine, Espresso Variety Pack, Medium Roast Espresso Coffee, 10 Count (Pack of 10), Brews 3.7 ounce and 1.35 ounce (ORIGINAL LINE ONLY)",B0052M5V0A,False,False,4.8,4167
53,"Nespresso Capsules OriginalLine, Kazaar Intenso, Dark Roast Coffee, 10 Count (Pack of 5), Brews 1.35oz - Packaging May Vary",B00O6FU8TI,False,False,4.8,3159
54,"Starbucks by Nespresso Medium Roast Single-Origin Colombia Coffee (32-count single serve capsules, compatible with Nespresso Vertuo Line System)",B08R49R882,False,False,4.7,978
55,"Starbucks by Nespresso Blonde Roast Espresso (50-count single serve capsules, compatible with Nespresso Vertuo Line System)",B08R4GRB2N,False,False,4.7,3799
56,"Nespresso Vertuo Coffee and Espresso Machine by Breville, 5 Cups, Matte Black, 19.25 x 11 x 15.25 in",B01N259H2R,False,False,4.8,1426
57,"Starbucks by Nespresso Mild Variety Pack Coffee (50-count single serve capsules, compatible with Nespresso Original Line System)",B07Q6NCW7Q,False,False,4.5,1825
58,"Nespresso Vertuo Coffee and Espresso Machine by Breville, 5 Cups, Chrome",B01MZCQBY4,False,False,4.7,4779
59,"Nespresso Capsules OriginalLine, Ispirazione Napoli, Dark Roast Coffee Pods, 50-Count Espresso Coffee Pods",B0CDCRL8F7,False,False,4.5,54
