rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"BERIBES Upgraded Hybrid Active Noise Cancelling Headphones with Transparent Modes,65H Playtime Bluetooth Headphones Wireless Bluetooth with Mic, Deep Bass,3.5MM Cable,Soft-Earpads,Fast Charging-Black",B0CDC4X65Q,False,True,4.5,97
1,"Wireless Earbud, 2023 Sport Wireless Bluetooth 5.3 Earbud with HiFi Stereo, 90H Over Ear Bud with Noise Cancelling Mic, IP7 Waterproof Bluetooth Headphones, LED Display, Button Control, for Running",B0C7CQZYCG,False,True,4.8,1028
2,"Hybrid Active Noise Cancelling Headphones, 65H Playtime, Built-in Microphone, Bluetooth Wireless Over Ear Foldable Headphones with HiFi Audio, Home Travel Office",B0BR9PWNKQ,False,False,4.5,1779
3,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",B07NM3RSRQ,False,False,4.5,68780
4,"Hybrid Active Noise Cancelling Headphones Wireless Bluetooth Headphones Over Ear Wireless Headphones with Deep Bass, Clear Calls, Comfortable Fit, 30H Playtime, Travel Case, Black",B0CD1T8L61,False,False,4.8,155
5,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",B0BS1QCFHX,False,False,4.4,1705
6,"Safety Earmuffs with Bluetooth Radio for Mowing, NRR 29dB Industrial Ear Hearing Protection Ear Muffs, Noise Cancelling Wireless Headphone - 2023 Upgraded LCD Display, Rechargeable BL-5B Battery",B0B5GGWB53,False,True,4.2,175
7,"INFURTURE Active Noise Cancelling Headphones, H1 Wireless Over Ear Bluetooth Headphones, Deep Bass Headset, Low Latency, Memory Foam Ear Cups,40H Playtime",B0B879C5DS,False,False,4.4,13154
8,"Sleep Headphones, Noise Cancelling Headphones for Sleeping - Sleep Headphones for Side Sleepers, Wireless Sleeping Headphones Headband for Insomnia Nuit Travel, Gifts for Women Men Mom Dad Kids -Grey",B0CGTY6C6B,False,False,5.0,7
9,"2 Pack Noise Canceling Headphones For Adults Kids, Professional Shooting Ear Protection Ergonomic Design, Thickened Headband Ear Muffs For Noise Reduction For Shooting, Construction, Power Tools",B0CCZYFGQB,False,False,4.4,47
10,"E7 Active Noise Cancelling Headphones Wireless Bluetooth Headphones Over The Ear Headphones, Wireless Headphones Noise Cancelling Bluetooth Wireless Over Ear ANC Headphones, Ture Black",B0C7CFYN53,False,False,4.8,107
11,"Wireless Earbud Sport, Bluetooth 5.3 Headphones with Noise Cancelling Mic, 90H HiFi Stereo Over Ear Bud LED Display and USB-C, IP7 Waterproof Earphones, Button Control, for iOS/Android",B0C1BPQSHS,False,True,4.6,5775
12,"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth Headphones, Multipoint Connection",B08HMWZBXC,False,False,4.5,56871
13,"Active Noise Cancelling Headphones, 80H Playtime Bluetooth Wireless Headphones Over Ear with Microphone, Headphones Wireless Bluetooth with Deep Bass Headset for Adults, TV, Travel, Home, Office, Gym",B0C43C3GPQ,False,False,4.2,487
14,"Srhythm NC35 Noise Cancelling Headphones Wireless Bluetooth 5.3, Fast Charge Over-Ear Lightweight Headset with Microphones,Mega Bass 50+ Hours’ Playtime",B083W4R9DN,False,False,4.3,12510
15,"Bose Headphones 700, Noise Cancelling Bluetooth Over-Ear Wireless Headphones with Built-In Microphone for Clear Calls and Alexa Voice Control, Black",B07Q9MJKBV,False,False,4.5,33829
16,"Wireless Earbuds, HiFi Stereo Sport Bluetooth 5.3 Headphones with Earhooks, 48H Deep Bass in-Ear Headphones with LED Display, Noise Cancelling, IP7 Waterproof Earphones Built-in Microphone for Running",B0BB9RDFDN,False,True,4.3,2298
17,"Active Noise Cancelling Headphones - 100H Playtime Wireless Over Ear Bluetooth Headphones Deep Bass, Noise Canceling Wireless Headphones with Mic, HiFi Audio for Adults Travel/Home/Office",B0CDFSS3ZX,False,False,4.8,83
18,"Bluetooth Headphones Over the Ear, Wired/Wireless Noise Cancelling headphones with Microphone, Hi-Fi Stereo Lightweight Comfortable Foldable Bluetooth Headsets for Pad Laptop PC Cellphone (Blue)",B0CJ7B6NDB,False,False,4.7,15
19,"Bluetooth Headphones, Premium Active Noise Cancelling Wireless Headphones Over Ear, 50H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups for Travel, Home Office",B0C2D21HBX,False,False,4.7,482
20,Sony WH-CH720NB Noise Canceling Wireless Bluetooth Headphones - Built-in Microphone - up to 35 Hours Battery Life and Quick Charge - Matte Black,B0BTDX26B2,False,False,4.5,654
21,"NC7 All-Function Hybrid Active Noise Cancelling Wireless Earbuds, Bluetooth 5.3 Headphones with Ultra Long 72H Playtime, in-Ear Detection, App Customization, Immersive Sound Deep Bass Headset",B0B4W42P7N,False,True,4.3,2447
