rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,FANSING,B07JJXNH3V,False,True,4.3,41072
1,AMASIS,B0CD7KPQMD,False,True,4.7,13
2,LAURITAMI,B08J9PQ849,False,True,4.1,1394
3,OMAIGAR,B09BMZYPC5,False,True,4.3,1369
4,OMAIGAR,B0B9H399VR,False,False,4.6,714
5,ONESING,B07T6T75C8,False,False,4.2,12853
6,FANSING,B08J43Q5VX,False,False,4.4,5093
7,Mayhoop,B093PZKKY8,False,False,4.3,3096
8,THUNARAZ,B076D72734,False,False,4.5,10432
9,Vegolita,B0C168NXPN,False,False,4.2,123
10,JFORYOU,B0BHV9GH84,False,True,4.2,260
11,Yrogcu,B09RG379BL,False,True,3.9,2828
12,TAMHOO,B09DTG8WDR,False,True,4.4,2725
13,MODRSA,B0B2K2YSND,False,True,4.2,1165
14,ONESING,B09QYR7WY7,False,False,3.9,2354
15,Mudder,B074M6SYN2,False,False,4.3,3883
16,ONESING,B0BZ49GFXF,False,False,4.5,231
17,FANSING,B07JJXNH3V,False,False,4.3,41072
18,Yaoyaoyors,B09TBJBWJ9,False,True,3.9,805
19,D.Bella,B07S9XGR12,False,True,4.2,10528
20,PEAKLINK,B07XKXLQ9H,False,True,4.3,2667
21,ijuerybai,B09VDHHL18,False,True,4.4,1028
22,NewCraft,B08H1XJ4GJ,False,False,4.2,8179
23,Ocptiy,B08ZD58R79,False,False,4.1,329
24,cnomg,B075652DF1,False,False,4.5,5769
25,ONESING,B0B19GRQZB,False,False,4.3,515
26,Xanowan,B087ZN2GGV,False,False,4.2,1301
27,Jolliz,B08YJMWZPH,False,False,3.9,2196
28,Kridzisw,B09HCLN2GK,False,False,4.2,1765
29,MILACOLATO,B097BBTL7G,False,False,4.5,1189
30,LUCKYJEWUS,B09891VNFX,False,False,4.1,1204
31,BLESSMYLOVE,B09WQM81NR,False,False,4.4,1880
32,BLESSMYLOVE,B09SKJWRL2,False,False,4.3,2864
33,D.Bella,B07HC8FTLX,False,False,4.3,4934
34,Ocptiy,B0BDLY18ZG,False,False,4.1,388
35,ORANGELOVE,B07RZKBWMP,False,False,4.3,26326
36,FIRAZIO,B0C6XDRB6D,False,False,3.7,16
37,Incaton,B0B82B8S5J,False,False,4.3,2219
38,ALOME PIERCINGS,B09NNT6L4P,False,False,3.3,1287
39,Lucktree,B09F5JBDZ5,False,False,4.3,2667
40,ZS,B07CZZDJZK,False,False,4.3,7808
41,JFORYOU,B0BHV9GH84,False,False,4.2,260
42,BodyBonita,B0CF59PX2K,False,False,4.5,24
43,ALOME PIERCINGS,B07W8CXD7G,False,False,3.8,4853
44,FANSING,B09NQTQPYL,False,False,4.3,378
45,Jolliz,B085N32GH6,False,False,3.8,551
46,WAINIS,B0BM3K6LGR,False,False,4.4,52
47,Drperfect,B08XZLX6RJ,False,False,4.3,1471
48,FIBO STEEL,B01FX9NC6Q,False,False,4.3,5789
49,ijuerybai,B09VDHHL18,False,False,4.4,1028
50,FINREZIO,B07HNT3DPF,False,False,4.3,7960
51,Sllaiss,B07RRS8VKC,False,False,4.3,2567
52,Tornito,B09BJB6YDZ,False,False,3.9,1254
53,LUCKYJEWUS,B09PMF1H3P,False,False,3.7,5289
54,Prjndjw,B082TW1RC5,False,False,4.3,904
55,Fzroezz,B09TPGZKNC,False,False,3.7,1522
56,ONESING,B087G6YW8R,False,False,4.3,11289
57,AVYRING,B07ZBBGRR7,False,False,4.3,4722
58,Ruifan,B07S93PLF6,False,False,4.5,2791
59,ONESING,B0C5JD1QPF,False,False,4.6,25
