rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Professional Journal, 10.5X7.5 inches, Black, 2-Pack",B07YLTJHH4,True,False,4.7,3366
1,"PAPERAGE Lined Journal Notebook, (Black), 160 Pages, Medium 5.7 inches x 8 inches - 100 gsm Thick Paper, Hardcover",B07L4JCG7T,False,True,4.8,27391
2,"PAPERAGE Lined Spiral Journal Notebook, (Blush), 160 Pages, Medium 5.7 inches x 8 inches - 100 GSM Thick Paper, Hardcover, Double-Wire Spiral Journal & Notebook",B09RG16PP3,False,True,4.7,1155
3,"Black A5 Lined Leather Journal Notebook,Personalized Hardcover Journal Set with Pen & Gift Box,200Pages 100gsm Thick Ruled Paper Daily Diary for Men Women School,Travel,Business,Work,Home Writing",B09F5XQDYJ,False,True,4.7,303
4,"Five Star Spiral Notebook + Study App, 5 Subject, College Ruled Paper, Fights Ink Bleed, Water Resistant Cover, 8-1/2"" x 11"", 200 Sheets, Blue (73635)",B07DPLLXS9,False,False,4.8,26195
5,The Notebook,B003DBOS7Y,False,False,4.8,34187
6,"Five Star Small Spiral Notebook, 2 Subject, College Ruled Paper, 9-1/2"" x 6"", 100 Sheets, Black (72285)",B003OBZFUW,False,False,4.6,3473
7,"Mead Spiral Notebooks, 6 Pack, 1 Subject, College Ruled Paper, 7-1/2"" x 10-1/2"", 70 Sheets per Notebook, Color Will Vary (73065)",B00P9U2EM8,False,False,4.7,14304
8,"Hardcover-Journal-Notebooks, A5 Lined Journals Notebook for Writing 200 Pages, 8.2 x 5.5 inch, Classic Ruled Notebooks for Work/Travel/College (Yellow - 1 Pack)",B0BVG19T6V,False,False,4.7,458
9,"2 Pack College Ruled Notebook, Soft Black Cover Spiral Notebook, Memo Notepad Sketchbook, Students Office Business Diary Spiral Book Journal, 50 Pages, 25 Sheets, 10 x 7.5 Inch",B0C2TFMG1D,False,False,2.4,4
10,"Brown A5 Lined Leather Journal Notebook for Men Women,5.9 X 8.4"" Personalized Hardcover Journal with Pen,200 Pages 100 Gsm Thick Ruled Paper Daily Diary for School,Travel,Business,Work,Home Writing",B0B28NNN7L,False,True,4.6,566
11,"Lined Notebook Journal for Men Women, 368 Pages Thick Journals for Writing, A5 Hardcover Leather Notebook with Pen for Work, Note Taking, School, Daily Diary - College Ruled (5.9''×8.4'')",B0BYVR3Z9Z,False,True,4.7,161
12,"Lined Journal Notebook for Women Men,256 Pages A5 Hardcover Leather Journals for Writing,Travel,Business,Work & School,College Ruled Notebooks for Note Taking, Diary Notepad 5.7""×8.3""(Brown)",B0B4DKQSDV,False,True,4.7,719
13,"RETTACY Large Notebooks College Ruled with 320 Numbered Pages,B5 Lined Journals for Writing with 100GSM Lined Paper,PU Leather,Softcover,Inner Pocket,7.6'' X 10''-GrayBlue",B0B8H3YPRR,False,True,4.7,542
14,"Five Star Spiral Notebook + Study App, 3 Subject, College Ruled Paper, Fights Ink Bleed, Water Resistant Cover, 8-1/2"" x 11"", 150 Sheets, White (72464)",B00JKRKJCS,False,False,4.8,5989
15,The Notebook,B0B8M8B97D,False,False,4.8,34187
16,"Five Star and National Wildlife Federation Spiral Notebook + Study App, 1 Subject, College Ruled Paper, 11"" x 8-1/2"", 80 Sheets, Forest Bear, 1 Count (820088FM)",B0C4FTTYYB,False,False,4.7,36
17,"2 Pack College Ruled Notebook, Soft Yellow Cover Spiral Notebook, Memo Notepad Sketchbook, Students Office Business Diary Spiral Book Journal,100 Pages, 50 Sheets, 7.48 x 5.11 Inch",B09VKM8Q7K,False,False,4.4,667
18,"3 Pack Pocket Notebook Journal - Total 480 Pages Lined Paper, A6 Hardcover Small Notebooks with Pen for Work, Leather Writing Journal for Men Women, 3.7”x 5.7” Mini Notepad & Daily",B0BD4F4NBP,False,True,4.7,505
19,"Lined Journal Notebook, 8.5"" x 11"" Hardcover Leather Notebook for Work, Wide Ruled Notebook Journal for Women Men, 192 Thick Paper, Lay Flat, 2 Pockets, A4 Large Journals for Writing, Black Notebook",B0C3PPLZVJ,False,True,4.8,252
20,"Lined Journal Notebook, 365 Numbered Pages Journals for Writing, B5 Notebooks College Ruled, Hardcover Notebook for Women Men, 5.75"" X 8.38"", Green",B0CC8NMS1N,False,True,4.9,24
