rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Classic Notebook, Line Ruled, 240 Pages, Black, Hardcover, 5 x 8.25-Inch",B01DN8TCEU,True,False,4.7,53607.0
1,"Amazon Basics Professional Journal, 10.5X7.5 inches, Black, 2-Pack",B07YLTJHH4,True,False,4.7,3366.0
2,"Amazon Basics Shagreen Journal, 2-Pack",B07YLTKWBY,True,False,4.7,1415.0
3,"Amazon Aware FSC Certified Kraft paper brown Hardcover Lined Journal Notebook, 6.3"" x 8.5"" x 0.8""",B09T48CFDW,True,False,4.5,166.0
4,"Amazon Basics Bonded Leather Journal, Assorted Colors, 5-Pack",B07YLV7DZ4,True,False,4.4,1095.0
5,"Amazon Basics Steno Books, 6"" x 9"", Gregg Rule, Green Paper, 80 Sheets, 12-Pack",B07TLYTDXF,True,False,4.8,1585.0
6,"Amazon Basics 2020 Daily Planner and Journal, Black, 8.5 Inch x 11 Inch, Soft Cover",B078GTTCCF,True,False,4.2,6350.0
7,"Amazon Basics Wide Ruled Composition Notebook, 100 Sheet, Assorted Solid Colors, 4-Pack",B07D2PTVHR,True,False,4.8,13843.0
8,"Amazon Basics Classic Grid Notebook, 240 Pages, Hardcover - Squared & Classic Lined Notebook, 240 Pages, Hardcover - Ruled",B07W1JC629,True,False,4.5,21.0
9,"Amazon Basics Aluminum Portable Foldable Laptop Support Stand for Laptops up to 13"", Black",B07GFF82DP,True,False,4.5,10951.0
10,Amazon Brand - Solimo Classic Undated Ruled Notebook for Boys & Girls,B0BTT4D1FN,True,False,,
11,Notebook a5 8 Packs,B0BP143PSR,False,False,4.3,64.0
12,"Amazon Basics Quad-Ruled Graph Paper Pad, Pack of 2, 8.5 Inch x 11.75 Inch, White",B07D8SL3LV,True,False,4.6,5944.0
13,"Amazon Basics Narrow Ruled Lined Writing Note Pad, 5 inch x 8 inch, Canary, 12 Count ( 12 Pack of 50 )",B00QSR9BT0,True,False,4.7,98187.0
14,"Kindle Scribe (64 GB) the first Kindle for reading, writing, journaling and sketching - with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",B09BSRTHL7,False,False,4.3,1406.0
15,"Amazon Basics - Hardcover Art Sketchbook L Size 5.25"" x 8.25"", 72 Sheets, Black",B09YVQ2W34,True,False,4.6,218.0
16,"Amazon Basics 3-Ring Binder Plastic Divider Set, 3-Hole Punched Letter Size 8-Tab Dividers, 6 Pack, Assorted Color",B07K8ZNKZ6,True,False,4.7,7535.0
17,"Amazon Basics Quad Ruled Graph Paper Pad, 600 Count, 6 pack of 100 Sheets, White, Letter Size 8.5 x 11-Inch",B086LVP94V,True,False,4.6,2199.0
18,"Amazon Basics Laptop Stand Riser, Portable and Adjustable Stand, for Notebook up to 17 Inch, Silver",B0BLRJ4R8F,True,False,4.5,91.0
19,"Amazon Basics Economy 3 Ring Binder, Showcase View Binder with 3 Inch, D-Ring, 2-Pack, White",B077X9NMRC,True,False,4.7,8896.0
20,"Certified Refurbished Kindle Scribe (64 GB) the first Kindle for reading, writing, journaling and sketching - with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",B09W87V89G,False,False,2.0,1.0
21,"Amazon Basics 3 Ring Paper Binder Dividers With 5 Insertable Multicolor Plastic Tabs, Pack of 6 Sets (30 Count), Wood",B086NBPS73,True,False,4.7,2678.0
22,"Amazon Basics Sketch Pad, 5.5""x8.5"", 67 lb. / 100 gsm, 100 Sheets, White",B08KSKFHT8,True,False,4.7,1589.0
23,"Amazon Basics Binder Organizer Poly Jacket, 3 Hole Punch, Assorted Colors, Pack of 25",B07K8XZZ95,True,False,4.7,3038.0
24,"Amazon Basics 3-Ring Binder, 1-Inch - White, 4-Pack",B01BRGTWOA,True,False,4.7,19691.0
25,"Amazon Basics 12 Tab Monthly Dividers for 3 Ring Binder, Customizable Table of Contents Page, Multicolor, 10-Pack",B07VZND8TC,True,False,4.8,1552.0
26,"Amazon Basics Money and Rent Receipt Book, 3-Part Carbonless, 100 Sets per Book",B09H7KC9KD,True,False,4.7,579.0
27,"Amazon Basics Professional Padfolio, A4",B0879Y1J7S,True,False,4.5,295.0
28,"Amazon Basics Square Sticky Notes, 3 x 3-Inch, Assorted Colors, 24-Pack",B0BH9C7QXK,True,False,4.5,192.0
29,"Amazon Basics 8-Tab Binder Divider, White Label Dividers with Easy Peel, 4-Pack",B0879XR5KJ,True,False,4.7,1853.0
30,"Amazon Fire 7 Kids Tablet (2022) - ages 3-7. 2 year worry-free guarantee, 10-hr battery, ad-free content, parental controls, durable high-res screen, kid-proof case with kickstand, 16 GB, Blue",B0BLBLRLJB,False,False,4.5,11519.0
31,"Amazon Basics Metal Clipboard with 2 Compartments and Interior 250 Sheet Paper Storage, 14.09 x 9.21 x 2.6 Inches, letter size, Silver",B07GS7SNCG,True,False,4.5,9274.0
32,"Amazon Basics Lined Sticky Notes, 4 x 6-Inch, Assorted Colors, 5-Pack",B0BH9DPR6C,True,False,4.6,144.0
