rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"OUAI Medium Shampoo + Conditioner Set - Nourishes with Babassu and Coconut Oils, Strengthens with Keratin & Adds Shine with Kumquat Extract - Free of Parabens, Sulfates & Phthalates - 10 fl oz Each",B08SYKL11M,False,True,4.4,2353
1,Olaplex No. 5 Bond Maintenance Conditioner,B08T47QVNR,False,False,4.6,65498
2,Olaplex Strong Days Ahead Hair Kit,B0CF2SMSFM,False,False,4.8,18
3,Olaplex No. 4 Bond Maintenance Shampoo,B07D37PQGL,False,False,4.7,67568
4,"Olaplex No. 5 Bond Maintenance Conditioner, 1L",B0BDBRK1B6,False,False,4.8,570
5,"Olaplex No. 4P Blonde Enhancing Toning Shampoo, 8.5 Fl Oz",B09FYK7FKR,False,False,4.6,6684
6,"Olaplex No. 4 Bond Maintenance Shampoo, 1L",B0BDBL9LVF,False,False,4.8,632
7,Olaplex Strong Start Hair Kit: Repair & Style,B0C442QKW9,False,False,4.5,345
8,"Olaplex No.7 Bonding Oil, 30 ml",B07VR1NDSQ,False,False,4.7,43037
9,Olaplex Hair Perfector No 3 Repairing Treatment,B00SNM5US4,False,False,4.6,120761
10,"Olaplex No 6 Bond Smoother, 3.3 Fl Oz",B07PW4MTHV,False,False,4.7,45223
11,Olaplex No. 5P Blonde Enhancer™ Toning Conditioner 250ml,B0CGFYR4JQ,False,False,4.6,17
12,"Olaplex No. 4C Bond Maintenance Clarifying Shampoo, 250 milliliters",B0B4BG3HPM,False,False,4.6,908
13,Olaplex No. 8 Bond Intense Moisture Mask,B092DNPHC9,False,False,4.7,10493
14,"Olaplex No.0 Intensive Bond Building Treatment, White, 5.2 Fl Oz",B08HTNRZMH,False,False,4.5,17756
15,"OUAI Medium Shampoo + Conditioner Set - Nourishes with Babassu and Coconut Oils, Strengthens with Keratin & Adds Shine with Kumquat Extract - Free of Parabens, Sulfates & Phthalates - 10 fl oz Each",B08SYKL11M,False,False,4.4,2353
16,"Olaplex No. 4 Bond Maintenance Shampoo, 1L",B0BDBL9LVF,False,True,4.8,632
17,"Olaplex No. 4P Blonde Enhancing Toning Shampoo, 8.5 Fl Oz",B09FYK7FKR,False,True,4.6,6684
18,"OGX Thick & Full + Biotin & Collagen Extra Strength Volumizing Shampoo + Conditioner with Vitamin B7 & Hydrolyzed Wheat Protein for Fine Hair, 13 fl oz, Pack of 2",B0BYFC84B2,False,True,4.2,186
19,Ghost Shampoo & Conditioner Duo,B0C11VYYWZ,False,True,4.4,3244
20,Olaplex Volumizing Blow Dry Mist,B0C6VQBFTC,False,False,4.3,104
21,Olaplex Unbreakable Blondes Mini Kit,B0BWQ24RFK,False,False,4.4,115
22,Olaplex No. 9 Bond Protector Nourishing Hair Serum,B09XBZMG71,False,False,4.6,3577
23,"Olaplex No. 3, 8.5 Fl Oz",B0872RL24B,False,False,4.6,1240
