rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Revly Super Omega-3 Wild-Caught Fish Oil with Natural Lemon Flavor - EPA, DHA Omega 3-Fatty Acids - 90 Softgels (1280 mg per serving, 2 Softgels)",B07DR4C811,True,False,4.5,5761
1,"Amazon Basics Fish Oil 303 mg, Lemon, Orange & Strawberry-Banana flavors, 90 Gummies (2 per Serving), EPA and DHA Omega-3 fatty acids (Previously Solimo)",B07BBNGPG2,True,False,4.6,5182
2,"365 Everyday Value, Omega-3, Lemon Flavor, 180 ct",B077P74H69,True,False,4.5,77
3,"Whole Foods Market, Omega-3, 8 fl oz",B07JYRM6G2,True,False,5.0,8
4,"Amazon Elements Super Omega-3, Natural Lemon Flavor, 1280 mg per Serving (2 Softgels), 120 Softgels & B Complex, High Potency, 83% Whole Food Cultured, Vegan, 65 Capsules, 2 Month Supply",B083VBKFTM,True,False,4.7,43
5,"Amazon Elements Super Omega-3, Natural Lemon Flavor, 1280 mg per Serving (2 Softgels), 120 Softgels & Vitamin D3, 5000 IU, 180 Softgels, 6 Month Supply",B083VBGPXH,True,False,4.6,58
6,"Amazon Elements Super Omega-3 with Natural Lemon Flavor, EPA & DHA Omega-3 fatty acids, 120 Count (1280 mg per serving, 2 Softgels) (Packaging may vary)",B07BFSJLKX,True,False,4.6,4435
7,"365 by Whole Foods Market, Omega 3 Lemon Flavored, 90 Softgels",B074H77Y98,True,False,4.6,660
8,"Whole Foods Market, Super Omega 3, Natural Lemon Flavor, 90 ct",B074H5Z5VP,True,False,4.7,83
9,"365 by Whole Foods Market, Omega 3 Lemon Flavored, 180 Softgels",B074KLCGC5,True,False,4.6,101
10,"365 by Whole Foods Market, Oil Fish 1000 Mg, 100 Softgels",B074H7KL1D,True,False,4.7,1075
11,"Whole Foods Market, OmegaForce 3-6-9 Complex, 120 ct",B074KL48WF,True,False,4.5,51
12,"365 by Whole Foods Market, Fish Oil 1000 Mg Softgels, 250 Count",B00B8BVM34,True,False,4.7,317
13,"Whole Foods Market, Super Omega + CoQ10, 60 ct",B074H732P3,True,False,4.6,124
14,"365 by Whole Foods Market, Supplements - EFAs, Fish Oil (100% Wild Caught), 100 Count",B074MHYS23,True,False,4.7,77
15,"365 by Whole Foods Market, Cod Liver Oil Norwegian 1000Mg, 180 Softgels",B074KHZHVK,True,False,4.7,330
16,"365 by Whole Foods Market, Omega 3 Fruit Flavors Gummy, 120 Count",B074H5LWQM,True,False,4.6,241
