rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Antarctic Krill Oil 2000mg Supplement, 240 Softgels, 3X Strength Natural Source of Omega-3s, EPA 240mg + DHA 160mg + Astaxanthin 800mcg – No Fishy Aftertaste – Mercury Free & Non-GMO",B0BSP5TBP3,False,True,4.6,236
1,"Thorne Omega Plus - an Essential Fatty Acid Supplement with Omega-3 and Omega-6 - EPA, DHA, and GLA - 90 Gelcaps",B000FH13L8,False,True,4.7,507
2,"NatureWise High-Potency 1000mg Omega 3 with 600mg EPA, 400mg DHA, & Vitamin E - Supplement for Heart, Brain, Eye, Joint, Bone & Immune Support for Men & Women, 60ct - 30 Day Supply",B0C5F59RWG,False,True,4.4,9
3,"Qunol Fish Oil Omega 3 Mini Softgels, Qunol 1000mg Omega 3 EPA + DHA, Ultra Pure Supplements, Heart Health Support, Lemon Flavor, Easy to Swallow Minis, 3 Month Supply, 180 Count",B0B523YQS7,False,True,4.6,928
4,"NOW Supplements, Omega-3 180 EPA / 120 DHA, Molecularly Distilled, Cardiovascular Support*, 200 Softgels",B001GCU6KA,False,False,4.7,11483
5,"Nature Made Fish Oil 1000 mg Softgels, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support with 90 Softgels, 45 Day Supply",B00YMSLAW8,False,False,4.7,38899
6,"Nature Made Fish Oil 1200 mg Softgels, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support, Omega 3 Supplement with 100 Softgels, 50 Day Supply",B0000DJAQU,False,False,4.7,43515
7,"Nordic Naturals Ultimate Omega, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil Supplement with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 45 Servings",B0739KKHWL,False,False,4.7,47617
8,"Sports Research Triple Strength Omega 3 Fish Oil - Burpless Fish Oil Supplement w/EPA & DHA Fatty Acids from Wild Alaskan Pollock - Heart, Brain & Immune Support for Men & Women - 1250 mg, 90 ct",B07DX89ZHN,False,False,4.7,38187
9,"Arazo Nutrition Wild Caught Omega 3 Fish Oil – 120 Soft Gels – 4,080mg High EPA 1200mg DHA 900mg Lemon Flavor Burpless Softgels",B01GV4O37E,False,False,4.6,28093
10,"Omega 3 Fish Oil 4,200mg, 180 Burpless Softgels, Highly Purified EPA 1,200mg & DHA 900mg | Lemon Flavored | Premium Wild Caught Fish from Deep Sea – Heart & Brain Support – Mercury Free & Non-GMO",B0BSP4P38R,False,True,4.5,296
11,"Micro Ingredients Antarctic Krill Oil Supplement, 2,000mg Per Serving, 240 Softgels, Triple Strength, Rich in Omega-3s EPA, DHA & Natural Astaxanthin, Supports Immune System & Brain Health",B0C35GYDV3,False,True,4.6,27
12,"Triple Strength Omega 3 Fish Oil Supplements 3000mg, 200 Softgels - Lemon Flavored - Burpless (Enteric-Coated) | EPA 1200mg + DHA 900mg | Deep Sea Fish, Wild Caught from Norwegian Waters",B07L45XQBR,False,True,4.6,7075
13,"Dr. Berg Cod Liver Oil Capsules - New Formula Without OxBile - Rich in Omega-3 Fatty Acids (DHA & EPA), Vitamins A & D - No Smells or Bad Aftertaste - 90 Capsules",B0BYQHLLV5,False,True,4.5,1919
14,"NOW Supplements, Ultra Omega-3 Molecularly Distilled and Enteric Coated, 180 Softgels",B000SE5SY6,False,False,4.8,2888
15,"Nature's Bounty Fish Oil, Supports Heart Health, 1200 Mg, Rapid Release Softgels, 200 Ct",B000NPYY04,False,False,4.7,61237
16,"Nature Made Algae 540 mg Omega 3 Supplement, Alternative to Omega 3 Fish Oil Supplements, 70 Veggie Softgels, Sustainable, Plant-Based, for Healthy Heart, Brain, and Eye Support",B08BVD6SH5,False,False,4.6,1020
17,"NOW Supplements, Omega-3 180 EPA / 120 DHA, Molecularly Distilled, Cardiovascular Support*, 200-Fish Gelatin Softgels,Packaging may vary",B07XRF319J,False,False,4.7,2571
18,"Omega 3 Fish Oil Supplement - 1200mg EPA and 900mg DHA Fatty Acid Per Serving from Wild Caught Fish - Supports Joint, Eyes, Brain & Skin Health - Burpless Lemon Flavor, Gluten-Free, 90 Softgels",B0747G31KF,False,True,4.6,10388
19,"Ultra Omega 3-6-9 3600mg Perserv, 300 Burpless Softgels | Lemon Flavor – Blend of Fish, Flaxseed, Borage Oils | Bioavailable Source, Non-GMO, No Gluten, Mercury Free",B07RD8T952,False,True,4.6,1404
20,Triple Strength Omega 3 Fish Oil Supplements - Re-Esterified Triglyceride for Increased Absorption - Omega 3 Fatty Acids Including EPA DHA - Support Heart and Brain Health - 180 Softgels,B014LDT0ZM,False,True,4.6,9846
21,"Nutricost Omega 3 Fish Oil - 2500MG, 120 Softgels (40 Serv) - Triple-Strength Fish Oil, Wild Caught! 1200mg EPA 910mg DHA - Non-GMO, Gluten Free",B098KLWZHN,False,True,4.6,249
22,Now Foods - Ultra Omega-3 500 EPA/250 DHA - 180 Softgels,B00DUMJ5T2,False,False,4.8,2634
23,"Nature's Bounty Fish Oil 1200 mg, Twin Pack, Supports Heart Health With Omega 3 EPA & DHA, 360 Rapid Release Softgels",B004JO5KYO,False,False,4.7,24904
24,"Life Extension Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract - Omega 3 Supplement - For Heart Health and Brain Support - Gluten Free, Non-GMO - 240 Easy-to-swallow Softgels",B006P4B43W,False,False,4.6,2758
25,"Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract - For Heart & Brain Health – For Inflammation & Cholesterol Management – Gluten-Free, Non-GMO – Lemon Flavor 120 Softgels",B002HIHZ6A,False,False,4.5,1322
26,"NatureWise High-Potency 1000mg Omega 3 with 600mg EPA, 400mg DHA, & Vitamin E - Supplement for Heart, Brain, Eye, Joint, Bone & Immune Support for Men & Women, 60ct - 30 Day Supply",B0C5F59RWG,False,False,4.4,9
27,"Nature Made Burp Less Ultra Omega 3 Fish Oil Supplements 1400 mg, Omega 3 Supplement for Healthy Heart, Brain and Eyes Support, One Per Day, 90 Softgels",B00DS5BI78,False,False,4.7,43515
28,"Solgar Omega-3 Fish Oil Concentrate, 240 Softgels - Support for Cardiovascular, Joint & Brain Health - Contains EPA & DHA Fatty Acids - Non GMO, Gluten/ Dairy Free - 120 Servings",B003CW9W8E,False,False,4.7,3172
29,"Vitafusion Omega-3 Gummy Vitamins, Berry Lemonade Flavored, Heart Health Vitamins(1) With Omega 3 EPA/DHA and Vitamins A, C, D and E, America’s Number 1 Gummy Vitamin Brand, 60 Day Supply, 120 Count",B005D0DSLA,False,False,4.6,10081
30,"Nature Made Triple Omega 3 6 9, Fish Oil as Ethyl Esters and Plant-Based Oils, Healthy Heart Support, 150 Softgels, 50 Day Supply",B003PGJM00,False,False,4.7,7530
31,"SOLGAR Triple Strength Omega 3 950 mg - 100 Softgels, Pack of 2 - Supports Cardiovascular, Joint & Skin Health - Non-GMO, Gluten Free, Dairy Free - 200 Total Servings",B00MDNDBSK,False,False,4.8,266
32,"Now Foods, (3 Pack) Ultra Omega-3, 500 EPA/250 DHA, 180 Softgels, Now Foods",B017F7P19U,False,False,4.8,494
33,"Nordic Naturals Omega-3, Lemon Flavor - 120 Soft Gels - 690 mg Omega-3 - Fish Oil - EPA & DHA - Immune Support, Brain & Heart Health, Optimal Wellness - Non-GMO - 60 Servings",B002CQU53W,False,False,4.7,2142
34,"Thorne Omega Plus - an Essential Fatty Acid Supplement with Omega-3 and Omega-6 - EPA, DHA, and GLA - 90 Gelcaps",B000FH13L8,False,False,4.7,507
35,"Nordic Naturals Omega-3, Lemon Flavor - 180 Soft Gels - 690 mg Omega-3 - Fish Oil - EPA & DHA - Immune Support, Brain & Heart Health, Optimal Wellness - Non-GMO - 90 Servings",B002CQU55K,False,False,4.7,7209
36,"Triple Strength Omega 3 Fish Oil Supplements 3000mg, 200 Softgels - Lemon Flavored - Burpless (Enteric-Coated) | EPA 1200mg + DHA 900mg | Deep Sea Fish, Wild Caught from Norwegian Waters",B07L45XQBR,False,False,4.6,7075
37,"Qunol Fish Oil Omega 3 Mini Softgels, Qunol 1000mg Omega 3 EPA + DHA, Ultra Pure Supplements, Heart Health Support, Lemon Flavor, Easy to Swallow Minis, 3 Month Supply, 180 Count",B0B523YQS7,False,False,4.6,928
38,"Amazon Elements Super Omega-3 with Natural Lemon Flavor, EPA & DHA Omega-3 fatty acids, 120 Count (1280 mg per serving, 2 Softgels) (Packaging may vary)",B07BFSJLKX,True,False,4.6,4435
39,"Metagenics OmegaGenics EPA-DHA 720mg - Daily Omega 3 Fish Oil Supplement to Support Cardiovascular, Musculoskeletal and Immune System Health - 120 Count",B001HJYUDG,False,False,4.7,1727
