rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basic Care Omeprazole Delayed Release Tablets 20 mg, Treats Frequent Heartburn, Acid Reducer, Heartburn Medicine, 42 Count (Pack of 1)",B074F1RWV9,True,False,4.8,45299.0
1,OME-Praz 20 mg 300 Capsules,B0C9M9458W,False,True,4.4,16.0
2,"Ohm Omeprazole Tablets, Delayed-Release Tablets, 20mg Acid Reducer, 42 Tablets",B08F72WMNQ,False,True,4.8,8977.0
3,"HealthCareAisle Omeprazole 20 mg, 42 Delayed-Release Capsules - Acid Reducer, Treats Frequent Heartburn, 42 Count (Pack of 1)",B07HD643KR,False,False,4.8,7151.0
4,"Amazon Basic Care Omeprazole Delayed Release Tablets 20 mg, Treats Frequent Heartburn, Acid Reducer, Heartburn Medicine, 42 Count (Pack of 1)",B074F1RWV9,True,False,4.8,45299.0
5,"Ohm Omeprazole Tablets, Delayed-Release Tablets, 20mg Acid Reducer, 42 Tablets",B08F72WMNQ,False,False,4.8,8977.0
6,"GoodSense Omeprazole Delayed Release Tablets 20 mg, Stomach Acid Reducer for Frequent Heartburn Treatment, 14 Count (Pack of 3)",B01M7565RL,False,False,4.8,10643.0
7,"Amazon Basic Care Omeprazole Delayed Release Mini Capsules 20 mg, Acid Reducer, Treats Frequent Heartburn, 24HR, 42 Count",B0BGL54P2M,True,False,4.8,105.0
8,"Amazon Basic Care Omeprazole Delayed Release Tablets 20 mg, Acid Reducer, Wildberry Mint Coated Tablet, Heartburn Medicine, 42 Count",B074F2TF71,True,False,4.8,9100.0
9,"Omeprazole 84 Capsules, 20 mg | Prevents and Relieves Heartburn | Delayed Release Acid Reducer Medicine",B0CGP6GJBW,False,False,3.2,9.0
10,Curist Omeprazole 20mg Tablets - 42 Count Delayed-Release Tablets - Acid Reflux Medicine for Heartburn Relief,B09XC6V9SW,False,False,4.8,1184.0
11,"Rite Aid Acid Reducer Omeprazole Delayed Release Tablets - 20 mg, 3 Bottles, 14 Count Each (42 Count Total) - Heartburn Relief - Heartburn Medicine - Treats Frequent Heartburn",B07NVVQ8K4,False,False,4.8,6846.0
12,"Tablets Omeprazole 20mg Acid Reducer for Heartburn, (14 Tablets/Bottle) One 3-Pack Carton for Three 14-Day Courses, Delayed-Release Tablets (42ct (1 Pack))",B08HGTVKNJ,False,False,4.8,7379.0
13,"GoodSense Omeprazole Delayed Release Tablets 20 mg, Acid Reducer, Treats Heartburn, 42 Count (Pack of 2)",B08DPVCSDW,False,False,4.8,1768.0
14,"GoodSense Omeprazole, Compare to Prilosec, Delayed Release Tablets 20 mg, Acid Reducer, Wildberry Mint Coated Tablet, 42 Count",B01LMOBDG2,False,False,4.8,8543.0
15,"Ohm Omeprazole Tablets, Delayed-Release Tablets, 20mg Acid Reducer, 28 Tablets",B0BNJW67RD,False,False,4.8,147.0
16,"Amazon Basic Care Omeprazole Delayed Release Tablets 20 mg, Acid Reducer, 14 Count",B074F2WCMQ,True,False,4.8,3567.0
17,"Kirkland Signature Acid Controller 20 mg, 125 Ct (2 Pack) Bundle with Exclusive ""Say NO to Indigestion and Heartburn"" - Better Idea Guide (3 Items)",B0BKQWWMQY,False,True,4.1,54.0
18,Omeprazole 20mg Delayed Release Acid Reducer Tablet (42 Count),B0B3JTML85,False,True,4.5,501.0
19,"Amazon Basic Care Omeprazole Delayed Release Tablets 20 mg, Acid Reducer, 14 Count",B074F2WCMQ,True,False,4.8,3567.0
