rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Oral-B Genius X Limited, Electric Toothbrush with Artificial Intelligence, 1 Replacement Brush Head, 1 Travel Case, Midnight Black",B084PPRXB5,False,True,4.5,7522
1,"Oral-B iO Series 3 Limited Rechargeable Electric Powered Toothbrush, Black with 2 Brush Heads and Travel Case - Visible Pressure Sensor to Protect Gums - 3 Modes - 2 Minute Timer",B0B5HRWH1S,False,True,4.6,1585
2,"Oral-B iO Series 5 Limited Rechargeable Electric Powered Toothbrush, Black with 3 Brush Heads and Travel Case - Visible Pressure Sensor to Protect Gums - 5 Cleaning Modes - 2 Minute Timer",B0B5HVM6JX,False,True,4.6,274
3,"Aquasonic Black Series Ultra Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Electric Motor & Wireless Charging - 4 Modes w Smart Timer",B072YVWBXH,False,True,4.6,101558
4,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, White",B003UKM9CO,False,False,4.6,129842
5,"Oral-B Smart 1500 Rechargeable Electric Powered Toothbrush, White with Visible Pressure Sensor to Protect Gums - 3 Modes - 2 Minute Timer – Deep Cleans",B075CPK9RX,False,False,4.6,10994
6,"Oral-B 3D White Battery Powered Electric Toothbrush, 1 Count (Colors and Packaging May Vary)",B008I2IKI6,False,False,4.5,29085
7,"Oral-B Pro 500 Electric Toothbrush with (1) Brush Head, Rechargeable, Black",B0B6MDLZTN,False,False,4.4,258
8,"Oral-B Pro-Health Clinical Battery Power Electric Toothbrush, 1 Count (Pack of 1) (Colors May Vary)",B002HWS9FW,False,False,4.4,17168
9,"Oral-B Vitality FlossAction Electric Toothbrush with Replacement Brush Head, Black",B07Y45NJ83,False,False,4.6,18562
10,"Bitvae R2 Rotating Electric Toothbrush for Adults with 8 Brush Heads, Travel Case, 5 Modes Rechargeable Power Toothbrush with Pressure Sensor, 3 Hours Fast Charge for 30 Days, Black",B0BMGD4Y1N,False,True,4.4,2031
11,AquaSonic Home Dental Center PRO – Brushing & Flossing Made Easy – Brush & Floss – Power Toothbrush & Water Flosser – Whiter Teeth & Healthier Gums – Black Series Pro+Oral Irrigator – ADA Approved,B09N52421L,False,True,4.2,2126
12,Aquasonic Black Series PRO – Ultra Whitening Power Toothbrush – 4 Modes & Smart Timers – UV Sanitizing base & Charging Travel Case– ADA Approved,B0992MWNWL,False,True,4.6,2393
13,"Oral-B 7500 Electric Toothbrush with Replacement Brush Heads and Travel Case, Black",B076MXM7N9,False,True,4.7,7972
14,"Oral-B iO Series 3 Limited Rechargeable Electric Powered Toothbrush, Black with 2 Brush Heads and Travel Case - Visible Pressure Sensor to Protect Gums - 3 Modes - 2 Minute Timer",B0B5HRWH1S,False,False,4.6,1585
15,"Oral-B Pro 5000 Smartseries Power Rechargeable Electric Toothbrush with Bluetooth Connectivity, White Edition",B00O8ODHOA,False,False,4.6,11988
16,"Oral-B Smart 1500 Electric Power Rechargeable Battery Toothbrush, Black",B08MMD67BR,False,False,4.6,4447
17,Oral-B Battery Toothbrush Gum Care,B07C3P8YVT,False,False,4.6,577
