rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Replacement Toothbrush Heads Compatible with Oral-B Braun, 20 Pcs Professional Electric Toothbrush Heads Brush Heads for Oral B Replacement Heads Refill Pro 500/1000/1500/3000/3757/5000/7000/7500/8000",B00RCK2JAU,False,True,4.6,6704
1,Electric Toothbrush Replacement Heads 16 Pack / Compatible Oral B Braun Replacement Brush Heads,B0749MNW3N,False,True,4.5,11315
2,"Replacement Toothbrush Heads for Oral B Braun(Individually Packaged),8 Pack Professional Electric Toothbrush Heads Compatible with Oral B 7000/Pro 1000/9600/ 5000/3000/8000 (8 Count)",B0C7BYQBP8,False,True,4.3,111
3,Replacement Brush Heads for Oral B- Pack of 4 Cross Generic Electric Toothbrush Heads for Oralb Braun- Crossact Toothbrushes Compatible with Most Oral-B Bases- Quality Action Bristles,B01KA3W0YA,False,True,4.4,4171
4,Oral-B Cross Action Electric Toothbrush Replacement Brush Heads Refill with Clean Maximiser Technology 4Count,B09HL5YSHG,False,False,4.8,1277
5,"Genuine Original Oral-B Braun Precision Clean Replacement Rechargeable Toothbrush Heads (10 Count) - International Version, German Packaging",B01DOZRZHI,False,False,4.8,12858
6,"Oral-B FlossAction Electric Toothbrush Replacement Brush Heads Refills, 5 Count",B07Y8YPMCV,False,False,4.7,27289
7,"Oral-B Sensitive Gum Care Electric Toothbrush Replacement Brush Heads, 5 Count",B07Y8XDB1P,False,False,4.8,11718
8,Braun Oral-B Cross Action Replacement Toothbrush Heads,B00L5M26DQ,False,False,4.8,4230
9,"Oral-B Dual Clean Replacement Electric Toothbrush Brush Heads, 3 Count",B0002KHU3I,False,False,4.7,14407
10,"Amazon Basics Flossing Replacement Brush Heads, 3 Count, White (Fits most Oral-B Electric Toothbrushes) (Previously Solimo)",B08QWZ6SK4,True,False,4.4,660
11,"16pcs Replacement Brush Heads Compatible with Oral B Electric Toothbrushes. Pack of 4 Precision Clean,4 Cross Clean,4 3D Whitening Clean and 4 Sensitive Clean.",B07V2KSZTL,False,True,4.4,3402
12,"Replacement Brush Heads Compatible with Oral B- Double Clean Design, Double Clean Brush Heads, Compatible with Braun Oral-B Dual Clean Electric Toothbrush - Pack of 4",B093CZPFKP,False,True,4.4,1388
13,8 Pack Sensitive Gum Care Replacement Brush Heads Compatible with Oral B Electric Toothbrush. Soft Bristle for Superior and Gentle Clean,B07M8W7M3P,False,True,4.3,4594
14,"Oral-B Cross Action Electric Toothbrush Head with CleanMaximiser Technology, Angled Bristles for Deeper Plaque Removal, Pack of 6 Toothbrush Heads, White",B08QWY2FCR,False,False,4.8,1799
15,"Oral-B FlossAction Electric Toothbrush Replacement Brush Heads Refill, 3ct, Black",B000AUIFCA,False,False,4.7,8922
16,"Oral-B Gum Care Electric Toothbrush Replacement Brush Heads, 3 Count",B07DWX5S2X,False,False,4.8,1515
17,"Oral-B Sensitive Gum Care Electric Toothbrush Replacement Brush Heads Refill, 3 Count",B00006ANDK,False,False,4.8,22659
18,"16 Count Replacement Brush Heads Compatible with Braun Oral B Electric Toothbrush, Deep and Precise Cleaning.",B07917WXR9,False,True,4.4,3640
19,"8 Pack 3D Whitening Replacement Toothbrush Heads, Compatible with Braun Oral B Electric Toothbrush Pro500/100/1500/3000/Genius7500/7000/9600/8000, Etc.",B08C2CXGMC,False,True,4.2,566
20,"8 Pack Charcoal Brush Heads Compatible with Oral B Electric Toothbrush, Making with Active Charcoal Bristles, Black",B083RRGJJ2,False,True,4.2,2142
21,"Toothbrush Replacement Heads Refill for Oral-B Electric Toothbrush Pro 1000 Pro 3000 Pro 5000 Pro 7000 Vitality Floss Action,8 Count with Covers",B08KXZ26VK,False,True,4.5,2076
22,Oral-B Precision Clean Replacement Heads with Cleanmaximiser Technology,B089KX5L3Y,False,False,4.8,23587
23,"Oral-B iO Ultimate Clean Electric Toothbrush Head, Twisted & Angled Bristles for Deeper Plaque Removal, Pack of 4, Black",B089TP5N63,False,False,4.8,18215
24,"Oral-B iO Ultimate Clean Replacement Brush Heads, Black, 2 Count",B088CH8J8Y,False,False,4.8,3530
25,"Oral-B Deep Clean Battery Powered Toothbrush Replacement Brush Heads Refill, Soft, 2 Count",B003UBTYKI,False,False,4.8,10879
26,"16pcs Replacement Brush Heads Compatible with Oral B Electric Toothbrushes. Pack of 4 Precision Clean,4 Cross Clean,4 3D Whitening Clean and 4 Sensitive Clean.",B07V2KSZTL,False,False,4.4,3402
27,Oral-B Cross Action Refills Heads Pack,B086TX9BWR,False,False,4.7,12988
28,3D White Electric Toothbrush Replacement Heads Refill by Oral B Genuine Braun Refill (4 Heads),B07MMQPZLQ,False,False,4.7,1873
29,Electric Toothbrush Replacement Heads 16 Pack / Compatible Oral B Braun Replacement Brush Heads,B0749MNW3N,False,False,4.5,11315
30,"Replacement Toothbrush Heads Compatible Oral B Braun, 4 Pack Professional Electric Toothbrush Heads Sensitive Clean Brush Heads Refill for Oral-B 7000/Pro 1000/9600/ 500/3000/8000 (4 pack)",B07T7MNJLS,False,False,4.4,31656
31,"Replacement Toothbrush Heads Compatible with Oral-B Braun, 20 Pcs Professional Electric Toothbrush Heads Brush Heads for Oral B Replacement Heads Refill Pro 500/1000/1500/3000/3757/5000/7000/7500/8000",B00RCK2JAU,False,False,4.6,6704
32,"Replacement Toothbrush Heads for Oral-B, 4 Pack Replacement Heads Compatible with Oral B Braun Electric Toothbrush (4 Pack)",B07PTYBDX6,False,False,4.4,10313
33,"Oral-B 3D White Battery Power Toothbrush Replacement Heads, 2 Count",B009G4C0FY,False,False,4.8,5778
34,Replacement Brush Heads for Oral B- Pack of 4 Cross Generic Electric Toothbrush Heads for Oralb Braun- Crossact Toothbrushes Compatible with Most Oral-B Bases- Quality Action Bristles,B01KA3W0YA,False,False,4.4,4171
35,Oral-B Precision Clean Toothbrush Heads Pack of 8 Replacement Refills for Electric Rechargeable Toothbrush,B0725FQ5WX,False,False,4.7,790
36,"Oral-B Genuine Precision Clean Replacement White Toothbrush Heads, Refills for Electric Toothbrush, Deep and Precise Cleaning, Pack of 4",B003U9V7N2,False,False,4.7,17598
37,"Toothbrush Replacement Heads Refill for Oral-B Electric Toothbrush Pro 1000 Pro 3000 Pro 5000 Pro 7000 Vitality Floss Action,8 Count with Covers",B08KXZ26VK,False,False,4.5,2076
38,Oral-B PrecisionClean Electric Toothbrush Replacement Heads Powered by Braun - Pack of 12,B01EY8LKS4,False,False,4.8,5478
39,"Oral-B Clic Toothbrush Ultimate Clean Replacement Brush Heads, Black, 2 Count",B09KP3HW8J,False,False,4.8,1828
40,"KHBD 16 Pack Replacement Heads for Braun Oral B Electric Toothbrush Handles- Includes 4 Sensitive Brush, 4 Precision Brush, 4 Deep Cleaning, 4 Floss Clean Brush Heads",B07S9YG1XT,False,False,4.5,2533
41,"Replacement Toothbrush Heads for Oral B Braun, 8 Pack Professional Electric Toothbrush Heads, Precision Clean Brush Heads Refill Compatible with Oral-B 7000/Pro 1000/9600/ 5000/3000/8000 (8pack)",B08D8WKRF6,False,False,4.3,13989
42,"Toothbrush Heads for Oral B, 12 Pack Professional Electric Toothbrush Replacement Heads Medium Dupont Bristles Replacement Toothbrush Heads Assorted Floss Cross & Whitening Styles Brush Heads Refills",B01F61157O,False,False,4.5,13108
43,"Oral-B iO Ultimate Clean Electric Toothbrush Head, Twisted & Angled Bristles for Deeper Plaque Removal, Pack of 2, Black",B089TQLLCQ,False,False,4.8,1641
44,"Oral-B iO Gentle Care Electric Toothbrush Head, Twisted & Angled Bristles for Deeper Plaque Removal, Pack of 4, Suitable for Mailbox, White",B089F523M8,False,False,4.8,4455
45,"Toothbrush Heads for Oral B, 8 Pack Professional Electric Toothbrush Replacement Heads Medium Soft Dupont Bristles Replacement Toothbrush Heads Precision Clean Brush Heads Refills",B09YL55V38,False,False,4.5,3286
46,"Braun Oral-B 3D White Electric Toothbrush Replacement Brush Heads Refill, 4 pk",B018LT0LRS,False,False,4.8,4448
47,Sensitive Replacement Electric Replacement Toothbrush Heads (4 Count) Dual Clean Rotating Sets Compatible with Braun Oral B Cross Action Power,B086XBCFHM,False,False,4.3,2702
48,"Best Replacement Toothbrush Heads for Oral-B,Compatible with Oral-B Braun Electric Toothbrush, 4 Count",B07CXNM5X2,False,False,4.4,2909
