rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,HGDEER,B0BQ2CQT4V,False,False,4.7,243
1,MoFiz,B096TM5ZWT,False,False,4.3,5577
2,Latino World Order outfits,B0CC3S3T4P,False,False,5.0,1
3,Angel Lawson,B09WJGN95W,False,False,4.4,1355
4,Playtex,B00551OP0A,False,False,4.2,71294
5,USPS,B008ZOEZHW,False,False,4.7,2728
6,Planters,B004M15U12,False,False,4.7,75279
7,Elefor,B09JBCSC7H,False,False,4.5,16737
8,"Product Concept Mfg., Inc.",B0716Z62GZ,False,False,4.4,10487
9,Poise,B01NAX7KC7,False,False,4.6,10471
10,NexiEpoch,B0B8HTJ27T,False,False,4.3,1316
11,BESTENA,B07DGPXN5S,False,False,4.0,30511
12,NORPERWIS,B07DZG2YNQ,False,False,4.5,30657
13,Simply Nature's Promise,B09QRNVJV3,False,False,4.2,8329
14,JUST MY SIZE,B016LJ6XOK,False,False,4.3,16003
15,Clean Nutraceuticals,B0B3GBJJGW,False,False,4.4,3578
16,Moyabo,B07LG9T8TC,False,False,4.2,15474
17,Bounty,B079VP6DH6,False,False,4.8,77508
18,Dokotoo,B08ZDD4CZQ,False,False,3.8,5692
19,CoolShields,B096ZKNQ19,False,False,4.8,4463
20,Poise,B0154QEQ4K,False,False,4.6,17633
21,Warner's,B076DMH5HH,False,False,4.4,20508
22,Romeda,B0BX8HG339,False,False,4.8,100
23,VOLTAREN,B084ZN7TVV,False,False,4.4,15771
24,Febreze,B0BS4Y58ZQ,False,False,4.7,79001
25,Horjoy,B09Z6JHHHL,False,False,4.5,1238
26,Superfood MD,B0B61ZCLTT,False,False,4.2,3363
27,Minetom,B0BMX86576,False,False,4.2,375
28,SUBSTANCE.,B0CFG48LWY,False,True,4.4,23
29,Etta Vita,B0C67CY21H,False,True,4.4,105
30,Simply Nature's Promise,B09QRNVJV3,False,True,4.2,8329
31,Toes Home,B0BR4Y96T6,False,False,4.5,17528
32,Free to Live,B09JYDDRQQ,False,False,4.4,4534
33,CHICGAL,B09T8ZQN3S,False,False,4.4,58832
34,Eulalia Eclogue,B08FCBCVTL,False,False,4.7,3313
35,Sanki,B0BZSYY9TR,False,True,4.1,29
36,Primal Harvest,B0C2F16MS6,False,True,4.4,45
37,Vitamax,B0B7YKG2KX,False,True,4.3,274
38,McKesson,B00QS6XFZC,False,True,4.7,10494
39,ANNYISON,B07H8776X3,False,False,4.4,15828
40,PAUKEE,B07G3QPW32,False,False,3.9,6298
41,Vermilion Bird,B01M0TGZAQ,False,False,4.2,19817
42,Weitov,B0CJM49QLR,False,False,4.6,132
43,WELESSENTIALS,B07N31R8HZ,False,True,4.4,455
44,Scwhousi,B096DVYQB5,False,False,4.8,2091
45,Bulotus,B09Q2QBPR4,False,False,4.3,15491
46,Dokotoo,B0CB5B5FK8,False,False,4.4,36
47,Astylish,B08ZC59MRQ,False,False,3.8,11589
48,Wonderful Pistachios,B08DX4JCKQ,False,False,4.7,54936
49,DACORM,B0C24G73BR,False,False,4.6,18640
50,International Plastics Co.,B075K3818Y,False,False,4.7,8188
51,BALEAF,B09NNFNVD2,False,False,4.4,2921
52,EVALESS,B0BLVFY12V,False,False,4.4,2041
53,ASURION,B07QF6BQQL,False,False,4.5,4807
54,KAMKOO,B0C4F3GL23,False,False,4.2,92
55,CULAYII,B0995WLSG5,False,False,4.4,4090
56,VITINITY,B0C8PJBXLM,False,True,4.3,56
57,Hydroxycut,B0C51KRY9G,False,True,5.0,1
58,Iefil,B0B638C3Q5,False,True,4.5,524
59,Market Trendz,B08B1WVRP8,False,True,4.6,1528
