rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Essentials,B08JFSR577,True,False,4.2,721
1,Amazon Basics,B09B1QT2RP,True,False,3.8,85
2,Amazon Essentials,B07BJ8F5VX,True,False,4.3,38244
3,Amazon Basics,B098V9TYBX,True,False,4.3,41222
4,Amazon Essentials,B08XQZ4HFM,True,False,4.2,1284
5,Happy Belly,B07WRPR4NS,True,False,4.4,42260
6,Amazon Essentials,B0BHTCFC67,True,False,4.1,114
7,Amazon Essentials,B0922YY5B4,True,False,4.5,2766
8,Amazon Fresh,B096XWHJ2H,True,False,4.4,1273
9,Amazon Essentials,B08XQYHP59,True,False,4.4,1665
10,Amazon Basics,B0B579K9GG,True,False,4.6,35
11,Amazon Essentials,B08XQYHP41,True,False,4.3,9033
12,Amazon Essentials,B07L6B6CDC,True,False,4.3,2599
13,Happy Belly,B01FRJ1FZ2,True,False,4.7,17695
14,Amazon Essentials,B08P1SC8YN,True,False,3.8,1237
15,Amazon Basics,B098VCLV7G,True,False,4.2,10454
16,Amazon Basics,B086PW78MS,True,False,4.5,211
17,Amazon Essentials,B0922YN2J5,True,False,4.4,3065
18,Amazon Essentials,B07Z52K2Y9,True,False,4.2,11828
19,Amazon Essentials,B0793CNYV7,True,False,4.4,13878
20,Amazon Basics,B0BTX48HK6,True,False,4.6,17
21,Amazon Essentials,B092317HD5,True,False,4.4,7028
22,Amazon Essentials,B08XQWS7CZ,True,False,4.3,13323
23,Amazon Essentials,B08J96QD61,True,False,4.3,1229
24,Amazon Basics,B0BTX3JT84,True,False,4.4,24
25,Amazon Essentials,B0793GQFFK,True,False,4.4,2596
26,Amazon Essentials,B0BG5WWWZR,True,False,4.4,105
27,The Drop,B08BH6C7HY,True,False,4.3,1447
28,Happy Belly,B08G8YYFYS,True,False,4.4,1404
29,Amazon Essentials,B08JLBNV72,True,False,4.1,1704
30,Amazon Fresh,B07VYNTRYJ,True,False,4.7,4469
31,Amazon Essentials,B08JLCWQ97,True,False,4.2,1666
32,Amazon Essentials,B07FFVRRTW,True,False,4.3,2126
33,Amazon Essentials,B09HD1WVB8,True,False,4.1,3057
34,Amazon Basics,B0BTX1V469,True,False,4.5,187
35,Amazon Essentials,B07BJ8JWYZ,True,False,4.4,7405
36,The Drop,B08FSBG94M,True,False,4.2,624
37,Happy Belly,B089HFR93L,True,False,4.6,15719
38,Amazon Essentials,B08JLCXP7V,True,False,4.1,919
39,Amazon Essentials,B07W8VLNHX,True,False,4.2,2877
40,Happy Belly,B01E60QQ3Y,True,False,4.6,12909
41,Amazon Essentials,B07FFHMRKS,True,False,4.5,1849
42,Amazon Basics,B0BTX4LWCR,True,False,4.3,109
43,Amazon Essentials,B0BHTG3SMY,True,False,4.4,78
44,The Drop,B09P58QKVZ,True,False,4.0,349
45,Amazon Fresh,B09TSHB66V,True,False,4.7,312
46,Amazon Essentials,B08JLF3NJ8,True,False,4.2,925
47,Amazon Essentials,B07JMVRBG4,True,False,4.3,8447
