rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Upgraded 6-Pack Super Larger Size Solar Flame Torch, Extra-Bright Solar Outdoor Lights with Flickering Flame, Waterproof Tiki Torches Solar Lights for Garden Decor Pathway Patio Yard - Auto On/Off",B089GGSCV3,False,True,4.3,3403.0
1,"8-Pack Solar Torch Light with Flickering Flame, Upgraded Solar Flame Torch for Garden Decorations, Waterproof Solar Outdoor Lights for Party Yard Patio Outside Halloween Decoration - Auto On/Off",B09YXX2M2J,False,True,4.4,1054.0
2,Halloween Decorations Outdoor - 6 Ft. Large Animated Root of Evil Prop with Spooky Sound - Sound & Touch Activated Sensor - Animatronic Scary Props Decor for Home Party Indoor Outside Yard Decoration,B0B1V1Y176,False,False,4.2,501.0
3,"5 Pcs Halloween Yard Signs, Glow in the Dark Black Cat Halloween Decor, Scary Halloween Yard Stakes Graveyard Decorations Outdoor for Lawn Garden Front Halloween Yard Decorations Outside",B0C9LTM4YP,False,False,,
4,"Halloween Decorations Outdoor, 200 LED Halloween Giant Spider Web Lights, 16.4Ft Lighted Spider Web Light up for Yard Haunted House Decor",B0CHJPVC9J,False,False,5.0,2.0
5,"Halloween Decorations Outdoor Skeleton Stakes with Crow Set, Groundbreakers for Best Halloween Yard Decor, Graveyard Decoration for Garden Lawn",B093PFZ4VR,False,False,4.5,436.0
6,"Outdoor Halloween Decorations, 8Pack Halloween Solar Lights with Purple Flame for Halloween Decor, Waterproof Halloween Lights Outdoor, Solar Pathway Lights for Outside Halloween Yard Decorations Lawn",B0C8926JQQ,False,False,4.4,8861.0
7,"Spider Webs Halloween Decorations Lights - Outdoor Battery Operated Purple Halloween String Lights with 8 Modes Remote Control 125 LEDs 16.4Ft Spiderweb,60"" Large Spider,Waterproof for Halloween",B0C5QGD3PW,False,False,3.9,6.0
8,"Halloween Decorations Outdoor, 12Pack Purple Solar Halloween Lights, Outdoor Halloween Pathway Lights with Flickering Flame for Halloween Decor, Halloween Decorations Outside for Yard Lawn Path",B0C88XS8HG,False,False,4.4,6692.0
9,"8 Pieces Tombstone Yard Sign Halloween Sign Decoration with Stakes Waterproof Gravestone Halloween Yard Sign Corrugated Plastic Halloween Outdoor Decoration for Halloween Party, Garden, Yard",B095SHN5LV,False,False,4.0,301.0
10,"Fall Decor Black Garland, Black Decorations Halloween Garland, Fall Wall Hanging Maple Leaves, Artificial Black Maple Leaf Vine, Halloween Decorations Clearance,Fall Decoration for Home, Pack of 2…",B09CH5H9C4,False,True,4.1,370.0
11,Halloween Hanging Ghost Decorations Outdoor - 2pcs Light Up Ghost with Spooky Blue LED Lights Halloween Hanging Decoration for Tree Porch Front Door Halloween Decorations Outdoor Indoor,B0C9PDYFPX,False,True,3.5,21.0
12,"Halloween Decorations 8 Pcs Lighted Hanging Witch Hats, Remote Control with 8 Modes Light Up 14 FT Halloween String Lights, for Indoor Outdoor Yard, Lawn, Graveyard Scenes Party",B09WMS2YSY,False,True,4.7,207.0
13,"TURNMEON 360 LED 12Ft x 5Ft Halloween Net Lights Outdoor with 8 Flash Modes, Timer, Plug in, Purple Orange Mesh Lights, Connectable Waterproof Halloween Decoration Outside Outdoor Bushes Yard Garden",B0B253RMG1,False,True,4.4,34.0
14,"Halloween Metal Stakes Pumpkin Jack o Lantern Spooky Faces Smile with Luminous Effect, Garden Yard Signs, Outdoor Party Décor, Set of 4",B093YGC3N9,False,False,4.1,1234.0
15,"Realistic Skeleton Stakes Halloween Decorations, Glowing Skeleton Hands, Head with LED Lights Timer and Crow Set, Halloween Yard Lawn Garden Stakes, Skeleton Outdoor Halloween Decor",B0C7ZX25KJ,False,False,4.7,16.0
16,"1400 sqft Halloween Spider Webs Decorations with 150 Extra Fake Spiders, Super Stretchy Cobwebs for Halloween Decor Indoor and Outdoor",B07YCSNLDG,False,False,4.6,2396.0
17,"MZD8391 Halloween Decorations Lighted Witch Hats, 8Pcs Hanging Glowing Witch Hats 44ft Halloween Outdoor Lights String with 8 Lighting Modes for Outdoor, Garden, Yard, Tree",B08CV6NGLL,False,False,4.3,1228.0
18,Halloween Decorations Outdoor Decor Hanging Lighted Glowing Ghost Witch Hat Halloween Decorations Indoor Outside Ornaments Halloween Party Lights String for Yard Tree Garden,B0C84RHC1N,False,True,3.9,3.0
19,[Timer] 4 Ft Halloween Tree Decorations Black Spooky Tree with 48 LED Purple and 10 DIY Spiders Ornaments Artificial Tree for Halloween Decorations Outdoor Indoor Home Yard (4 Stakes & UL Adapter),B095WDNDWJ,False,True,4.1,75.0
20,Halloween Spiders Large Outdoor Big Spider Halloween Decorations Realistic Scary Hairy Spiders Halloween Decor (6 Pack Different Size),B0B4KD7W2M,False,True,4.3,30.0
21,"JOYIN 3 Pack Hanging Halloween Skeleton Ghosts Decorations, Grim Reapers for Best Halloween Outdoor Decorations",B07VVH83KM,False,True,4.3,1418.0
22,"Dazzle Bright Halloween Decorations, 6 FT Set of 3 Light Up Halloween Witch with Stakes, Witch Decorations for Outdoor Garden Yard Lawn Haunted House Decor",B0C2CFX9XK,False,False,3.1,11.0
23,"Dazzle Bright 2 Pack 200 LED 66 FT Halloween Solar String Outdoor Lights, Solar Powered with 8 Modes Waterproof Halloween Lights for Bedroom Patio Garden Tree Party Yard Decoration (Purple & Orange)",B0B6RG8KLL,False,False,4.3,1431.0
24,"Halloween Inflatables Pumpkins with a Spider Outdoor, 16 Colors Build-in Colorful LEDs, Inflatable Yard Decor, Blow up Halloween Decorations for Yard, Garden, Lawn (26ft-Spider-New)",B0CG2X1FVG,False,False,5.0,1.0
25,"Witch Halloween Decorations Outdoor, 3 Pcs Metal Witches Skeleton with Cauldron Scary Silhouette Waterproof Halloween Yard Stakes for Lawn Pathway Party Courtyard Garden Decor",B0CC956WW4,False,False,,
26,"TURNMEON 3 Pack Solar Halloween Lights Outdoor Waterproof Decorations,Timer,8 Modes, Total 99 Ft 300 LED Black Wired String Lights for Indoor Outdoor Yard Tree Halloween Decor,33 Ft-100 LED (Orange)",B0B248JVSV,False,True,4.1,165.0
27,Halloween Decorations Outdoor Cat Yard Signs - 5pcs Glow in the Dark Cat Sign with Stakes for Creepy Halloween Outdoor Yard Lawn Decor Party Supplies,B0B1CWFVC3,False,True,3.8,174.0
28,"Hourleey Halloween Decorations Outdoor, 6 FT Light Up Ghost Pumpkin with Sound Activation, Animated Pumpkin Decorations for Yard Party Porch Haunted House Prop Decor",B0C2CJNZ6T,False,False,5.0,3.0
29,"Halloween Decorations, Flashing Peeping Eyes, Spooky Animated LED Eyes, Dark Activite, Halloween Glowing Decorations, Outdoor Halloween Decor (5 Pack)",B0CCD3F8MN,False,False,4.4,36.0
30,"JOYIN 2 Packs Light Up Halloween Hanging Ghosts with Lighted Eyes, 3ft Swinging Skeleton Ghosts Outdoor Decoration, Black White Flying Ghosts for Yard Patio Lawn Garden Party Décor",B096N72928,False,False,4.0,195.0
31,"Outdoor Halloween Decorations, 6Pack Eyeball Solar Halloween Lights for Halloween Decor, Halloween Lights Outdoor for Outside Halloween Decorations Scary, Halloween Pathway Lights for Yard Lawn Decor",B0CCY86ZDF,False,False,4.7,23.0
32,"Scarecrow Screaming Ghost Halloween Scary Ghost of Death Ghost Flying Halloween Decoration for Outdoor Garden, Porch,Yard (Black)",B09BC3HWW4,False,False,4.2,221.0
33,"JOYIN 53” Halloween Bendable Tree Wrap Ghost Decoration for Halloween Outdoor, Lawn Decor, Tree, Pilar Decorations, Ghost Party Supplies",B07VVGSLXH,False,False,4.3,1700.0
34,"Joomer Solar Halloween Lights, 2 Pack Total 98ft 300LED Orange Purple Halloween Fairy Lights Waterproof 8 Modes Twinkle Lights Outdoor for Halloween Party DIY Decoration Black Wire",B0C4NCPC8N,False,False,4.3,2919.0
35,"2 Pcs 5 Ft Giant Spiders Halloween Decorations, Scary Large Spiders Outdoor Halloween Decorations Indoor Decorations",B0C7RBQ7HB,False,False,4.4,151.0
36,"Colovis 6 Pcs Halloween Spider Decorations, Realistic Large Scary Spider Decoration for Home Giant Spiders Props for Indoor Outdoor Party Decorations",B0991Z2PRX,False,False,4.6,261.0
37,"Halloween Decorations Outdoor Yard Signs Glow in The Dark Signs with Stakes Long Time Glow, The Halloween Scary Ghost Yard Signs for Spooky Halloween Yard Lawn Patio Garden Day of The Dead Decoration Supplies(6pcs)",B0CHR8YN87,False,False,3.5,18.0
38,Scary Halloween Decorations Outdoor Skeleton Arms and Hands Life Size Skeleton Stakes with Spider Web Set for Halloween Yard Decorations Skeleton Outdoor Halloween Decor,B0B6FZYSJC,False,False,4.3,73.0
39,"Halloween Net Lights, 200 LED 8.2ft x 4.9ft Orange Halloween Bush Lights with 8 Modes, Timer, Connectable, Waterproof and Durable Green Wire Design for Trees, Bushes, Halloween Decorations Outdoor",B0B3N6VCMB,False,False,4.2,673.0
40,YUJUN Halloween Hanging Bats Decorations 12 Pieces 3D Realistic Scary Large Fake Black Hanging Flying Bat Spooky for Halloween Yard Sign Outdoor Indoor Lawn Decorations(3 Style),B09ZDP7BTN,False,False,4.1,101.0
41,"PREXTEX Halloween Outdoor & Indoor Decoration - Zombie Groundbreaker - The Best Scary Graveyard Decoration for Halloween, Life Size Zombie Halloween Decorations",B07BS45RVB,False,False,4.3,2422.0
42,Evergreen Set of 3 LED Halloween Black Witches with Hats Stakes | 4 Feet Tall | Outdoor Safe | Weatherproof Battery Operated | Spooky Garden Statue Decoration Grass Lawn or Patio,B0BDQY7563,False,False,4.8,7.0
43,"JOYIN 3 Pack Halloween Party Decoration 25.5"" Hanging Ghosts, Cute Flying Ghost for Front Yard Patio Lawn Garden Party Décor and Holiday Decorations",B07GJYKL9Y,False,False,4.5,1382.0
44,17 Inch Halloween RIP Graveyard Tombstones-5 Pack Halloween Decorations with 12 Metal Stakes for Outdoor Yard Decoration,B07XCYZBS9,False,False,4.0,366.0
45,"Halloween Decorations, 5 Pcs Halloween Hanging Lighted Glowing Witch Ghost Hat Decorations Outdoor, Halloween Lights String with 8 Lighting Modes for Halloween Décor Garden Yard Tree",B0CBTG16YM,False,False,4.4,21.0
46,"Halloween Decorations Spider Web Lights, 404 LED 21Ft*15Ft Purple Giant Triangular Net Light with 8 Modes Hanging Purple Web Lights for Patio, Garden, Yard and Haunted House Décor",B0C8JC9H4X,False,False,4.6,93.0
47,"JOYIN 3 Pack Hanging Halloween Skeleton Ghosts Decorations, Grim Reapers for Best Halloween Outdoor Decorations",B07VVH83KM,False,False,4.3,1418.0
48,"Haunted Hill Farm Life-Size Animated Grim Reaper Prop w/Chain and Rotating Head for Indoor or Outdoor Halloween Decoration, Battery-Operated",B07X6WTKLT,False,False,3.7,215.0
49,"Halloween Decorations Outdoor, Halloween Lights Outdoor for Halloween Decor, Purple Flickering Flame Solar Torch Lights for Outside Halloween Decorations, Solar Halloween Lights for Yard Pathway Lawn",B0C85VM6KW,False,False,4.4,4040.0
50,Halloween Light-Up Witches Halloween Yard Decorations with LED Lights，Voice Control Witch Glowing Head Waterproof Life Size for Outside Home Party Decor-3pcs,B0CBS59XK4,False,False,3.8,16.0
51,"Halloween Plush Spiders Set (6 pcs Red Eyes Spider (47"",35"",30"",24'',20"",12"") Sizes, Scary Fake Spider for Indoor Outdoor Halloween Decor for Home Party Yard Haunted House Decorations",B093SNL6LB,False,False,4.5,617.0
52,"Halloween Spider Web Lights, 12Ft Light up Spider Web, 176 LED Remote Control Multicolor Net Lights with 8 Light Modes & Timer Halloween Window Decoration Outdoor Indoor Home Party Yard",B0CD57VFL8,False,False,2.8,18.0
53,"Halloween Decorations Outdoor,2023 Upgraded Light Up Giant Halloween Spider Decorations Bendable Fake Spider with Back Gradient Light,Halloween Decor for Home Yard Costumes Parties Garden Lawn",B0CH9MV6YF,False,False,4.8,222.0
54,"LED Flame Light Bulbs, 4 Modes Fire Light Bulbs, E26 Base Flame Bulb, Halloween Decorations Outdoor Indoor Home, Halloween Lights Bulbs (Yellow, 2 Pack)",B077P5BTCY,False,False,4.3,26222.0
55,"Haunted Hill Farm Life-Size Scary Animatronic Talking Clown with Touch Activated Lights and Sounds, Battery Operated Indoor or Covered Outdoor Halloween Decoration",B08GH9SJXY,False,False,3.8,273.0
56,"27 PCS Hanging Bats Halloween Decoration, 3D Halloween Bats with Glowing Eyes, Hanging Flying Bat Indoor Outdoor Halloween Decorations for Tree, Wall, Front Porch, Yard Scary Party Decor Supply",B0C8TDL8C9,False,False,,
57,"Spider Webs Halloween Decorations Outdoor, 16.4 x 15.7 ft Triangular Spider Web + 50‘’ Scary Giant Spider, 20 g Stretch Cobwebs Outdoor Halloween Decorations for Outside Yard Garden Lawn Party",B09YHK3VPN,False,False,4.4,51.0
58,"Halloween Decorations Outdoor Solar Scary Eyeball Lights,2PACKS 12LED Green Eyeball Swaying Firefly Lights,Waterproof Solar Halloween Path Lights for Yard/Garden/Lawn/Party Decor",B0C84JSV3J,False,False,4.3,94.0
59,"JOYIN 5 PCS Posable Halloween Skeletons 16 Inches Full Body Posable Joints Hanging Skeletons for Graveyard Decorations, Haunted House Accessories, Spooky Scene Party Favors",B0C89Q21G5,False,False,4.8,16.0
