rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge Roll, 12 Rolls (2 Packs of 6), Equivalent to 38 Regular Rolls, White",B074CR89QG,True,False,4.7,88403
1,"Amazon Basics 2-Ply Paper Towels, Flex-Sheets, 150 Sheets per Roll, 12 Rolls (2 Packs of 6), White",B09BWFX1L6,True,False,4.2,47142
2,"AmazonCommercial 2-Ply White Adapt-a-Size Kitchen Paper Towels, Rolls Individually Wrapped, FSC Certified, 4200 Sheets Total, 140 Towels per Roll, 30 Rolls",B07TYW5HGL,True,False,4.4,8188
3,"365 by Whole Foods Market, Paper Towels 135 Sheet Jumbo Rolls 3 Count, 135 Count",B07QLZHGL2,True,False,4.3,12938
4,"AmazonCommercial 2-Ply White Adapt-a-Size Kitchen Paper Towels, Rolls Individually Wrapped, FSC Certified, 1680 Sheets Total, 140 Towels per Roll, 12 Rolls",B07TZSCDJD,True,False,4.5,6722
5,"AmazonCommercial 1-Ply White Hardwound Paper Towels,Bulk for Business,High Capacity Roll,Compatible with Universal Dispensers,FSC Certified,800 Feet per Roll, Pack of 6",B07KX2C4JL,True,False,4.1,871
6,"AmazonCommercial 1-Ply Kraft Hard Roll Paper Towels, Bulk for Business, Made from 100% Recyclable Material, Compatible with Universal Dispensers, 4800 Count (6 Rolls of 800 Feet), Brown",B07TVKQHMD,True,False,4.4,1059
7,"365 by Whole Foods Market, Paper Towels, 160 Count",B07QMX1PVT,True,False,4.1,427
8,"Amazon Brand - Presto! 313 2-Ply Sheet Mega Roll Toilet Paper, Ultra-Soft, 12 Rolls (2 Packs of 6), Equivalent to 60 Regular Rolls, White",B0947DYSQJ,True,False,4.7,119305
9,"AmazonCommercial FSC Certified 2-Ply White XL Multifold Paper Towels, Compatible with Universal Dispensers, 1840 Count (16 Packs of 115 Sheets)",B07TTK59BD,True,False,4.5,1205
10,"Amazon Aware 100% Bamboo Paper Towels, 6 Rolls, 2 ply, FSC Certified, 150 Sheets, Plastic-Free",B0BMQDG363,True,False,4.3,122
11,"365 by Whole Foods Market, Bath Tissue Double Roll 260 Sheet 6 Count, 260 Count",B07QLYPWCX,True,False,4.4,10808
12,"AmazonCommercial FSC Certified Ultra Plus Multifold Paper Towels, 2400 Count, 16 Pack of 150, White",B07TXRKVS5,True,False,4.4,1721
13,"AmazonCommercial 2-Ply Multifold Paper Towels, Compatible With Universal Dispenser, 2800 Count, 16 Pack of 175, White",B08XYP2ZPV,True,False,4.5,125
