rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Hidden Treasures Mystery Box | 4 Booster Packs | + Guaranteed Bonus Items | Compatible with Pokemon Cards,B0BHX7W97Y,False,True,3.0,490.0
1,Pokemon TCG Scarlet & Violet 3.5 Pokemon 151 Elite Trainer,B0C8YN3BY4,False,False,4.1,48.0
2,(3 Packs) Pokemon Card Game Japanese 151 SV2a Booster Pack (7 Cards Per Pack),B0C8TS36RM,False,False,4.1,66.0
3,Pokemon TCG Scarlet & Violet 3.5 Pokemon 151 Poster Collection,B0C8XZWKYD,False,False,4.3,5.0
4,"Pokemon Card Game Scarlet & Violet Enhanced Expansion Pack Pokemon Card 151"" Box (Japanese)",B0BT15FD3J,False,False,4.2,1016.0
5,Pokemon TCG Scarlet & Violet 3.5 Pokemon 151 Booster Bundle,B0C8YBXDYQ,False,False,4.7,5.0
6,(1 Pack) Pokemon Card Game Japanese 151 SV2a Booster Pack (7 Cards Per Pack),B0C8TWNZQN,False,False,4.1,51.0
7,Pokemon 151 - Sealed Single Booster Pack - English - 10 Cards,B0CJ7P9LBN,False,False,5.0,1.0
8,Pokémon TCG: Scarlet & Violet — 151 Ultra-Premium Collection,B0C8XNMGWK,False,False,,
9,Pokemon TCG Scarlet & Violet 3.5 Pokemon 151 Binder Collection,B0C8XWR7BV,False,False,4.1,33.0
10,Pokémon TCG: Scarlet & Violet — 151 Collection — Alakazam ex,B0C8Y8MJ36,False,False,,
11,Pokemon Scarlet & Violet 3 Obsidian Flames Elite Trainer Box,B0C6D9LWCQ,False,False,4.3,531.0
12,Pokemon Scarlet & Violet 3 Obsidian Flames Booster Bundle,B0C6D3V3B5,False,False,4.1,316.0
13,Ultra Rare 55 PCS Gold Cards Packs Vmax DX GX Rare Golden Cards TCG Deck Box Gold Foil Card for Fans/Kids/Collectors Gifts (No Duplicates),B0CHZ23LXX,False,False,5.0,3.0
14,Pokemon Scarlet & Violet 3 Obsidian Flames Booster Box,B0C6D9YN1J,False,False,4.4,274.0
15,Pokemon TCG: Scarlet & Violet - Paldea Evolved Elite Trainer Box,B0BZTL5393,False,False,4.5,838.0
16,Pokémon TCG: Pokémon GO Premier Deck Holder CollectionDragonite VSTAR,B0B3CQTFWT,False,False,4.6,1059.0
17,Pokemon TCG: Sword & Shield Ultra-Premium CollectionCharizard,B0B9M6N4F1,False,False,4.3,1919.0
18,One Random PSA Graded and Authenticated Encased Pokemon Card (Perfect for Display),B09PQBM615,False,False,3.6,448.0
19,Pokemon TCG Annihilape EX Box,B0C4D4R3H8,False,False,4.5,46.0
20,"Toploader Trading Card Binder Storage, 252 9 Pocket Top Loader Pokemon Binder, Card Collection Yugioh Cards Binder, MTG Card Binder, TCG Binder, Card Folders for Trading Cards",B0BHV3J9V4,False,True,4.7,183.0
21,Pokemon TCG: Yu Nagaba x Pokemon - Eevee’s Special Box,B0C955PSHH,False,True,,
22,"PAL Packs Signature Edition Golden Grade Mystery Box | Guaranteed 1 x PSA, Beckett or CGC Graded 8+ Card | 1 x Factory Sealed Booster Pack | 25 x Additional Cards | Compatible with Pokemon Cards",B0C1F3TVXJ,False,True,3.1,37.0
23,"Pikachu Lightning Box Collector’s Set Bundle w/ 3 Booster Packs, Ultra Rare & More! Compatible with Pokemon Cards",B0BFRP2QS9,False,True,3.5,223.0
24,Pokémon TCG: Paradox Powers ex Special Collection - Amazon Exclusive,B0BZBFYH9M,False,False,4.3,3.0
25,Pokemon: Scarlet & Violet Obsidian Flames Build & Battle Kit (Prerelease),B0CF9RR296,False,False,3.9,12.0
26,Pokemon TCG: Paldea Pin Collection - Quaxly,B0BSB3Y2PL,False,False,4.7,94.0
27,JAPAN UNIVERSE Poke Card Obsidian Flame Box (Japanese ver),B0BYC7NQYN,False,False,3.8,278.0
28,PokemonTCG Cards Booster Pack - Sun & Moon [Imported] - Authentic Chinese/Taiwanese Trading Cards Game (Single Pack),B0C63QG9JG,False,True,4.0,25.0
29,Card GamePokemon TCG: Elemental Power Tin Featuring Jolteon-GX,B08WZD6WPH,False,True,3.7,97.0
30,"Magnetic Card Holder Stadium Displays (2 Pack), Compatible with Ultra Pro Protectors - Trading Card Holder - Card Stand - Sports Card Display",B0B1VV6YWW,False,True,5.0,1.0
31,Pokemon Card Game Sword & Shield Expansion Pack VMAX Special Set Eevee Heroes,B08WB9S8F8,False,True,4.5,790.0
32,Pokemon Trading Card Game: Eevee V Premium Collection (Exclusive),B0BN742VCB,False,False,4.6,109.0
33,"Pokemon Cards: Sword & Shield 4 Vivid Voltage Elite Pikachu - Trainer Box, Multicolor",B08GZ7XP18,False,False,4.6,2230.0
34,"Pokémon TCG: Holiday Calendar (8 Foil Promo Cards, 6 Booster Packs & more), for ages 6+ Multicolor",B0B6JNVWM8,False,False,4.5,627.0
35,Pokemon TCG: Scarlet & Violet Elite Trainer Box (Random Color) …,B0BSNXK3H7,False,False,4.5,641.0
36,"Graded Card Display Slab Stadium (2 Pack), Compatible with PSA, Beckett, and CGC - Trading Card Holder - Card Stand - Sports Card Display",B09ZTGQYDF,False,True,4.6,85.0
37,Limited Edition Golden Deck Box Bundle | 100+ Assorted Pokemon Cards | Guaranteed Gold Secret Rare + 2 Ultra Rares | 10 Holo Foils | 1 Trainer Gallery Card | 1 Radiant Rare,B0C6NLVD4T,False,True,4.0,73.0
38,100 Pack Premium Seamless Toploaders for Collectible Trading Cards w/Peel Away Film + 100 Pack Penny Sleeves + Free Card Centering Tool! | 3x4 Inch UV Safe Top Loader | Topps Pokemon MTG Kpop,B0B7JZ9MJ1,False,True,4.2,66.0
39,Pokémon TCG: Celebrations Dark Sylveon V Collections Booster Box,B09DGR74Y3,False,False,4.6,1290.0
40,"Pokemon TCG: 3 Booster Packs & 1 Random Foil | Includes 3 Blister Packs of Random Cards & 1 Individually Packed Holofoil Promo Card, 097712556710",B09YS3LL3N,False,False,4.5,18963.0
