rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"PopSockets Phone Grip with Expanding Kickstand, PopSockets for Phone - Blanc Fresh",B09SZSW616,False,True,4.6,615
1,"PopSockets Plant-Based Phone Grip with Expanding Kickstand, Eco-Friendly PopSockets for Phone - Translucent Cosmic Sun",B0BDMVLD9X,False,True,4.5,129
2,"PopSockets Translucent Phone Grip with Expanding Kickstand, PopSockets for Phone - Clear",B08WVHWYND,False,False,4.6,29000
3,Mixed Flower Bouquet Floral Pattern PopSockets Standard PopGrip,B0C72VDP7G,False,False,4.1,57
4,"PopSockets Phone Grip with Expanding Kickstand, PopSockets for Phone - Black",B07P29XQR4,False,False,4.6,52817
5,Boho Chic Floral Wreath Forest Nature Mountain Cute Pastel PopSockets Standard PopGrip,B0BVWGL5M7,False,False,4.7,106
6,DALSTONE Authentic Natural Sea Shell Mother of Pearl Expandible Collapsible Mobile Phone Grip Stand Holder for Smartphone Tablet Cell Phone Accessory (Aqua Blue),B09C3J711D,False,True,4.0,1979
7,"PopSockets Phone Grip Compatible with MagSafe, Phone Holder, Wireless Charging Compatible - Black",B097G1XT4R,False,False,4.6,6417
8,"PopSockets Translucent Phone Grip with Expanding Kickstand, PopSockets for Phone - Translucent Black Smoke",B09D2Q8YQ3,False,False,4.6,3591
9,Cute Ghosts Reading Books Halloween Librarian Book Lover PopSockets Standard PopGrip,B0C7LY51JN,False,False,4.7,39
10,"PopSockets Plant-Based Phone Grip with Expanding Kickstand, Eco-Friendly PopSockets for Phone - Translucent He Loves Me Not",B0BDN39BKK,False,False,4.8,173
11,DALSTONE Acrylic Flower Collapsible Expandable Multi Functional Mobile Phone Grip & Kicktand (Black),B0CFHG32WM,False,True,4.5,2
12,"PopSockets Phone Grip with Expanding Kickstand, PopSockets for Phone - Chrome Drip Silver",B09D2G8MMS,False,False,4.6,701
13,"PopSockets Plant-Based Phone Grip with Expanding Kickstand, Eco-Friendly PopSockets for Phone - Translucent Sun and Moon",B0BDMZ7RWH,False,False,4.4,446
14,Wildflower Watercolor Flowers Design Floral Garden for Women PopSockets Standard PopGrip,B0C1Y166QJ,False,False,4.6,44
15,"PopSockets Translucent Phone Grip with Expanding Kickstand, PopSockets for Phone - Clear Glitter Silver",B08WVYTZBN,False,False,4.6,29000
16,DALSTONE Authentic Natural Sea Shell Mother of Pearl Expandible Collapsible Mobile Phone Grip Stand Holder for Smartphone Tablet Cell Phone Accessory (Leopard),B0BX8NKNY1,False,True,4.3,272
17,"PopSockets Plant-Based Phone Grip with Expanding Kickstand, Eco-Friendly PopSockets for Phone -Translucent Space Walk",B0BDNNY3VG,False,False,4.7,78
18,PopSockets PopGrip - Expanding Stand and Grip with a Swappable Top for Phones & Tablets - Tidepool Starring Silver,B0849Z6Q5D,False,False,4.5,1606
19,PopSOCKETS Pop-Grip Knurled Texture Black Smartphone Accessory for iPhone Android,B086196KHB,False,False,4.7,268
20,PopSockets: Collapsible Grip & Stand for Phones and Tablets - Wandering Wildflowers,B01MQZAFFG,False,False,4.2,335
21,"GVIEWIN Marble Cell Phone Ring Holder, Metal Kickstand Grip for Magnetic Car Mount Compatible with iPhone 15 Pro Max/15 Plus/14/13/12 Series & Galaxy S22/S23 Ultra and Other Phones(Drift Sand/Brown)",B09GM3MHM6,False,True,4.4,7196
