rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Canon imageCLASS MF269dw II - Print, Copy, Scan, Fax, Wireless, 2-Sided Laser Printer with Auto Document Feeder, Works with Alexa",B0BVGR1DZ3,False,True,4.3,97.0
1,"HP OfficeJet 8015e Wireless Color All-in-One Printer with 6 Months Free Ink with HP+(228F5A), White",B08XW7LT9P,False,True,4.2,2609.0
2,"HP DeskJet 2755e Wireless Color inkjet-printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, Instant Ink with HP+,white",B08XYP6BJV,False,False,4.1,34968.0
3,"HP DeskJet 4155e Wireless Color Inkjet Printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, Instant Ink with HP+,white",B08XYRDSL7,False,False,4.1,19978.0
4,"Canon PIXMA MG3620 Wireless All-In-One Color Inkjet Printer with Mobile and Tablet Printing, Black",B010A7TZ76,False,False,4.1,23954.0
5,"HP OfficeJet 8015e Wireless Color All-in-One Printer with 6 Months Free Ink with HP+(228F5A), White",B08XW7LT9P,False,False,4.2,2609.0
6,"Phomemo Portable Compact Printer Wireless for Travel, [New] M08F-Letter Bluetooth Mobile Thermal Printer Support 8.5"" X 11"" US Letter, Inkless, Compatible with Android and iOS Phone & Laptop",B0B6VRJT83,False,True,4.1,1177.0
7,"HP DeskJet 3755 Compact All-in-One Wireless Printer, HP Instant Ink, Works with Alexa - Stone Accent (J9V91A)",B01GAIU8ZC,False,False,4.1,28713.0
8,"Epson EcoTank ET-2800 Wireless Color All-in-One Cartridge-Free Supertank Printer with Scan and Copy â€“ The Ideal Basic Home Printer - Black, Medium",B096N8DN2H,False,False,4.5,4428.0
9,"Canon TS202 Inkjet Photo Printer, Black",B078X1DQ2Y,False,False,4.0,5460.0
10,"HP ENVY 6055e Wireless Color Inkjet Printer, Print, scan, copy, Easy setup, Mobile printing, Best-for-home, Instant Ink with HP+,white",B08XYRVSRT,False,False,4.1,9218.0
11,"M08F Letter Portable Printer Wireless for Travel, Bluetooth Thermal Printer Inkless, Small Compact Printer Support 8.5"" X 11"" Letter Size Thermal Paper, Work with Laptop Phone and Pad - Silver",B0BV6QQBR8,False,True,3.9,382.0
12,"Canon PIXMA TS6420a All-in-One Wireless Inkjet Printer [Print,Copy,Scan], White",B09TGCFCMW,False,False,4.2,2348.0
13,"Canon ImagePROGRAF PRO-6000 60"" Professional Photographic Large-Format Inkjet Printer",B07V8L7F2M,False,False,,
14,Brother HLL2305W Compact Mono Laser Single Function Printer with Wireless and Mobile Device Printing,B092YHRHWX,False,False,4.3,10854.0
15,"Canon PIXMA TR8620a - All-in-One Printer Home Office|Copier|Scanner|Fax|Auto Document Feeder | Photo, Document | Airprint (R), Android, Black, Works with Alexa",B09TRZLPXP,False,False,4.3,2389.0
16,"Canon PIXMA TR4720 Wireless Color All-in-One Inkjet Printer, Black - Print Copy Scan Fax - 4800 x 1200 dpi, Auto 2-Side Printing, 20-Sheet ADF, 2-Line LCD Display, DAODYANG Printer_Cable",B0C7G779T2,False,True,4.2,13.0
17,"Canon® PIXMA™ TR4720 Wireless Inkjet All-In-One Color Printer, Black",B09CDXKNB9,False,False,4.1,6468.0
18,"HP OfficeJet Pro 8025e Wireless Color All-in-One Printer with bonus 6 free months Instant Ink with HP+ (1K7K3A), Gray",B08WCDLKFK,False,False,4.2,10042.0
19,"Brother MFC-J1010DW Wireless Color Inkjet All-in-One Printer with Mobile Device and Duplex Printing, Refresh Subscription and Amazon Dash Replenishment Ready",B09WZBZ1JQ,False,False,4.2,3076.0
20,"Brother Compact Monochrome Laser Printer, HL-L2350DW, Wireless Printing, Duplex Two-Sided Printing, Includes 4 Month Refresh Subscription Trial and Amazon Dash Replenishment Ready",B0763WDSYZ,False,False,4.4,12351.0
21,"A40 peripage Portable inkless Wireless Printer for Letter/legal/A4/4/3/2 inch Rolled/Folded Thermal Paper, Adhesive Shipping Label. for Windows, iOS, Android (Pink)",B0CBCV89J3,False,True,3.6,22.0
