rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Physician's CHOICE Probiotics 60 Billion CFU - 10 Strains + Organic Prebiotics - Digestive & Gut Health - Supports Occasional Constipation, Diarrhea, Gas & Bloating - Probiotics For Women & Men - 30ct",B079H53D2B,False,True,4.5,107639
1,"Just Thrive Probiotic & Antioxidant Supplement - 100% Spore-Based Digestive and Immune Support - Gluten Free, 30 Caps",B00IO9PMDO,False,True,4.6,2709
2,Microbiome Labs MegaSporeBiotic Probiotics for Digestive Health - Mens & Womens Probiotic Nutritional Supplements with Spore Based Bacillus Coagulans & Bacillus Subtilis for Gut Health (60 Capsules),B07TJ4TH8Q,False,True,4.6,2376
3,"300 Billion AFU Akkermansia Muciniphila - A Live Probiotics for Women Men, Supports GLP-1, Probiotics for Digestive, Gut, Immune & Overall Health, Enhances Gut Digestive Lining function, 120 Capsules",B0CH8DS61Z,False,True,4.8,221
4,"Nature's Bounty Acidophilus Probiotic, Daily Probiotic Supplement, Supports Digestive Health, 1 Pack, 120 Tablets",B0014CVXMW,False,False,4.6,31521
5,"Dr. Formulated Probiotics for Women & Prebiotics, 50 Billion CFU for Women’s Daily Digestive Vaginal & Immune Health, Garden of Life 16 Probiotic Strains Shelf Stable No Gluten Dairy Soy, 30 Capsules",B00Y8MP4G6,False,False,4.6,50494
6,"NOW Supplements, Probiotic-10™, 25 Billion, with 10 Probiotic Strains, Dairy, Soy and Gluten Free, Strain Verified, 50 Veg Capsules",B002S1U7RU,False,False,4.6,11044
7,"Physician's CHOICE Probiotics 60 Billion CFU - 10 Strains + Organic Prebiotics - Digestive & Gut Health - Supports Occasional Constipation, Diarrhea, Gas & Bloating - Probiotics For Women & Men - 60ct",B09GLGC9DG,False,False,4.5,107639
8,"Probiotics 50 Billion CFU 20 Strains, 60 Veggie Capsules, Targeted Release Technology, Stomach Acid Resistant, No Need for Refrigeration, Non-GMO, Gluten Free",B071DZQLPQ,False,False,4.6,31784
9,"Physician's Choice Probiotics for Women - PH Balance, Digestive, UT, & Feminine Health - 50 Billion CFU - 6 Unique Strains for Women - Organic Prebiotics, Cranberry Extract+ - Womens Probiotic - 30 CT",B07B8BSGPL,False,False,4.5,38102
10,"Probiotics for Women & Men - 300 Billion CFU, 22 Strains Probiotics + 15 Organic Herbs Prebiotics Blend, Daily Probiotics for Digestive Health, Immune Constipation, Diarrhea, Bloating - 2 Month Supply",B0CBRZ6DBZ,False,True,4.8,217
11,Toniiq 200 Billion CFU Probiotic Supplement 30 Verified Third-Party Tested Strains - Fully Shelf-Stable Probiotics Formula with Prebiotic Blend - Extended Release Capsules,B09GV552KR,False,True,4.4,965
12,Thorne FloraMend Prime Probiotic - Shelf Stable and Stomach Acid-Resistant Probiotic Blend - 30 Capsules,B0072POOHG,False,True,4.6,448
13,Thorne Bacillus Coagulans Probiotic - Shelf Stable Probiotic Supplement to Promote GI Health - 60 Capsules,B000FGXO0W,False,True,4.6,1122
14,"OLLY Probiotic + Prebiotic Gummy, Digestive Support and Gut Health, 500 Million CFUs, Fiber, Adult Chewable Supplement for Men and Women, Peach, 30 Day Supply - 30 Count",B012RFVHSO,False,False,4.5,18687
15,"Nature’s Bounty Probiotic 10, Ultra Strength Daily Probiotic Supplement, Support for Digestive, Immune and Upper Respiratory Health, 1 Pack, 30 Capsules",B08GR12D4T,False,False,4.6,11474
16,"Zenwise Digestive Enzymes - Probiotic Multi Enzymes with Probiotics and Prebiotics for Digestive Health + Bloating Relief for Women and Men, Bromelain and More for Gut Health and Digestion - 60 Count",B072YHM6S2,False,False,4.4,64130
17,Carlyle Probiotics with Prebiotics | 120 Capsules | 50 Billion Active Organisms | Non-GMO & Gluten Free Supplement,B08777D2SZ,False,False,4.6,1102
18,"Dr. Formulated Probiotics for Women & Prebiotics, 50 Billion CFU for Women’s Daily Digestive Vaginal & Immune Health, Garden of Life 16 Probiotic Strains Shelf Stable No Gluten Dairy Soy, 30 Capsules",B00Y8MP4G6,False,True,4.6,50494
