rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Whole Foods Market, Plant Protein & Greens, Rich Chocolate, 18 oz",B07G2BK5XT,True,False,4.4,49.0
1,"365 by Whole Foods Market, Organic Pea Protein, 16 Ounce",B074H54MCT,True,False,4.3,417.0
2,"365 by Whole Foods Market, Vanilla Whey Protein Isolate, 15.9 Ounce",B084D3V6DT,True,False,4.4,239.0
3,"365 by Whole Foods Market, Chocolate Grass Fed Whey Protein, 19.4 Ounce",B08CBX351S,True,False,4.1,68.0
4,"365 by Whole Foods Market, Vanilla Grass Fed Whey Protein, 18 Ounce",B08CBYRMR4,True,False,4.5,178.0
5,"365 by Whole Foods Market, Protein Whey Grassfed Vanilla, 10.8 Ounce",B08F3CC64W,False,False,4.3,106.0
6,"365 by Whole Foods Market, Protein Whey Grassfed Chocolate, 11.6 Ounce",B08F3BXJKM,False,False,4.0,34.0
7,"365 Everyday Value, Soy Protein Powder, Unsweetened Vanilla Flavor, 15.63 oz",B074MGC1J3,True,False,4.0,171.0
8,"Whole Foods Market, Protein Powder And Greens Coconut Almond, 18 Ounce",B07G2K7SJN,True,False,3.1,3.0
9,"Whole Foods Market Rich Chocolate Plant Protein Shake, 15 OZ",B07G2TC5NW,True,False,,
