rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"AOZISTech 8K HDMI 2.1 Fiber Optic Cable 100FT 8K@60Hz 4K@120Hz 48Gbps Dynamic HDR eARC Compatible with PS5/4, Xbox Series X, RTX 3080 3090, LG C9",B0B2ZWX34N,False,True,3.9,48.0
1,PlayStation 5 Console (PS5),B0BCNKKZ91,False,False,4.8,6749.0
2,"PlayVital Psychedelic Leaf Full Set Skin Decal for ps5 Console Disc Edition, Sticker Vinyl Decal Cover for ps5 Controller & Charging Station & Headset & Media Remote",B08Y8YK1RV,False,False,4.2,527.0
3,PlayStation 5 Console (Renewed),B08ZFN8YHH,False,False,4.1,246.0
4,Ps5 Skin red/White Spider Protective wrap Cover Vinyl Sticker Decals for Sony Playstation 5 Disk Version Console and Two Dual Sense 5 Sticker ps5 Skin Console and Controller,B08PQ614NB,False,False,3.7,186.0
5,PlayStation 5 Console CFI-1102A,B09DFCB66S,False,False,4.9,7875.0
6,"eXtremeRate Scarlet Red Decorative Trim Shell Compatible with ps5 Controller, Soft Touch DIY Replacement Clip Shell, Custom Plates Cover Compatible with ps5 Controller with Accent Rings",B08VGR4VGC,False,False,4.7,2449.0
7,PlayStation DualSense Wireless Controller,B08FC6C75Y,False,False,4.8,91071.0
8,$50 PlayStation Store Gift Card [Digital Code],B004RMK4P8,False,False,4.7,237957.0
9,Madden NFL 24 - PlayStation 5,B0C6NDYH6Z,False,False,4.3,244.0
10,MARVEL’S SPIDER-MAN 2 – PS5 Launch Edition,B0C7WNMCSC,False,False,,
11,"targeal Gaming Headset with Microphone for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S - 3.5mm Jack Gamer Headphone with Noise Canceling Mic-908 Black",B0BZZ9HJBW,False,True,4.3,27.0
12,"U Shaped Computer Desk with Power Strip, 100 Inch Corner Desk with Monitor Stand Reversible Storage Shelves, Modern Simple Home Office Gaming Desk with Storage Bag(Black)",B0C73VGLKD,False,False,4.6,19.0
13,Mortal Kombat 1 - PlayStation5,B0C5S14X7Q,False,False,4.2,30.0
14,Call of Duty Modern Warfare III - PS5,B0CFTKVHQ2,False,False,,
15,Toxxos PS5 Skin - Disc Edition Anime Console and Controller Accessories Cover Skins PS5 Controller Skin Gift ps5 Skins for Console Full Set Red and White PS5 Skin,B0BTBSNTJT,False,False,4.4,514.0
16,"Turtle Beach Stealth 600 Gen 2 MAX Multiplatform Amplified Wireless Gaming Headset for Xbox Series X|S, Xbox One, PS5, PS4, Windows 10 & 11 PCs & Nintendo Switch - 48+ Hour Battery - Black",B09VCXMQXF,False,True,4.3,1608.0
17,Police Simulator: Patrol Officers - PlayStation 5,B0BZZPHSGF,False,False,3.9,48.0
18,"CONGDAREN Carrying Case for PS5 Travel Case for PS5 Protective Case Bag Suitable for PS5 Disc/Digital Edition Console, Controllers, Game Cards, Gaming Headset and Other Accessories",B0CDZLK65V,False,False,4.8,18.0
19,"PS5 Stand with PS5 Controller Charging Station Cooling Station for Playstation 5 PS5 Console Disc/Digital Edition, PS5 Accessories-Cooler Fan/Remote Charger/Media&Headset Holder/3-USB Hub/Screw Black",B0B9Y1P6K3,False,True,4.6,842.0
20,"targeal Gaming Headset with Microphone for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S - 3.5mm Jack Gamer Headphone with Noise Canceling Mic-907 Black",B0BZZB355K,False,True,4.2,25.0
21,"PDP AIRLITE Pro Wireless Headset with Mic for PS5, PS4, PC - Cosmic Red",B0B3VRCMP2,False,True,4.5,5256.0
