rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Clean Skin Club Clean Swabs | 500CT | One Pointed Tip | Biodegradable + Organic Cotton & Bamboo | Makeup & Nail Polish Touch-ups | Chlorine-Free & Hypoallergenic (500 Count),B09FZ875N4,False,True,4.6,1004
1,"1000 PCS Bamboo Cotton Swabs In Storage Box - Eyxformula Natural Organic Cotton Swabs With Wooden Sticks - Double Tips Biodegradable Cotton Buds For Ear Wax Removal, Makeup, Personal Care, Art & Craft",B0BG9PTHP5,False,True,4.5,132
2,"Q-tips Antimicrobial Swabs for Cleaning are Made with 100 Percent Cotton, 300 Count, Pack of 12",B095Z325K4,False,True,4.8,8998
3,"Cotton Swabs 2000ct(20 Pack),Double-Tipped Cotton Buds,Cotton Swabs with Wooden Sticks,Cotton Swabs for Ears,Makeup,Daily Cleaning",B0823PX9BW,False,True,4.2,1332
4,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 625 Count,B01AXQP6AE,False,False,4.7,2334
5,"Q-tips Cotton Swabs, 500 Count (Pack of 2)",B00DUGPW40,False,False,4.8,6607
6,"Q-tips Safety Swabs, Family Size, 625 ct (Pack of 2)",B00LKPM39A,False,False,4.8,8998
7,"Q-tips Cotton Swabs, Club Pack 1875 ct(Pack of 3)",B00MOJUQAO,False,False,4.7,3407
8,Q-tips Cotton Swabs 3 Packs of 625 Count,B00J9R7OSQ,False,False,4.7,2678
9,"Q-TIPS SWABS Cotton Club ct, 625 Count, (Pack of 3)",B003ZTVDBS,False,False,4.7,3407
10,"HOMEFOX Pink Cotton Swabs Precision Pointed - 400 Count Pointy Cotton Buds Double Side Tightly Wrapped Cotton Tips Paper Stick Organic Soft Gentle Lint-Free Cruelty-Free, Pointy & Round (Pink)",B09WLQ3WSG,False,True,4.6,653
11,700 Count Cotton Swabs with 1 Dispenser Holder - Bamboo Sticks Cotton Swabs for Ears - Double Round Thick Cotton Buds Suitable for Makeup and Cleaning - Clear Plastic Apothecary Jar Containers,B0BQHXKDN9,False,True,4.4,1492
12,Q-tips Cotton Swabs 500 ea (Pack of 2),B0176QMIEQ,False,False,4.8,10455
13,"Q-tips Cotton Swabs, 375 ct and Travel Holder Case for a Purse",B07BPCBMRJ,False,False,4.8,500
14,"Q-Tips Cotton Swabs, Precision Tip, 170 Count",B007P2VCGW,False,False,4.6,2589
15,Bamboo Qtips Cotton Swabs With Wooden Sticks Q Tips For Ears Swabs 400 Count Bamboo Cotton Buds,B07W1HR9GT,False,False,4.5,1178
16,"HOMEFOX Black Cotton Swabs Spiral - 200 Count Organic Cotton Buds Gothic Bathroom Tightly Wrapped Charcoal Cotton Tips Paper Stick Soft Gentle Cruelty-Free Lint-Free, Round & Spiral (Black)",B08N6P5KGS,False,True,4.6,556
17,Bamboo Cotton Swabs - 1000 Count - Pointed & Spiral Heads- 100% Biodegradable Cotton Buds | Natural & Sustainable Makeup Remover | Organic Cotton Heads | Eco-Friendly | Cruelty-Free and Vegan.,B0BGGR4C6Y,False,True,4.7,997
18,"HOMEFOX XL Pink Cotton Swabs Pointed Precision - 250 Count Extra Large Thick - Pointy Organic Cotton Buds Double Side Tightly Wrapped Cotton Tips Paper Stick Cruelty-Free, XL Pointy & Round Pink",B0BQHC7D47,False,True,4.6,190
19,"6"" Cotton Swabs Wooden Handles Cotton Tipped Applicator Wood Sticks with Single Tip for Gun Cleaning, Wound Clean, Makeup, Removal Residue Tbestmax (500)",B07P8PTDW2,False,True,4.7,657
20,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 500 Count (Pack of 12),B07FTJDF33,False,False,4.8,91
21,"2-Pack 625 Count Q-tip Cotton Swabs - Multipurpose, Soft and Firm Cotton Buds for Body Hygiene, Beauty Care, and Tool Cleaning - Bundled with 2 Peaknip Q-tip Holder & Dispenser",B09T8N7BSP,False,False,4.8,203
22,"Q-tips Cotton Swabs - Travel Q-tips for Beauty, Makeup, Nails, Men's Grooming, and More, Perfect for On the Go, Travel Size Case, 30 Count Ea (Pack of 2)",B07XVK5TPV,False,False,4.8,163
23,"Q tips Cotton Swabs 625 Count (Pack of 2) + BONUS Travel Case Compatible for Q-Tips, Fits Approx 80 swabs",B0BV8B448X,False,False,4.7,228
24,2000 Count Cotton Swabs Double Tipped Ear Cleaning Buds with Bamboo Stick 3 Inch Cotton Tip Applicators for Ears and Makeup,B092S8JVQN,False,True,4.7,5140
25,"Bamboo Cotton Swabs - 500 Count - Vegan Cotton Swabs, Eco Friendly Double Tips, Plastic Free Ear Sticks, All Natural 100% Biodegradable Organic Cotton buds by Isshah",B09DPYR67T,False,True,4.5,2254
26,"623181 Q-Tips Cotton Swab, Standard, White, 500 Count (Pack of 1)",B07GPP3XC1,False,False,4.8,44665
27,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 500 Count,B0014CZ16Q,False,False,4.8,2944
28,"Q-Tips Cotton Swabs, 625 Count, Pack of 2",B06VW8R5FQ,False,False,4.8,1906
29,"Q-Tips Q-Tips Flexible Cotton Swabs, 170 each (1 Pack)",B0006GWQB4,False,False,4.6,451
30,"3 x Q-tips Cotton Swabs, 625 ct",B01GRAZX1C,False,False,4.8,3841
31,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 750 Count,B00J4YYFYA,False,False,4.9,11487
32,"Amazon Basics Cotton Swabs, 500 Count (Previously Solimo)",B09541P9WH,True,False,4.7,33249
33,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 375 Count,B0012DK48C,False,False,4.8,4594
34,"MONCOM Cotton Swabs 500 Count Double Round Thick Tips | Biodegradable & Organic Strong Wooden Sticks Cotton Swabs For Ears | Firm Qtips cotton swabs | Natural Cotton Buds, 3 inch, One Small box",B07SCSW2GJ,False,False,4.4,10974
35,700 Count Cotton Swabs with 1 Dispenser Holder - Bamboo Sticks Cotton Swabs for Ears - Double Round Thick Cotton Buds Suitable for Makeup and Cleaning - Clear Plastic Apothecary Jar Containers,B0BQHXKDN9,False,False,4.4,1492
36,"Beautiful Mind Organic Bamboo Cotton Swabs – Value Pack of 500 – Eco-Friendly, Biodegradable – Vegan, Non Plastic Qtips– Kraft Paper Box (Drawer Box)",B08VR5C3KG,False,False,4.6,2358
37,"FOVURTE Bamboo Cotton Swabs 400 count, Organic Cotton Buds for Ears, Natural Wooden Cotton Swabs Ears",B08PJVLZGY,False,False,4.5,2131
38,Clean Skin Club Clean Swabs | 500CT | One Pointed Tip | Biodegradable + Organic Cotton & Bamboo | Makeup & Nail Polish Touch-ups | Chlorine-Free & Hypoallergenic (500 Count),B09FZ875N4,False,False,4.6,1004
39,"Organyc 100% Certified Organic Cotton Swabs - No Man-Made Materials, 200 Count, White",B008GMYNKW,False,False,4.3,4790
40,"Bamboo Cotton Swabs - 500 Count - Vegan Cotton Swabs, Eco Friendly Double Tips, Plastic Free Ear Sticks, All Natural 100% Biodegradable Organic Cotton buds by Isshah",B09DPYR67T,False,False,4.5,2254
41,"Cotton Swabs 2000ct(20 Pack),Double-Tipped Cotton Buds,Cotton Swabs with Wooden Sticks,Cotton Swabs for Ears,Makeup,Daily Cleaning",B0823PX9BW,False,False,4.2,1332
42,"R-NEU 500 Cotton Swabs, Doubled Tipped, Sterilized, 100% Pure Cotton Qtips for Cleaning, Home, Makeup, Pet and Baby Care, Random Color (500 Count)",B0BL5BHBY2,False,False,3.7,461
43,"Bamboo Cotton Swabs - 2000 Count - Vegan Cotton Swabs, Eco Friendly Double Tips, Plastic Free Ear Sticks, All Natural 100% Biodegradable Organic Cotton buds by Isshah",B08NC3TY5X,False,False,4.7,997
44,"900pcs Bamboo Cotton Swabs, Biodegradable Wooden Cotton Buds",B085ZYBLVH,False,False,4.6,4237
45,900pcs CGR Precision Cotton Swabs with Pointed and Flattened Tip Cosmetic Makeup Applicator(3x300pcs in bags),B09VKYBNV6,False,False,4.4,616
46,"Diane Pointed Tip Cotton Swabs, 200 ct. 1-Pack - Super Soft for Sensitive Skin, Gentle on Face, Makeup and Beauty Applicator, Nail Polish Touch Up and Nail Design for Beauty, Personal Care, Crafts",B09GTG7KG5,False,False,4.3,31371
47,Q-Tips Cotton Swabs 625 Count,B074V9JP8G,False,False,4.8,570
48,"Product of-QTips-Cotton-Swabs, 750 Count, (Pack of 2)",B07NTYW73Q,False,False,5.0,16
49,1000pcs Bamboo Cotton Swabs Double Round Cotton Buds with Wooden(5 Pack of 200),B0C6SJQ8XX,False,False,4.7,25
50,Q-Tips Anti Microbial Cotton Swabs - 300 ct - 2 pk,B00JQ8ZK20,False,False,4.8,1781
51,"tifanso 200 Count Black Cotton Swabs, Natural Black Double Tipped Cotton Buds, Cruelty-Free Ear Swabs, Chlorine-Free Hypoallergenic",B07R8B93GL,False,False,4.5,3830
