rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Cotton Swabs, 500 Count (Previously Solimo)",B09541P9WH,True,False,4.7,33249.0
1,"500 Pcs Cotton Swabs - Double Precision Tips Cotton Swabs With Bamboo Sticks, Ideal For Makeup Touch-ups & Cleaning (Double Pointed Shape)",B0C2PKV4QV,False,True,4.6,303.0
2,"Q-tips Antimicrobial Swabs for Cleaning are Made with 100 Percent Cotton, 300 Count, Pack of 12",B095Z325K4,False,True,4.8,8998.0
3,"500 PCS 6 Inch Long Cotton Swabs With Reusable Box - 100% Natural Eco-friendly Cotton Swabs With Wooden Sticks - Non Sterile Cotton Tipped Applicators For Ear & Gun Cleaning, Makeup Remover",B09X35SN9K,False,True,4.6,405.0
4,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 625 Count,B01AXQP6AE,False,False,4.7,2334.0
5,"Q-tips Cotton Swabs, 500 Count (Pack of 2)",B00DUGPW40,False,False,4.8,6607.0
6,"Amazon Basics Cotton Swabs, 500 Count (Previously Solimo)",B09541P9WH,True,False,4.7,33249.0
7,"Q-tips Safety Swabs, Family Size, 625 ct (Pack of 2)",B00LKPM39A,False,False,4.8,8998.0
8,Q-tips Cotton Swabs 3 Packs of 625 Count,B00J9R7OSQ,False,False,4.7,2678.0
9,"Q-Tips Cotton Swabs, Precision Tip, 170 Count",B007P2VCGW,False,False,4.6,2589.0
10,"Q-TIPS SWABS Cotton Club ct, 625 Count, (Pack of 3)",B003ZTVDBS,False,False,4.7,3407.0
11,"MONCOM Cotton Swabs 500 Count Double Round Thick Tips | Biodegradable & Organic Strong Wooden Sticks Cotton Swabs For Ears | Firm Qtips cotton swabs | Natural Cotton Buds, 3 inch, One Small box",B07SCSW2GJ,False,False,4.4,10974.0
12,"Q-tips Cotton Swabs, Club Pack 1875 ct(Pack of 3)",B00MOJUQAO,False,False,4.7,3407.0
13,700 Count Cotton Swabs with 1 Dispenser Holder - Bamboo Sticks Cotton Swabs for Ears - Double Round Thick Cotton Buds Suitable for Makeup and Cleaning - Clear Plastic Apothecary Jar Containers,B0BQHXKDN9,False,True,4.4,1492.0
14,"1000 PCS Bamboo Cotton Swabs In Storage Box - Eyxformula Natural Organic Cotton Swabs With Wooden Sticks - Double Tips Biodegradable Cotton Buds For Ear Wax Removal, Makeup, Personal Care, Art & Craft",B0BG9PTHP5,False,True,4.5,132.0
15,Clean Skin Club Clean Swabs | 500CT | One Pointed Tip | Biodegradable + Organic Cotton & Bamboo | Makeup & Nail Polish Touch-ups | Chlorine-Free & Hypoallergenic (500 Count),B09FZ875N4,False,True,4.6,1004.0
16,"HOMEFOX Black Cotton Swabs Spiral - 400 Count Organic Cotton Buds Double Side Tightly Wrapped Charcoal Cotton Tips Paper Stick Soft Gentle Cruelty-Free Lint-Free Goth Bathroom, Round & Spiral (Black)",B09WDH7TW3,False,True,4.6,556.0
17,Q-tips Cotton Swabs 500 ea (Pack of 2),B0176QMIEQ,False,False,4.8,10455.0
18,"Bamboo Cotton Swabs - 500 Count - Vegan Cotton Swabs, Eco Friendly Double Tips, Plastic Free Ear Sticks, All Natural 100% Biodegradable Organic Cotton buds by Isshah",B09DPYR67T,False,False,4.5,2254.0
19,"FOVURTE Bamboo Cotton Swabs 400 count, Organic Cotton Buds for Ears, Natural Wooden Cotton Swabs Ears",B08PJVLZGY,False,False,4.5,2131.0
20,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 500 Count (Pack of 12),B07FTJDF33,False,False,4.8,91.0
21,"UpCircle Bamboo Cotton Buds - 200 Pieces - Sustainable, Plastic-Free, Fully Recyclable Ear Buds - A Staple For Any Bathroom",B08C3LKJKW,False,True,4.7,546.0
22,"HOMEFOX XL Pink Cotton Swabs Pointed Precision - 250 Count Extra Large Thick - Pointy Organic Cotton Buds Double Side Tightly Wrapped Cotton Tips Paper Stick Cruelty-Free, XL Pointy & Round Pink",B0BQHC7D47,False,True,4.6,190.0
23,Cotton Swabs with Paper Sticks 500ct，Double Tipped Natural Cotton Buds,B0CC8SPKDJ,False,True,,
24,"Tbestmax 3 Pack Cotton Swab Ball Pad Holder, 10 Oz Qtip Apothecary Jar Pink Makeup Organizer, Bathroom Containers Dispenser",B095LFFTT6,False,True,4.6,821.0
25,"Q-tips Cotton Swabs, 375 ct and Travel Holder Case for a Purse",B07BPCBMRJ,False,False,4.8,500.0
26,"Q-tips Cotton Swabs - Travel Q-tips for Beauty, Makeup, Nails, Men's Grooming, and More, Perfect for On the Go, Travel Size Case, 30 Count Ea (Pack of 2)",B07XVK5TPV,False,False,4.8,163.0
27,Bamboo Qtips Cotton Swabs With Wooden Sticks Q Tips For Ears Swabs 400 Count Bamboo Cotton Buds,B07W1HR9GT,False,False,4.5,1178.0
