rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Ultra-Soft Lightweight Microfiber Reversible Comforter 3-Piece Bedding Set, Full/Queen, Navy/Beige Stripes",B08FCPH83V,True,False,4.6,5643
1,"Bedsure Queen Comforter Set - 7 Pieces Comforters Queen Size Grey, Pintuck Bedding Sets Queen for All Season, Bed in a Bag with Flat Sheet and Fitted Sheet, Pillowcases & Shams",B07NYR18X4,False,True,4.5,48675
2,"Bedsure Queen Comforter Set - 7 Pieces Reversible Comforters Queen Size Bed Set Bed in a Bag with Comforter, Sheets, Pillowcases & Shams, Grey Bedding Sets",B07R4659ZY,False,True,4.5,20393
3,CLOTHKNOW White Comforter Sets Queen White Bedding Comforter Sets Full Plain White Bed Comforter Solid White Queen Size Bedding Set 3Pcs White Comforter Sets Queen,B082V1BW75,False,True,4.5,2098
4,"Litanika Queen Comforter Set Sage Green, 3 Pieces Boho Lightweight Solid Bedding Comforters & Sets, Double Down Alternative Comforter Bed Set Quilt Blanket (90x90In Comforter & 2 Pillowcases)",B0BBLP5GLC,False,False,4.5,2402
5,"HEVUMYI Queen Comforter Set 7 Pieces, All Season Reversible Bed in a Bag Queen, Ultra Soft Queen Bedding Sets with Comforter, Flat Sheet, Fitted Sheet, Pillowcases & Pillow Shams (Dark Gray,Queen)",B0BLVH5YX3,False,False,4.5,822
6,"weigelia Queen Comforter Set Boho Bed Comforter Set 7PC Oatmeal Comforter Queen Size Soft All Season Microfiber Comforter with Fitted Sheets, Flat Sheets, Pillow Shams, and Pillowcases",B0BVLW9CWW,False,False,4.6,336
7,"Anluoer Queen Comforter Set, Beige Tufted Bed in a Bag 7 Pieces with comforters and Sheets, All Season Bedding Sets with 1 Comforter, 2 PillowShams, 2 Pillowcases, 1 Flat Sheet, 1 Fitted Sheet",B0BVY8DJSM,False,False,4.7,123
8,"JANZAA 3pcs White Comforter Set, Soft Microfiber Bedding Plant Flowers Printed Comforter with 2 Pillow Cases for All Seasons(Queen)",B083ND4JLG,False,False,4.6,7444
9,"TAIMIT Black Queen Size Comforter Set - 7 Pieces, Bed in a Bag Bedding Sets with All Season Soft Quilted Warm Fluffy Reversible Comforter,Flat Sheet,Fitted Sheet,2 Pillow Shams,2 Pillowcases",B0BJQQ4M3K,False,False,4.6,1140
10,"Amazon Basics Lightweight Microfiber Bed-in-a-Bag Comforter 7-Piece Bedding Set, Full/Queen, Navy with Simple Plaid",B00U2WG2JY,True,False,4.6,48542
11,Ikawaapurry Comforter Set for Queen Size Bed Farmhouse Boho Bedding Sets Fluffy Lightweight Flowers Plants All Season 3 Pcs Comforter with 2 Pillow Shames,B09XF85KW3,False,True,4.3,692
12,JANZAA Queen Floral 3 PCS Bedding Sets Oatmeal Plant Flowers Printed on Fluffy Comforter for All Season,B0BFPHZV5Y,False,True,4.6,103
13,"Flysheep Bohemian Bed in a Bag 7 Pieces Queen Size, Colorful Boho Purple Orange Gray Stripes Reversible Bed Comforter Set (1 Comforter, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillow Shams, 2 Pillowcases)",B09ZDW9SP3,False,True,4.5,1636
14,"Litanika Queen Comforter Set Burnt Orange, Fall Boho Terracotta Lightweight Fluffy Bedding Comforter Set for Queen Bed, 3 Pieces Rust Bed Set (90x90Inches, 1 Comforter and 2 Pillow Shams)",B0B6B5B8DG,False,False,4.6,884
15,"Andency Khaki Tufted Comforter Set Queen(90x90Inch), 3 Pieces(1 Tufts Comforter, 2 Pillowcases) Boho Textured Farmhouse Comforter, Microfiber Down Alternative Geometric Comforter Bedding Set",B09CSP3DDB,False,False,4.4,1306
16,"Smoofy Gold White Comforter Queen Comforter Set Marble Print Glitter Gold Queen Bed Set Luxury White Queen Size Comforter Set for Men Women White Bedding Queen Set 3Pcs (1 Comforter, 2 Pillowcases)",B0C4KML2FZ,False,False,4.6,3676
17,Shatex Comforter Queen Size (90x90Inch) 3 Piece Boho Gray Striped for All Season Ultra Soft 100% Microfiber Polyester 1 Lightweight Comforter with 2 Pillow Shams,B083DKT11S,False,False,4.5,1294
