rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics All-Season Down-Alternative Comforter 3-Piece Bedding Set, Pinch Pleat, Queen, Pinched Pleat With Piped Edges, Navy Blue",B078WB86JC,True,False,4.5,27927.0
1,"Amazon Basics Lightweight Microfiber Bed-in-a-Bag Comforter 7-Piece Bedding Set, Full/Queen, Navy with Simple Plaid",B00U2WG2JY,True,False,4.6,48542.0
2,"Amazon Basics Ultra-Soft Micromink Sherpa 3-Piece Comforter Bed Set, Full/Queen, Navy Blue, Solid",B07D2WWQRT,True,False,4.6,61072.0
3,"Amazon Basics Lightweight Super Soft Easy Care Microfiber 4-Piece Bed Sheet Set with 14-Inch Deep Pockets, Queen, Burgundy, Solid",B06X9SCBKN,True,False,4.5,468702.0
4,"Amazon Basics Cotton Jersey 4-Piece Bed Sheet Set, Queen, Dark Gray, Solid",B01BTBRDE4,True,False,4.7,35199.0
5,"Amazon Basics Cotton Blend Jersey Knit Comforter Set, Full/Queen, Dark Gray",B09WN3YYD1,True,False,4.5,256.0
6,"Amazon Basics Kid's Easy Care Microfiber Bed-in-a-Bag 7-Piece Bedding Set, Full/Queen, White Anchors",B07K8M4N51,True,False,4.8,12362.0
7,"Amazon Basics Ultra-Soft Microfiber Bed-In-A-Bag 8 Piece Comforter Bedding Set, Queen, Blue Watercolor, Striped",B07K6J4XWY,True,False,4.6,8709.0
8,"Amazon Basics Reversible Microfiber Bed-in-a-Bag with Elastic Storage Pockets,3 pcs, - Full/Queen, Spa Blue Boho Stripe",B0835F9QWV,True,False,4.6,3436.0
9,"Amazon Basics Deluxe Microfiber Striped Sheet Set - 4 pcs,Queen, Bright White",B01J24OJ9C,True,False,4.6,17184.0
10,"Amazon Basics Pinch Pleat Comforter Bedding Set, Full/Queen, Spa Blue & Lightweight Super Soft Easy Care Microfiber Sheet Set with 16"" Deep Pockets - Queen, Bright White",B08HZF1RC9,True,False,4.5,15.0
11,Amazon Basics Navy Blue Comforter (Full/Queen) and Navy Blue Sheet Set (Queen),B0160BYN5U,True,False,4.3,5.0
12,"Amazon Basics Soft Microfiber 4-Piece Bed Sheet Set with Elastic Side Pockets, Queen, Still Water",B086ZKCKS7,True,False,4.6,16926.0
13,"Amazon Basics Ultra-Soft Micromink Sherpa Comforter Bed Set - Charcoal, Full/Queen & Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Queen, Dark Grey",B09GQP4Q8X,True,False,4.0,5.0
14,"Amazon Basics Light-Weight Microfiber Duvet Cover Set W/Snap Buttons -Full/Queen, Bright White & Lightweight Super Soft Easy Care Microfiber Sheet Set with 16 inch Deep Pockets - Queen, Bright White",B08HZDRP49,True,False,4.3,44.0
15,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Queen, Dark Grey & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQJZZWY,True,False,,
16,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Queen, Black & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQKLVG2,True,False,,
17,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Queen, Bright White & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQJMWCF,True,False,,
18,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Full, Bright White & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQKYSBJ,True,False,,
19,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Full, Black & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GRC3QWZ,True,False,,
20,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Queen, Navy Blue & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQKQRTH,True,False,,
21,"Amazon Basics Kid's Easy Care Microfiber Bed-in-a-Bag 7-Piece Bedding Set, Full/Queen, Butterfly Friends",B0835J4T1G,True,False,4.8,21797.0
22,"Amazon Basics Reversible Lightweight Microfiber Comforter Blanket, Full/Queen, Chocolate / Khaki",B00Q7OFOYK,True,False,4.5,41385.0
23,"Amazon Basics Lightweight Ruffled Bed Skirt, Classic Style, Soft and Stylish 100% Microfiber With 16"" Drop, Queen, Dark Grey, Solid",B0798FVHNN,True,False,4.6,33527.0
24,"Amazon Basics Lightweight Pleated Bed Skirt, Queen, Bright White",B0798DJDHQ,True,False,4.4,57912.0
25,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Full, Navy Blue & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQLGF44,True,False,,
26,"Amazon Basics Lightweight Super Soft Easy Care Microfiber Sheet Set with 14"" Deep Pockets, Full, Dark Grey & Amazon Basics Reversible Microfiber Comforter Blanket - Full/Queen, White",B09GQKL7ZL,True,False,,
27,"Amazon Aware 100% Organic Cotton 300 Thread Count Sheet Set - Taupe, Queen & Amazon Aware 100% Organic Cotton 300 Thread Count Duvet Cover Set - Taupe, Full/Queen",B09YKNR2WS,True,False,,
28,"Amazon Aware 100% Organic Cotton 300 Thread Count Sheet Set - Gray, Queen & Amazon Aware 100% Organic Cotton 300 Thread Count Duvet Cover Set - Gray, Full/Queen",B09YKNHTBJ,True,False,,
