rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Molblly Queen Size Bed Frame Upholstered Platform with Headboard and Strong Wooden Slats,Mattress Foundation,Non-Slip and Noise-Free,No Box Spring Needed, Easy Assembly,Dark Gray",B0C6SS9MKX,False,True,4.4,377.0
1,"Queen Size Bed Frame, 3500lbs Heavy Duty Metal Platform with Steel Slats Support, Sturdy and Noise-Free, 14 Inches High Bedframes with Ample Storage, No Box Spring Needed",B08ZL2WYJH,False,True,4.6,1888.0
2,Queen Bed Frame 14 Inches Heavy Duty Platform Metal Bed Frames Queen Size Support 3500lbs Queen-Size Bed Frame No Box Spring Needed,B0BPP31R12,False,True,4.6,71.0
3,"Heavy Duty Queen Bed Frame, 16 Inches Tall Metal Platform Bedframe with Storage, No Box Spring Needed, Noise-Free, Easy Assembly, 3500lbs Steel Slat Support…",B09Q6DK7ZS,False,True,4.6,720.0
4,14 Inch Queen Bed Frame - Durable Platform Bed Frame Non-Slip Metal Bed Frame No Box Spring Needed Heavy Duty Queen Size Bed Frame Easy Assembly Strong Bearing Capacity,B0BLS2PR4X,False,False,4.5,490.0
5,"Queen Bed Frame with Headboard and Footboard, Metal Queen Bed Frame with Under Bed Storage, All-Metal Support System, No Box Spring Needed, Easy Assembly,Rustic Brown",B0CGKPHL7D,False,False,5.0,12.0
6,"18in High Queen Bed Frame No Box Spring Needed, Heavy Duty Metal Platform Bed Frame Queen Size with Round Corners, Easy Assembly, Noise Free, Black",B0BS6LVZ7Z,False,False,4.4,1041.0
7,"Sweetcrispy Queen Bed Frame - Heavy Duty Metal Platform Bed Frames Queen Size with Storage Space Under Frame, 14 Inches, Sturdy Steel Slat Support, No Box Spring Needed",B0C74D85BB,False,False,4.4,338.0
8,"Queen Bed Frame with Headboard, Bed Frame with Charging Station, Metal Platform Bed Frame Queen Size No Box Spring Needed, Modern Wood Upholstered Headboard and Under Bed Storage",B0CBCKVBX9,False,False,4.8,12.0
9,"Queen Bed Frame with Headboard,Linen Upholstered Bed Frame with Wood Slats Support,No Box Spring Needed,Heavy Duty Feet,Easy Assembly,Dark Grey",B0CF1ZK9HS,False,False,4.1,104.0
10,"14 Inch Metal Platform Queen Bed Frame, Heavy Duty Black Bed Frames with Steel Slats Support, No Box Spring Needed, Noise Free, Easy Assembly",B0BCHRD4T8,False,True,4.6,284.0
11,14 inch Metal Queen Bed Frame with Rounded Corner and Headboard Hole Mattress Retainers 3500LBS Heavy Duty Steel Slats No Box Spring Needed Platform Noise-Free Easy Assembly,B0C1GBFHRG,False,True,4.6,101.0
12,"Gizoon Queen Bed Frame, Platform Metal Bed Frame with Storage Headboard, No Box Spring Needed, Strong Metal Slats Support, Sturdy and Noise-Free, Easy Assembly (Dark Grey)",B0BTT6SY2G,False,True,4.7,247.0
